Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Tyrick Mitchell,CRY,6,540,0.0,0.0,0.0,0.11,0.11,0.00,1.45,1.34,0.02,0.02,0.00,0.02,0.02,0.24,0.22
William Smallbone,SOU,2,111,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Oskar Buur,WOL,1,20,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathaniel Phillips,LIV,2,180,0.0,0.0,0.0,0.00,0.00,0.03,0.07,0.05,0.00,0.00,0.01,0.01,0.01,0.04,0.02
Takumi Minamino,LIV,7,181,0.0,0.0,0.0,0.16,0.16,0.00,0.73,0.58,0.08,0.08,0.00,0.08,0.08,0.36,0.29
Jack Robinson,SHU,5,370,0.0,0.0,0.0,0.55,0.55,0.00,0.79,0.79,0.13,0.13,0.00,0.13,0.13,0.19,0.19
Steven Bergwijn,TOT,9,566,0.0,0.0,0.0,0.89,0.89,0.23,2.35,1.46,0.14,0.14,0.04,0.18,0.18,0.37,0.23
Josh Brownhill,BUR,11,990,0.0,0.0,0.0,0.54,0.54,0.50,1.82,1.44,0.05,0.05,0.05,0.10,0.10,0.17,0.13
Ki-Jana Hoever,WOL,2,28,0.0,0.0,0.0,0.00,0.00,0.04,0.05,0.05,0.00,0.00,0.13,0.13,0.13,0.17,0.17
Nathan Tella,SOU,3,42,0.0,0.0,0.0,0.02,0.02,0.00,0.21,0.19,0.05,0.05,0.00,0.05,0.05,0.45,0.40
Bailey Peacock-Farrell,BUR,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Luke Thomas,LEI,3,186,0.0,0.0,0.0,0.06,0.06,0.00,0.06,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.00
Marek Rodák,FUL,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Illan Meslier,LEE,13,1170,0.0,0.0,0.0,0.00,0.00,0.04,2.4,2.35,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Luke Ayling,LEE,13,1150,0.0,0.0,0.0,0.72,0.72,1.64,5.45,4.22,0.06,0.06,0.13,0.18,0.18,0.43,0.33
Pascal Struijk,LEE,4,260,0.0,0.0,0.0,0.13,0.13,0.02,0.4,0.40,0.04,0.04,0.01,0.05,0.05,0.14,0.14
Kalvin Phillips,LEE,10,900,0.0,0.0,2.0,0.17,0.17,1.32,3.95,3.10,0.02,0.02,0.13,0.15,0.15,0.39,0.31
Jamie Shackleton,LEE,5,168,0.0,0.0,0.0,0.00,0.00,0.12,1.27,1.27,0.00,0.00,0.06,0.06,0.06,0.68,0.68
Ian Poveda-Ocampo,LEE,7,169,0.0,0.0,0.0,0.66,0.66,0.89,1.65,0.10,0.35,0.35,0.47,0.82,0.82,0.88,0.06
Dara O'Shea,WBA,8,638,0.0,0.0,0.0,0.05,0.05,0.09,0.6,0.57,0.01,0.01,0.01,0.02,0.02,0.08,0.08
Romaine Sawyers,WBA,11,786,0.0,0.0,0.0,0.06,0.06,0.18,0.6,0.53,0.01,0.01,0.02,0.03,0.03,0.07,0.06
