Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Romeu,Oriol,SOU,8,687,1.0,1.0,0.0,0.21,0.21,0.24,2.31,2.08,0.03,0.03,0.03,0.06,0.06,0.30,0.27
Bartley,Kyle,WBA,5,450,1.0,1.0,0.0,0.52,0.52,0.00,0.3,0.30,0.10,0.10,0.00,0.10,0.10,0.06,0.06
Praet,Dennis,LEI,7,508,1.0,1.0,1.0,0.29,0.29,0.73,1.33,1.06,0.05,0.05,0.13,0.18,0.18,0.24,0.19
Maguire,Harry,MUN,7,630,1.0,1.0,0.0,0.43,0.43,0.09,2.24,2.17,0.06,0.06,0.01,0.07,0.07,0.32,0.31
Robertson,Andrew,LIV,8,720,1.0,1.0,2.0,0.92,0.92,1.33,3.73,2.06,0.12,0.12,0.17,0.28,0.28,0.47,0.26
Hendrick,Jeff,NEW,8,679,1.0,1.0,1.0,0.36,0.36,0.79,1.91,0.83,0.05,0.05,0.10,0.15,0.15,0.25,0.11
Bale,Gareth,TOT,3,111,1.0,1.0,0.0,0.86,0.86,0.67,1.12,0.66,0.69,0.69,0.54,1.24,1.24,0.91,0.53
Rodrigo,Rodrigo,LEE,6,320,1.0,1.0,0.0,1.22,1.22,0.38,1.95,1.25,0.34,0.34,0.11,0.45,0.45,0.55,0.35
Silva,Thiago,CHE,5,435,1.0,1.0,0.0,0.60,0.60,0.06,1.57,1.57,0.12,0.12,0.01,0.14,0.14,0.32,0.32
Moura,Lucas,TOT,7,355,1.0,1.0,0.0,0.85,0.85,0.15,1.84,0.87,0.21,0.21,0.04,0.25,0.25,0.47,0.22
Cavani,Edinson,MUN,3,50,1.0,1.0,0.0,0.58,0.58,0.00,0.54,0.00,1.05,1.05,0.00,1.05,1.05,0.98,0.00
Saiss,Romain,WOL,6,519,1.0,1.0,0.0,0.46,0.46,0.34,1.04,0.41,0.08,0.08,0.06,0.14,0.14,0.18,0.07
Aurier,Serge,TOT,2,180,1.0,1.0,1.0,0.46,0.46,0.74,1.41,0.46,0.23,0.23,0.37,0.60,0.60,0.70,0.23
Wood,Chris,BUR,7,625,1.0,1.0,0.0,1.90,1.90,0.05,2.21,0.27,0.27,0.27,0.01,0.28,0.28,0.32,0.04
Havertz,Kai,CHE,7,561,1.0,1.0,1.0,0.71,0.71,0.55,2.96,1.95,0.11,0.11,0.09,0.20,0.20,0.48,0.31
Lookman,Ademola,FUL,5,383,1.0,1.0,0.0,1.44,0.67,0.38,2.87,1.98,0.34,0.16,0.09,0.43,0.25,0.67,0.46
Wan-Bissaka,Aaron,MUN,6,540,1.0,1.0,0.0,0.14,0.14,0.05,0.66,0.47,0.02,0.02,0.01,0.03,0.03,0.11,0.08
Bissouma,Yves,BHA,7,630,1.0,1.0,0.0,0.41,0.41,0.02,1.89,1.67,0.06,0.06,0.00,0.06,0.06,0.27,0.24
Gabriel,Gabriel,ARS,7,630,1.0,1.0,0.0,0.77,0.77,0.00,1.58,1.58,0.11,0.11,0.00,0.11,0.11,0.23,0.23
Pepe,Nicolas,ARS,7,219,1.0,1.0,0.0,0.43,0.43,0.07,0.69,0.37,0.18,0.18,0.03,0.21,0.21,0.29,0.15
NDombele,Tanguy,TOT,8,434,1.0,1.0,0.0,0.51,0.51,0.61,2.99,2.00,0.10,0.10,0.13,0.23,0.23,0.62,0.41
Richarlison,Richarlison,EVE,5,384,1.0,0.0,2.0,2.67,1.91,1.08,3.49,0.88,0.63,0.45,0.25,0.88,0.70,0.82,0.21
Riedewald,Jairo,CRY,6,363,1.0,1.0,0.0,0.34,0.34,0.15,1.01,0.56,0.08,0.08,0.04,0.12,0.12,0.25,0.14
March,Solly,BHA,7,583,1.0,1.0,1.0,1.02,1.02,0.78,2.75,1.05,0.16,0.16,0.12,0.28,0.28,0.42,0.16
Murphy,Jacob,NEW,4,273,1.0,1.0,0.0,0.17,0.17,0.06,0.07,0.06,0.06,0.06,0.02,0.07,0.07,0.02,0.02
Haller,Sébastien,WHU,7,211,1.0,1.0,0.0,0.45,0.45,0.15,0.26,0.08,0.19,0.19,0.07,0.26,0.26,0.11,0.03
Castagne,Timothy,LEI,6,540,1.0,1.0,2.0,0.64,0.64,0.74,1.88,1.21,0.11,0.11,0.12,0.23,0.23,0.31,0.20
Neto,Pedro,WOL,8,661,1.0,1.0,2.0,0.58,0.58,1.53,2.74,1.31,0.08,0.08,0.21,0.29,0.29,0.37,0.18
Hudson-Odoi,Callum,CHE,4,148,1.0,1.0,0.0,0.17,0.17,0.48,0.78,0.47,0.11,0.11,0.29,0.40,0.40,0.47,0.29
Nketiah,Eddie,ARS,8,137,1.0,1.0,0.0,0.74,0.74,0.10,0.88,0.05,0.48,0.48,0.06,0.55,0.55,0.58,0.03
Mina,Yerry,EVE,7,630,1.0,1.0,0.0,0.58,0.58,0.00,1.87,1.86,0.08,0.08,0.00,0.08,0.08,0.27,0.27
Diangana,Grady,WBA,8,596,1.0,1.0,0.0,0.53,0.53,0.09,0.84,0.47,0.08,0.08,0.01,0.09,0.09,0.13,0.07
Ait,Rayan,WOL,2,168,1.0,1.0,0.0,0.08,0.08,0.00,0.32,0.27,0.04,0.04,0.00,0.04,0.04,0.17,0.14
Maddison,James,LEI,7,268,1.0,1.0,0.0,0.32,0.32,0.29,1.08,0.85,0.11,0.11,0.10,0.20,0.20,0.36,0.29
Cairney,Tom,FUL,7,630,1.0,1.0,0.0,0.34,0.34,0.51,2.67,2.35,0.05,0.05,0.07,0.12,0.12,0.38,0.34
Balbuena,Fabián,WHU,6,540,1.0,1.0,0.0,0.22,0.22,0.00,0.29,0.29,0.04,0.04,0.00,0.04,0.04,0.05,0.05
Armstrong,Stuart,SOU,6,518,1.0,1.0,2.0,0.56,0.56,0.43,1.46,0.72,0.10,0.10,0.08,0.17,0.17,0.25,0.13
Bernard,Bernard,EVE,3,162,1.0,1.0,0.0,0.08,0.08,0.27,0.59,0.29,0.04,0.04,0.15,0.19,0.19,0.33,0.16
Pereira,Matheus,WBA,7,582,1.0,1.0,2.0,0.50,0.50,0.49,0.8,0.34,0.08,0.08,0.08,0.15,0.15,0.12,0.05
Saka,Bukayo,ARS,6,515,1.0,1.0,0.0,1.31,1.31,0.22,2.7,1.41,0.23,0.23,0.04,0.27,0.27,0.47,0.25
Grant,Karlan,WBA,4,335,1.0,1.0,0.0,0.64,0.64,0.15,0.62,0.10,0.17,0.17,0.04,0.21,0.21,0.17,0.03
Trossard,Leandro,BHA,7,597,1.0,1.0,1.0,1.33,1.33,1.62,2.7,1.10,0.20,0.20,0.24,0.45,0.45,0.41,0.17
Djenepo,Moussa,SOU,5,310,1.0,1.0,0.0,0.25,0.25,0.12,1.37,1.02,0.07,0.07,0.03,0.11,0.11,0.40,0.30
Sharp,Billy,SHU,4,124,1.0,0.0,0.0,1.45,0.68,0.00,0.74,0.05,1.05,0.50,0.00,1.05,0.50,0.54,0.04
Hourihane,Conor,AVL,2,147,1.0,1.0,1.0,0.42,0.42,0.92,0.53,0.06,0.26,0.26,0.56,0.82,0.82,0.33,0.03
McGinn,John,AVL,7,630,1.0,1.0,4.0,0.21,0.21,1.67,3.4,1.70,0.03,0.03,0.24,0.27,0.27,0.49,0.24
Konsa,Ezri,AVL,7,630,1.0,1.0,0.0,0.49,0.49,0.00,0.55,0.55,0.07,0.07,0.00,0.07,0.07,0.08,0.08
Justin,James,LEI,8,720,1.0,1.0,0.0,0.15,0.15,0.31,1.9,1.59,0.02,0.02,0.04,0.06,0.06,0.24,0.20
Mount,Mason,CHE,7,541,1.0,1.0,1.0,0.78,0.78,1.16,1.96,1.13,0.13,0.13,0.19,0.32,0.32,0.33,0.19
Connolly,Aaron,BHA,6,295,1.0,1.0,1.0,0.59,0.59,0.11,0.69,0.03,0.18,0.18,0.03,0.21,0.21,0.21,0.01
James,Reece,CHE,7,541,1.0,1.0,1.0,0.17,0.17,0.97,2.26,2.07,0.03,0.03,0.16,0.19,0.19,0.38,0.35
Lamptey,Tariq,BHA,8,644,1.0,1.0,1.0,0.70,0.70,0.59,3.56,2.76,0.10,0.10,0.08,0.18,0.18,0.50,0.39
Berge,Sander,SHU,8,643,1.0,0.0,1.0,1.04,0.28,1.05,1.74,1.13,0.15,0.04,0.15,0.29,0.19,0.24,0.16
Soucek,Tomas,WHU,8,720,1.0,1.0,0.0,2.10,2.10,0.34,3.06,1.19,0.26,0.26,0.04,0.31,0.31,0.38,0.15
Podence,Daniel,WOL,7,514,1.0,1.0,2.0,1.19,1.19,0.84,2.55,0.86,0.21,0.21,0.15,0.36,0.36,0.45,0.15
Mac,Alexis,BHA,3,37,1.0,1.0,0.0,0.05,0.05,0.00,0.05,0.00,0.13,0.13,0.00,0.13,0.13,0.13,0.00
Dunne,Jimmy,BUR,2,180,1.0,1.0,0.0,0.22,0.22,0.10,0.1,0.04,0.11,0.11,0.05,0.16,0.16,0.05,0.02
Eze,Eberechi,CRY,7,313,1.0,1.0,1.0,0.96,0.96,0.30,1.24,0.28,0.28,0.28,0.09,0.36,0.36,0.36,0.08
Dallas,Stuart,LEE,8,712,1.0,1.0,0.0,0.97,0.97,0.31,3.73,3.37,0.12,0.12,0.04,0.16,0.16,0.47,0.43
Harrison,Jack,LEE,7,624,1.0,1.0,2.0,0.41,0.41,2.29,4.39,2.04,0.06,0.06,0.33,0.39,0.39,0.63,0.29
van,Donny,MUN,5,65,1.0,1.0,0.0,0.28,0.28,0.05,0.63,0.30,0.39,0.39,0.06,0.46,0.46,0.88,0.42
Ziyech,Hakim,CHE,4,188,1.0,1.0,3.0,0.13,0.13,2.25,1.22,0.28,0.06,0.06,1.08,1.14,1.14,0.59,0.13
Schär,Fabian,NEW,5,367,0.0,0.0,0.0,0.02,0.02,0.00,0.19,0.16,0.01,0.01,0.00,0.01,0.01,0.05,0.04
Joelinton,Joelinton,NEW,7,303,0.0,0.0,0.0,0.10,0.10,0.15,0.69,0.44,0.03,0.03,0.05,0.07,0.07,0.21,0.13
Leno,Bernd,ARS,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.11,0.11
Christensen,Andreas,CHE,4,315,0.0,0.0,0.0,0.05,0.05,0.00,1.38,1.38,0.01,0.01,0.00,0.01,0.01,0.39,0.39
Xhaka,Granit,ARS,6,413,0.0,0.0,0.0,0.27,0.27,0.08,2.96,2.90,0.06,0.06,0.02,0.08,0.08,0.64,0.63
Alcántara,Thiago,LIV,2,133,0.0,0.0,0.0,0.08,0.08,0.20,1.0,0.89,0.05,0.05,0.13,0.19,0.19,0.67,0.60
Groß,Pascal,BHA,7,241,0.0,0.0,1.0,0.24,0.24,0.40,1.16,0.89,0.09,0.09,0.15,0.24,0.24,0.43,0.33
Gündogan,Ilkay,MCI,4,209,0.0,0.0,0.0,0.09,0.09,0.17,1.05,0.82,0.04,0.04,0.07,0.11,0.11,0.45,0.35
Matip,Joel,LIV,3,181,0.0,0.0,0.0,0.09,0.09,0.00,0.93,0.93,0.04,0.04,0.00,0.04,0.04,0.46,0.46
Kolasinac,Sead,ARS,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.43,0.43
Højbjerg,Pierre-Emile,TOT,8,720,0.0,0.0,1.0,0.03,0.03,0.73,4.84,4.47,0.00,0.00,0.09,0.10,0.10,0.60,0.56
Ritchie,Matt,NEW,1,72,0.0,0.0,0.0,0.04,0.04,0.04,0.09,0.05,0.05,0.05,0.05,0.10,0.10,0.11,0.07
Sakho,Mamadou,CRY,4,274,0.0,0.0,0.0,0.02,0.02,0.00,0.51,0.51,0.01,0.01,0.00,0.01,0.01,0.17,0.17
Lallana,Adam,BHA,8,471,0.0,0.0,0.0,0.23,0.23,1.06,2.53,1.35,0.04,0.04,0.20,0.25,0.25,0.48,0.26
Milner,James,LIV,6,83,0.0,0.0,0.0,0.00,0.00,0.02,0.57,0.57,0.00,0.00,0.02,0.02,0.02,0.62,0.62
Bellerín,Héctor,ARS,8,720,0.0,0.0,2.0,0.09,0.09,0.63,2.22,2.05,0.01,0.01,0.08,0.09,0.09,0.28,0.26
Elneny,Mohamed,ARS,5,450,0.0,0.0,0.0,0.19,0.19,0.10,1.93,1.64,0.04,0.04,0.02,0.06,0.06,0.39,0.33
Iwobi,Alex,EVE,7,171,0.0,0.0,1.0,0.05,0.05,0.66,1.33,0.62,0.03,0.03,0.35,0.38,0.38,0.70,0.32
Welbeck,Danny,BHA,2,99,0.0,0.0,0.0,0.44,0.44,0.49,0.93,0.00,0.40,0.40,0.45,0.85,0.85,0.85,0.00
Giroud,Olivier,CHE,3,28,0.0,0.0,0.0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.19,0.19
Walcott,Theo,EVE,4,279,0.0,0.0,2.0,0.34,0.34,0.33,0.76,0.13,0.11,0.11,0.11,0.22,0.22,0.25,0.04
Ward,Joel,CRY,5,450,0.0,0.0,0.0,0.00,0.00,0.01,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.11,0.11
Adrián,Adrián,LIV,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Ogbonna,Angelo,WHU,8,693,0.0,0.0,0.0,0.14,0.14,0.15,0.94,0.94,0.02,0.02,0.02,0.04,0.04,0.12,0.12
Noble,Mark,WHU,3,70,0.0,0.0,0.0,0.00,0.00,0.01,0.23,0.23,0.00,0.00,0.02,0.02,0.02,0.29,0.29
Cresswell,Aaron,WHU,8,720,0.0,0.0,3.0,0.22,0.22,1.45,2.78,2.15,0.03,0.03,0.18,0.21,0.21,0.35,0.27
Carroll,Andy,NEW,6,164,0.0,0.0,0.0,0.26,0.26,0.02,0.38,0.14,0.14,0.14,0.01,0.15,0.15,0.21,0.07
Gibbs,Kieran,WBA,2,135,0.0,0.0,0.0,0.00,0.00,0.02,0.31,0.29,0.00,0.00,0.01,0.01,0.01,0.20,0.19
de,David,MUN,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Fosu-Mensah,Timothy,MUN,1,85,0.0,0.0,0.0,0.02,0.02,0.31,0.4,0.36,0.02,0.02,0.32,0.34,0.34,0.43,0.38
Martial,Anthony,MUN,4,293,0.0,0.0,0.0,0.37,0.37,0.00,0.3,0.28,0.11,0.11,0.00,0.11,0.11,0.09,0.09
Mata,Juan,MUN,3,235,0.0,0.0,1.0,0.18,0.18,0.19,0.8,0.60,0.07,0.07,0.07,0.14,0.14,0.31,0.23
Ighalo,Odion,MUN,1,5,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Coleman,Seamus,EVE,6,450,0.0,0.0,1.0,0.04,0.04,0.58,2.37,2.30,0.01,0.01,0.12,0.12,0.12,0.47,0.46
Stones,John,MCI,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
McCarthy,James,CRY,5,335,0.0,0.0,0.0,0.01,0.01,0.02,0.86,0.86,0.00,0.00,0.00,0.01,0.01,0.23,0.23
Clyne,Nathaniel,CRY,3,253,0.0,0.0,0.0,0.03,0.03,0.04,0.6,0.57,0.01,0.01,0.01,0.02,0.02,0.21,0.20
Henderson,Jordan,LIV,6,475,0.0,0.0,0.0,0.54,0.54,0.44,3.71,3.29,0.10,0.10,0.08,0.18,0.18,0.70,0.62
Benteke,Christian,CRY,4,12,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fernandinho,Fernandinho,MCI,4,154,0.0,0.0,0.0,0.49,0.49,0.00,0.74,0.70,0.29,0.29,0.00,0.29,0.29,0.43,0.41
Agüero,Sergio,MCI,2,113,0.0,0.0,0.0,0.05,0.05,0.71,0.9,0.48,0.04,0.04,0.57,0.60,0.60,0.72,0.38
Iheanacho,Kelechi,LEI,3,103,0.0,0.0,0.0,0.11,0.11,0.39,0.5,0.00,0.10,0.10,0.34,0.44,0.44,0.44,0.00
Caballero,Willy,CHE,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.14
McArthur,James,CRY,6,523,0.0,0.0,0.0,0.09,0.09,0.56,1.11,0.53,0.01,0.01,0.10,0.11,0.11,0.19,0.09
McCarthy,Alex,SOU,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.12,0.12
Lloris,Hugo,TOT,8,720,0.0,0.0,0.0,0.00,0.00,0.00,1.07,1.07,0.00,0.00,0.00,0.00,0.00,0.13,0.13
Alderweireld,Toby,TOT,5,450,0.0,0.0,0.0,0.01,0.01,0.18,1.45,1.45,0.00,0.00,0.04,0.04,0.04,0.29,0.29
Dier,Eric,TOT,7,630,0.0,0.0,0.0,0.38,0.38,0.00,1.96,1.96,0.05,0.05,0.00,0.05,0.05,0.28,0.28
Lamela,Erik,TOT,5,188,0.0,0.0,0.0,0.60,0.60,0.08,1.16,0.72,0.29,0.29,0.04,0.32,0.32,0.55,0.34
Alli,Dele,TOT,2,64,0.0,0.0,0.0,0.23,0.23,0.03,0.54,0.37,0.33,0.33,0.05,0.38,0.38,0.76,0.52
Davies,Ben,TOT,6,375,0.0,0.0,0.0,0.07,0.07,0.07,1.2,1.16,0.02,0.02,0.02,0.04,0.04,0.29,0.28
Onomah,Josh,FUL,2,136,0.0,0.0,0.0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Azpilicueta,César,CHE,5,313,0.0,0.0,1.0,0.06,0.06,0.03,1.06,0.98,0.02,0.02,0.01,0.03,0.03,0.30,0.28
Ivanovic,Branislav,WBA,3,270,0.0,0.0,0.0,0.36,0.36,0.05,0.25,0.25,0.12,0.12,0.02,0.14,0.14,0.08,0.08
Loftus-Cheek,Ruben,CHE,4,231,0.0,0.0,0.0,0.09,0.09,0.02,0.19,0.17,0.03,0.03,0.01,0.04,0.04,0.07,0.07
Traoré,Bertrand,AVL,5,61,0.0,0.0,0.0,0.15,0.15,0.00,0.33,0.23,0.23,0.23,0.00,0.23,0.23,0.48,0.34
Matic,Nemanja,MUN,4,168,0.0,0.0,0.0,0.04,0.04,0.06,0.76,0.67,0.02,0.02,0.03,0.06,0.06,0.41,0.36
Cahill,Gary,CRY,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Willian,Willian,ARS,7,525,0.0,0.0,2.0,0.98,0.98,1.11,2.51,1.18,0.17,0.17,0.19,0.36,0.36,0.43,0.20
Tomori,Fikayo,CHE,1,43,0.0,0.0,0.0,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.15,0.15
Fabianski,Lukasz,WHU,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Fernández,Federico,NEW,8,720,0.0,0.0,0.0,0.00,0.00,0.05,0.4,0.40,0.00,0.00,0.01,0.01,0.01,0.05,0.05
Sigurdsson,Gylfi,EVE,8,378,0.0,0.0,1.0,0.33,0.33,0.71,1.27,0.82,0.08,0.08,0.17,0.25,0.25,0.30,0.19
van,Patrick,CRY,3,197,0.0,0.0,0.0,0.61,0.61,0.18,0.87,0.14,0.28,0.28,0.08,0.36,0.36,0.40,0.06
Pickford,Jordan,EVE,7,630,0.0,0.0,0.0,0.00,0.00,0.02,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.14,0.13
Schmeichel,Kasper,LEI,8,720,0.0,0.0,0.0,0.00,0.00,0.00,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Morgan,Wes,LEI,3,13,0.0,0.0,0.0,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Fuchs,Christian,LEI,4,280,0.0,0.0,0.0,0.04,0.04,0.00,1.1,1.07,0.01,0.01,0.00,0.01,0.01,0.35,0.34
Kanté,N'Golo,CHE,8,714,0.0,0.0,1.0,0.07,0.07,0.29,2.73,2.40,0.01,0.01,0.04,0.05,0.05,0.34,0.30
Albrighton,Marc,LEI,5,162,0.0,0.0,0.0,0.00,0.00,0.45,0.45,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.00
Schlupp,Jeffrey,CRY,6,412,0.0,0.0,1.0,0.20,0.20,0.93,2.23,1.73,0.04,0.04,0.20,0.25,0.25,0.49,0.38
Amartey,Daniel,LEI,2,146,0.0,0.0,0.0,0.00,0.00,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.27,0.27
Lascelles,Jamaal,NEW,7,629,0.0,0.0,0.0,0.12,0.12,0.00,0.48,0.48,0.02,0.02,0.00,0.02,0.02,0.07,0.07
Shelvey,Jonjo,NEW,5,437,0.0,0.0,0.0,0.43,0.43,0.50,1.04,0.66,0.09,0.09,0.10,0.19,0.19,0.21,0.14
Pérez,Ayoze,LEI,4,287,0.0,0.0,0.0,0.35,0.35,0.12,1.12,0.83,0.11,0.11,0.04,0.15,0.15,0.35,0.26
Wijnaldum,Georginio,LIV,8,631,0.0,0.0,0.0,1.30,1.30,0.73,3.27,1.85,0.19,0.19,0.10,0.29,0.29,0.47,0.26
Sissoko,Moussa,TOT,6,484,0.0,0.0,0.0,0.00,0.00,0.11,1.48,1.48,0.00,0.00,0.02,0.02,0.02,0.28,0.28
Darlow,Karl,NEW,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.87,0.87,0.00,0.00,0.00,0.00,0.00,0.11,0.11
Brady,Robbie,BUR,4,164,0.0,0.0,0.0,0.17,0.17,0.00,0.1,0.04,0.10,0.10,0.00,0.10,0.10,0.05,0.02
Redmond,Nathan,SOU,5,308,0.0,0.0,0.0,0.38,0.38,0.14,0.85,0.36,0.11,0.11,0.04,0.15,0.15,0.25,0.10
Evans,Jonny,LEI,5,440,0.0,0.0,0.0,0.11,0.11,0.00,0.07,0.07,0.02,0.02,0.00,0.02,0.02,0.01,0.01
Bertrand,Ryan,SOU,7,620,0.0,0.0,0.0,0.06,0.06,0.51,1.75,1.54,0.01,0.01,0.07,0.08,0.08,0.25,0.22
Long,Shane,SOU,6,22,0.0,0.0,0.0,0.04,0.04,0.00,0.04,0.04,0.18,0.18,0.00,0.18,0.18,0.16,0.16
Rodriguez,Jay,BUR,5,149,0.0,0.0,0.0,0.12,0.12,0.42,0.51,0.00,0.07,0.07,0.25,0.33,0.33,0.31,0.00
Bardsley,Phil,BUR,3,270,0.0,0.0,0.0,0.06,0.06,0.00,0.13,0.10,0.02,0.02,0.00,0.02,0.02,0.04,0.03
Delph,Fabian,EVE,3,151,0.0,0.0,0.0,0.01,0.01,0.03,0.42,0.38,0.01,0.01,0.02,0.03,0.03,0.25,0.22
Targett,Matt,AVL,7,630,0.0,0.0,0.0,0.18,0.18,0.21,1.51,1.37,0.03,0.03,0.03,0.05,0.05,0.22,0.20
Walker-Peters,Kyle,SOU,8,720,0.0,0.0,1.0,0.21,0.21,0.48,2.1,1.66,0.03,0.03,0.06,0.09,0.09,0.26,0.21
Pieters,Erik,BUR,2,141,0.0,0.0,0.0,0.06,0.06,0.00,0.09,0.09,0.04,0.04,0.00,0.04,0.04,0.06,0.06
Shaqiri,Xherdan,LIV,2,46,0.0,0.0,1.0,0.00,0.00,0.39,0.44,0.05,0.00,0.00,0.76,0.76,0.76,0.85,0.09
Traoré,Adama,WOL,8,335,0.0,0.0,0.0,0.25,0.25,0.31,0.78,0.25,0.07,0.07,0.08,0.15,0.15,0.21,0.07
Reed,Harrison,FUL,5,304,0.0,0.0,1.0,0.04,0.04,0.61,0.95,0.85,0.01,0.01,0.18,0.19,0.19,0.28,0.25
Tuanzebe,Axel,MUN,1,19,0.0,0.0,0.0,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.34,0.34
Winks,Harry,TOT,4,255,0.0,0.0,0.0,0.00,0.00,0.02,1.5,1.48,0.00,0.00,0.01,0.01,0.01,0.53,0.52
Johnstone,Sam,WBA,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Holgate,Mason,EVE,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Gomez,Joseph,LIV,7,594,0.0,0.0,0.0,0.00,0.00,0.07,2.09,2.02,0.00,0.00,0.01,0.01,0.01,0.32,0.31
Shaw,Luke,MUN,7,611,0.0,0.0,1.0,0.05,0.05,0.44,1.22,0.91,0.01,0.01,0.07,0.07,0.07,0.18,0.13
Field,Sam,WBA,3,56,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Roberts,Tyler,LEE,6,211,0.0,0.0,0.0,0.07,0.07,0.59,1.1,0.53,0.03,0.03,0.25,0.28,0.28,0.47,0.22
Vydra,Matej,BUR,5,123,0.0,0.0,0.0,0.31,0.31,0.31,0.68,0.06,0.23,0.23,0.22,0.45,0.45,0.50,0.05
Davies,Tom,EVE,3,92,0.0,0.0,0.0,0.00,0.00,0.00,0.1,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.10
Davis,Keinan,AVL,1,24,0.0,0.0,0.0,0.00,0.00,0.03,0.14,0.14,0.00,0.00,0.10,0.10,0.10,0.54,0.54
Kenny,Jonjoe,EVE,1,78,0.0,0.0,0.0,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.28,0.28
Anderson,Felipe,WHU,2,2,0.0,0.0,0.0,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,2.27,2.27
Alisson,Alisson,LIV,6,540,0.0,0.0,0.0,0.00,0.00,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.10,0.10
Lemina,Mario,FUL,4,152,0.0,0.0,0.0,0.02,0.02,0.02,0.23,0.19,0.01,0.01,0.01,0.03,0.03,0.14,0.11
Kean,Moise,EVE,2,10,0.0,0.0,0.0,0.02,0.02,0.00,0.02,0.00,0.20,0.20,0.00,0.20,0.20,0.20,0.00
Allan,Allan,EVE,7,630,0.0,0.0,0.0,0.03,0.03,0.07,2.52,2.46,0.00,0.00,0.01,0.01,0.01,0.36,0.35
Krafth,Emil,NEW,2,180,0.0,0.0,0.0,0.00,0.00,0.08,1.03,0.95,0.00,0.00,0.04,0.04,0.04,0.52,0.47
Alonso,Marcos,CHE,3,228,0.0,0.0,0.0,0.08,0.08,0.02,0.3,0.27,0.03,0.03,0.01,0.04,0.04,0.12,0.10
Lowton,Matthew,BUR,3,270,0.0,0.0,0.0,0.01,0.01,0.32,0.48,0.14,0.00,0.00,0.11,0.11,0.11,0.16,0.05
Mee,Ben,BUR,1,90,0.0,0.0,0.0,0.07,0.07,0.00,0.0,0.00,0.07,0.07,0.00,0.07,0.07,0.00,0.00
Berg,Johann,BUR,3,175,0.0,0.0,0.0,0.09,0.09,0.10,0.13,0.08,0.05,0.05,0.05,0.10,0.10,0.07,0.04
Tarkowski,James,BUR,5,450,0.0,0.0,0.0,0.79,0.79,0.16,0.19,0.19,0.16,0.16,0.03,0.19,0.19,0.04,0.04
