Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Ream,Tim,FUL,5,450,0.0,0.0,0.0,0.00,0.00,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.12,0.12
Reguilón,Sergio,TOT,4,360,0.0,0.0,2.0,0.17,0.17,1.15,2.37,1.57,0.04,0.04,0.29,0.33,0.33,0.59,0.39
Dendoncker,Leander,WOL,7,550,0.0,0.0,0.0,0.81,0.81,0.24,1.7,0.75,0.13,0.13,0.04,0.17,0.17,0.28,0.12
White,Ben,BHA,8,713,0.0,0.0,0.0,0.05,0.05,0.06,2.33,2.29,0.01,0.01,0.01,0.01,0.01,0.29,0.29
Kilman,Max,WOL,5,450,0.0,0.0,1.0,0.00,0.00,0.16,0.45,0.36,0.00,0.00,0.03,0.03,0.03,0.09,0.07
Burn,Dan,BHA,5,380,0.0,0.0,0.0,0.13,0.13,0.08,0.64,0.55,0.03,0.03,0.02,0.05,0.05,0.15,0.13
Vinicius,Carlos,TOT,1,10,0.0,0.0,0.0,0.12,0.12,0.02,0.14,0.00,1.08,1.08,0.16,1.24,1.24,1.24,0.00
Almirón,Miguel,NEW,7,388,0.0,0.0,1.0,0.27,0.27,0.71,1.45,0.67,0.06,0.06,0.16,0.23,0.23,0.34,0.15
Greenwood,Mason,MUN,5,277,0.0,0.0,0.0,0.59,0.59,0.20,0.73,0.04,0.19,0.19,0.06,0.26,0.26,0.24,0.01
Fofana,Wesley,LEI,4,360,0.0,0.0,0.0,0.00,0.00,0.03,0.46,0.44,0.00,0.00,0.01,0.01,0.01,0.12,0.11
Godfrey,Ben,EVE,2,150,0.0,0.0,0.0,0.00,0.00,0.03,0.1,0.10,0.00,0.00,0.02,0.02,0.02,0.06,0.06
Lewis,Jamal,NEW,8,648,0.0,0.0,0.0,0.00,0.00,0.32,1.55,1.25,0.00,0.00,0.04,0.04,0.04,0.21,0.17
Webster,Adam,BHA,8,720,0.0,0.0,0.0,0.39,0.39,0.07,1.79,1.70,0.05,0.05,0.01,0.06,0.06,0.22,0.21
Egan,John,SHU,7,551,0.0,0.0,0.0,0.05,0.05,0.00,1.23,1.23,0.01,0.01,0.00,0.01,0.01,0.20,0.20
Basham,Chris,SHU,8,665,0.0,0.0,0.0,0.12,0.12,0.41,1.29,0.76,0.02,0.02,0.06,0.07,0.07,0.17,0.10
O'Connell,Jack,SHU,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Baldock,George,SHU,8,720,0.0,0.0,1.0,0.31,0.31,1.17,1.76,1.32,0.04,0.04,0.15,0.19,0.19,0.22,0.16
Stevens,Enda,SHU,8,720,0.0,0.0,0.0,0.20,0.20,0.08,1.9,1.76,0.03,0.03,0.01,0.04,0.04,0.24,0.22
Lundstram,John,SHU,8,629,0.0,0.0,0.0,1.40,0.64,0.73,2.73,1.48,0.20,0.09,0.11,0.30,0.20,0.39,0.21
Fleck,John,SHU,3,183,0.0,0.0,0.0,0.04,0.04,0.10,0.15,0.10,0.02,0.02,0.05,0.07,0.07,0.08,0.05
Norwood,Oliver,SHU,5,281,0.0,0.0,0.0,0.00,0.00,0.08,1.27,1.22,0.00,0.00,0.03,0.03,0.03,0.41,0.39
Osborn,Ben,SHU,6,348,0.0,0.0,0.0,0.19,0.19,0.66,1.02,0.76,0.05,0.05,0.17,0.22,0.22,0.26,0.20
Trézéguet,Trézéguet,AVL,7,570,0.0,0.0,1.0,0.80,0.80,1.56,2.58,1.04,0.13,0.13,0.25,0.37,0.37,0.41,0.16
N'Lundulu,Daniel,SOU,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Longstaff,Matthew,NEW,1,28,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alzate,Steven,BHA,5,357,0.0,0.0,0.0,0.16,0.16,0.80,2.16,1.76,0.04,0.04,0.20,0.24,0.24,0.54,0.44
Raphinha,Raphinha,LEE,3,54,0.0,0.0,0.0,0.15,0.15,0.00,0.54,0.54,0.25,0.25,0.00,0.25,0.25,0.91,0.91
Nakamba,Marvelous,AVL,2,8,0.0,0.0,0.0,0.02,0.02,0.00,0.07,0.05,0.25,0.25,0.00,0.25,0.25,0.76,0.51
Garcia,Eric,MCI,2,180,0.0,0.0,0.0,0.01,0.01,0.01,0.32,0.31,0.01,0.01,0.00,0.01,0.01,0.16,0.16
Tierney,Kieran,ARS,7,623,0.0,0.0,0.0,0.06,0.06,0.52,1.89,1.48,0.01,0.01,0.08,0.08,0.08,0.27,0.21
Nkounkou,Niels,EVE,1,70,0.0,0.0,0.0,0.02,0.02,0.00,0.03,0.01,0.02,0.02,0.00,0.02,0.02,0.04,0.02
Gordon,Anthony,EVE,1,31,0.0,0.0,0.0,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.39,0.39
Mitchell,Tyrick,CRY,6,540,0.0,0.0,0.0,0.11,0.11,0.00,1.45,1.34,0.02,0.02,0.00,0.02,0.02,0.24,0.22
Smallbone,William,SOU,2,111,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Buur,Oskar,WOL,1,20,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Phillips,Nathaniel,LIV,1,90,0.0,0.0,0.0,0.00,0.00,0.03,0.07,0.05,0.00,0.00,0.03,0.03,0.03,0.07,0.05
Minamino,Takumi,LIV,4,49,0.0,0.0,0.0,0.07,0.07,0.00,0.09,0.02,0.13,0.13,0.00,0.13,0.13,0.17,0.04
Robinson,Jack,SHU,3,252,0.0,0.0,0.0,0.55,0.55,0.00,0.55,0.55,0.20,0.20,0.00,0.20,0.20,0.20,0.20
Bergwijn,Steven,TOT,4,148,0.0,0.0,0.0,0.14,0.14,0.18,1.52,1.39,0.08,0.08,0.11,0.19,0.19,0.93,0.84
Brownhill,Josh,BUR,7,630,0.0,0.0,0.0,0.31,0.31,0.42,1.56,1.22,0.04,0.04,0.06,0.10,0.10,0.22,0.17
Hoever,Ki-Jana,WOL,2,28,0.0,0.0,0.0,0.00,0.00,0.04,0.05,0.05,0.00,0.00,0.13,0.13,0.13,0.17,0.17
Tella,Nathan,SOU,3,42,0.0,0.0,0.0,0.02,0.02,0.00,0.21,0.19,0.05,0.05,0.00,0.05,0.05,0.45,0.40
Thomas,Luke,LEI,2,138,0.0,0.0,0.0,0.06,0.06,0.00,0.06,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.00
Rodák,Marek,FUL,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Meslier,Illan,LEE,8,720,0.0,0.0,0.0,0.00,0.00,0.04,2.24,2.20,0.00,0.00,0.01,0.01,0.01,0.28,0.27
Ayling,Luke,LEE,8,720,0.0,0.0,0.0,0.52,0.52,1.32,4.46,3.48,0.07,0.07,0.16,0.23,0.23,0.56,0.44
Struijk,Pascal,LEE,4,260,0.0,0.0,0.0,0.13,0.13,0.02,0.4,0.40,0.04,0.04,0.01,0.05,0.05,0.14,0.14
Phillips,Kalvin,LEE,5,450,0.0,0.0,1.0,0.05,0.05,0.68,1.02,0.80,0.01,0.01,0.14,0.15,0.15,0.20,0.16
Shackleton,Jamie,LEE,3,124,0.0,0.0,0.0,0.00,0.00,0.02,1.14,1.14,0.00,0.00,0.02,0.02,0.02,0.83,0.83
Alioski,Ezgjan,LEE,6,254,0.0,0.0,0.0,0.47,0.47,0.84,1.59,0.37,0.17,0.17,0.30,0.47,0.47,0.56,0.13
Poveda-Ocampo,Ian,LEE,4,126,0.0,0.0,0.0,0.55,0.55,0.09,0.66,0.03,0.39,0.39,0.06,0.45,0.45,0.47,0.02
O'Shea,Dara,WBA,5,450,0.0,0.0,0.0,0.05,0.05,0.08,0.44,0.42,0.01,0.01,0.02,0.03,0.03,0.09,0.08
Sawyers,Romaine,WBA,6,344,0.0,0.0,0.0,0.06,0.06,0.17,0.44,0.39,0.01,0.01,0.04,0.06,0.06,0.12,0.10
