Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Leno,ARS,GKP,5.0,9.3%,2.5,19.0,540.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,111.0,122.6,0.0,0.0,12.3,2.5,0.0,0.5,3.8,3.2,329950.0,283868.0,0.0,0.0
Bellerín,ARS,DEF,5.0,5.9%,3.5,21.0,540.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,104.0,95.2,66.9,33.0,19.6,3.5,0.0,0.7,4.2,3.5,271461.0,201217.0,0.0,0.0
Aubameyang,ARS,MID,11.7,15.2%,2.0,20.0,540.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,93.4,103.1,117.0,31.4,2.0,0.0,0.2,1.7,3.3,352380.0,2423792.0,-3.0,3.0
Ryan,BHA,GKP,4.5,15.3%,1.0,11.0,540.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,73.0,50.0,0.3,0.0,5.0,1.0,0.0,0.2,2.4,1.8,334386.0,456032.0,0.0,0.0
Webster,BHA,DEF,4.5,2.0%,1.0,11.0,540.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,76.6,33.8,74.0,18.4,1.0,0.0,0.2,2.4,1.8,36243.0,89365.0,0.0,0.0
Maupay,BHA,FWD,6.6,6.4%,3.3,36.0,540.0,4.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,127.0,181.0,76.1,308.0,56.4,3.3,1.0,0.5,5.5,6.0,561161.0,264408.0,1.0,-1.0
Guaita,CRY,GKP,5.0,4.5%,0.7,17.0,540.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,17.0,3.0,89.0,121.0,0.0,0.0,12.1,0.7,1.0,0.1,3.4,2.8,290256.0,185430.0,0.0,0.0
Mitchell,CRY,DEF,4.2,26.5%,1.0,15.0,540.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,90.2,12.8,19.0,12.2,1.0,0.0,0.2,3.6,2.5,1245203.0,366432.0,2.0,-2.0
Kouyaté,CRY,MID,5.0,0.7%,2.0,20.0,540.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,134.2,11.0,65.0,21.1,2.0,0.0,0.4,4.0,3.3,57058.0,33188.0,0.0,0.0
Townsend,CRY,MID,6.1,3.2%,2.0,28.0,540.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,97.0,150.2,159.7,44.0,35.4,2.0,0.0,0.3,4.6,4.7,334702.0,194321.0,1.0,-1.0
Zaha,CRY,MID,7.3,23.9%,8.0,48.0,540.0,5.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,126.0,211.8,108.2,282.0,60.3,8.0,2.0,1.1,6.6,8.0,1721911.0,794502.0,3.0,-3.0
Pickford,EVE,GKP,5.0,8.3%,2.0,17.0,540.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,102.0,136.0,10.0,0.0,14.7,2.0,0.0,0.4,3.4,2.8,402021.0,330123.0,0.0,0.0
Keane,EVE,DEF,5.1,6.1%,3.3,25.0,540.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,179.2,22.5,76.0,27.8,3.3,1.0,0.6,4.9,4.2,392129.0,132482.0,1.0,-1.0
Mina,EVE,DEF,5.5,2.3%,3.3,19.0,540.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,153.6,3.5,59.0,21.6,3.3,0.0,0.6,3.5,3.2,111928.0,65968.0,0.0,0.0
Schmeichel,LEI,GKP,5.5,11.9%,5.0,25.0,540.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,110.0,150.8,0.0,0.0,15.1,5.0,1.0,0.9,4.5,4.2,200386.0,340572.0,0.0,0.0
Justin,LEI,DEF,4.8,21.6%,3.0,26.0,540.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,110.0,119.4,50.2,37.0,20.7,3.0,0.0,0.6,5.4,4.3,1156667.0,486765.0,3.0,-3.0
Castagne,LEI,DEF,5.8,21.2%,2.7,35.0,540.0,1.0,3.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,136.0,145.0,78.1,86.0,31.0,2.7,2.0,0.5,6.0,5.8,1529500.0,367277.0,3.0,-3.0
Tielemans,LEI,MID,6.4,1.7%,1.7,16.0,540.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,91.0,122.6,71.3,49.0,24.3,1.7,0.0,0.3,2.5,2.7,64934.0,104706.0,-1.0,1.0
Meslier,LEE,GKP,4.5,3.9%,3.7,24.0,540.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,125.0,114.6,10.0,0.0,12.5,3.7,1.0,0.8,5.3,4.0,252134.0,85546.0,0.0,0.0
Ayling,LEE,DEF,4.5,4.3%,3.0,17.0,540.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,105.0,157.4,89.0,55.0,30.2,3.0,0.0,0.7,3.8,2.8,191089.0,157872.0,0.0,0.0
Dallas,LEE,DEF,4.5,5.7%,3.0,19.0,540.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,122.2,53.6,89.0,26.6,3.0,0.0,0.7,4.2,3.2,295228.0,197619.0,0.0,0.0
Koch,LEE,DEF,4.5,0.8%,4.0,19.0,540.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,102.6,2.7,45.0,15.1,4.0,1.0,0.9,4.2,3.2,32085.0,23248.0,0.0,0.0
Robertson,LIV,DEF,7.1,19.3%,4.2,27.0,540.0,1.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,137.0,152.6,162.4,114.0,43.0,4.2,1.0,0.6,3.8,4.5,823934.0,421477.0,1.0,-1.0
Salah,LIV,MID,12.4,47.7%,6.8,50.0,540.0,6.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,177.0,274.4,228.1,458.0,96.0,6.8,1.0,0.5,4.0,8.3,1509632.0,506903.0,4.0,-4.0
