Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
van Dijk,21,6,SHU,LIV,1,DEF,6.4,11.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,4.8,66.0,15.3,0.2,0.0,0.0,2.3,3.0,369.0,280745.0,-1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.34,0.31,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Henderson,21,6,SHU,LIV,1,MID,5.4,1.2,1.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57.2,71.4,48.0,17.7,1.0,0.0,0.2,1.3,1.8,3066.0,3230.0,-1.0,1.0,4,0.0,0.019999999999999962,0.019999999999999962,0.31,1.5799999999999998,1.5500000000000003,0.15,0.15,0.13,0.28,0.28,0.94,0.83,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Keita,21,6,SHU,LIV,1,MID,5.3,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,25.8,92.0,13.6,0.8,0.0,0.2,1.3,1.8,26.0,2930.0,-2.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.02,0.13,0.13,0.73,0.6,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Jota,21,6,SHU,LIV,1,MID,6.3,1.9,4.5,9.0,82.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,80.4,36.0,124.0,24.0,4.5,0.0,0.7,2.9,4.5,23197.0,9452.0,-2.0,2.0,4,1.0,0.31999999999999995,0.31999999999999995,0.0,0.6299999999999999,0.30999999999999994,0.46,0.46,0.1,0.57,0.57,0.95,0.39,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Matip,21,6,SHU,LIV,1,DEF,5.4,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.8,17.0,3.0,0.2,0.0,0.0,0.4,1.0,343.0,2382.0,-1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.92,0.92,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Milner,21,6,SHU,LIV,1,MID,5.3,0.1,0.8,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,22.3,6.0,4.5,0.8,0.0,0.2,0.8,1.0,220.0,441.0,-2.0,2.0,4,0.0,0.0,0.0,0.0,0.08999999999999997,0.08999999999999997,0.0,0.0,0.03,0.03,0.03,0.89,0.89,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Minamino,21,6,SHU,LIV,1,MID,6.1,0.2,0.8,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.2,1.6,30.0,3.8,0.8,0.0,0.1,0.7,1.0,161.0,630.0,-4.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.17,0.04,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Jones,21,6,SHU,LIV,1,MID,4.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,14.6,2.0,2.5,0.2,0.0,0.0,0.5,1.0,3037.0,2428.0,-1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.47,0.42,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Thiago,21,6,SHU,LIV,1,MID,6.0,1.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,44.6,12.0,7.7,0.5,0.0,0.1,0.5,1.5,4259.0,14235.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.13,0.19,0.19,0.67,0.6,2,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.3999999999999986,2.41,1.3999999999999995,0.6299999999999999,1.7599999999999998,0.41000000000000014,0.060000000000002274,7.0,8.0,2.17,19,0.5,1.5,0.16666666666666666,1.09,0.7083333333333334,1.385,1.2583333333333333,-0.5483333333333333,2.4166666666666665,1.9483333333333333,5.833333333333333,5.666666666666667,1.1033333333333333
Gabriel,21,6,LEI,ARS,1,DEF,5.1,11.8,1.5,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,133.8,6.0,81.0,22.1,1.5,0.0,0.3,4.5,4.6,12558.0,36129.0,1.0,-1.0,5,0.0,0.17000000000000004,0.17000000000000004,0.0,0.27,0.27,0.15,0.15,0.0,0.15,0.15,0.27,0.27,11,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7300000000000004,0.7300000000000004,0.7400000000000002,0.7400000000000002,0.010000000000000009,-2.400000000000002,1.0599999999999987,5.0,2.0,1.2699999999999996,4,2.1666666666666665,1.3333333333333333,2.0,1.445,0.8116666666666666,1.1616666666666666,1.1616666666666666,-0.35000000000000003,2.1149999999999998,2.263333333333333,4.666666666666667,5.333333333333333,1.51
