Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Godfrey,21,18,WOL,EVE,0.0,5.0,DEF,0.3,3.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,166.4,37.8,19.0,22.4,3.0,0.0,0.6,5.8,2.6,3033.0,4912.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.29000000000000004,0.29000000000000004,0.01,0.01,0.0,0.01,0.01,0.22,0.22,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Rodríguez,21,18,WOL,EVE,0.0,7.7,MID,8.7,0.6,2.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,292.2,390.7,236.0,92.1,0.6,0.0,0.1,6.8,4.3,25494.0,25465.0,2.0,-2.0,12.0,0.0,0.0,0.0,0.20999999999999952,0.28999999999999915,0.29000000000000004,0.2,0.2,0.38,0.58,0.58,0.78,0.48,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Sigurdsson,21,18,WOL,EVE,0.0,6.8,MID,1.9,5.2,2.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,209.2,310.8,156.0,67.6,5.2,0.0,0.8,7.8,3.3,26081.0,35607.0,-2.0,2.0,16.0,0.0,0.0,0.0,0.010000000000000009,0.18000000000000016,0.18000000000000016,0.2,0.12,0.17,0.37,0.29,0.25,0.11,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Iwobi,21,18,WOL,EVE,0.0,5.9,MID,0.3,3.8,8.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,208.6,173.3,181.0,56.3,3.8,1.0,0.6,7.3,2.9,2357.0,2822.0,-1.0,1.0,15.0,1.0,0.29000000000000004,0.29000000000000004,0.0,0.29000000000000004,0.08999999999999986,0.06,0.06,0.19,0.25,0.25,0.57,0.34,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Digne,21,18,WOL,EVE,0.0,6.0,DEF,4.9,1.0,5.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,223.0,246.7,46.0,51.7,1.0,0.0,0.2,6.5,4.3,22084.0,9778.0,0.0,0.0,9.0,0.0,0.0,0.0,0.08999999999999986,0.16999999999999993,0.18000000000000016,0.02,0.02,0.26,0.28,0.28,0.41,0.21,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Holgate,21,18,WOL,EVE,0.0,4.8,DEF,1.4,5.2,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,182.0,53.2,61.0,29.6,5.2,0.0,1.1,7.1,4.2,23311.0,28138.0,-2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.29000000000000004,0.29999999999999993,0.16,0.16,0.02,0.18,0.18,0.12,0.12,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Coleman,21,18,WOL,EVE,0.0,4.8,DEF,0.6,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,130.8,64.2,57.0,25.3,1.0,0.0,0.2,4.4,2.1,4066.0,4262.0,-2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.09,0.11,0.11,0.39,0.37,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Davies,21,18,WOL,EVE,0.0,5.2,MID,0.1,1.6,2.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,75.6,44.6,1.0,12.2,1.6,0.0,0.3,3.3,1.7,270.0,257.0,-3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.20999999999999985,0.19999999999999996,0.0,0.0,0.07,0.07,0.07,0.21,0.14,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Delph,21,18,WOL,EVE,0.0,4.9,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,18.6,1.0,4.6,0.0,0.0,0.0,1.2,1.2,25.0,95.0,-1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.45,0.43,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Olsen,21,18,WOL,EVE,0.0,4.5,GKP,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,3.6,1.2,0.0,0.3,1.6,3.5,696.0,613.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Gordon,21,18,WOL,EVE,0.0,4.3,MID,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,12.7,4.0,3.1,0.4,0.0,0.1,0.7,1.0,3195.0,8047.0,-2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.2,0.2,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Kenny,21,18,WOL,EVE,0.0,4.3,DEF,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.1,8.0,2.8,0.4,0.0,0.1,1.2,1.2,370.0,402.0,-2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Nkounkou,21,18,WOL,EVE,0.0,4.0,DEF,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,5.3,1.0,2.0,0.0,0.0,0.0,0.2,1.0,928.0,1800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.04,0.02,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Tosun,21,18,WOL,EVE,0.0,6.0,FWD,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.6,4.0,1.8,0.4,0.0,0.1,0.7,0.8,5083.0,2240.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.26,0.08,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
Kean,21,18,WOL,EVE,0.0,5.7,FWD,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,11.0,0.9,0.0,0.0,0.0,0.4,1.0,19.0,91.0,-3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.3200000000000003,0.3299999999999983,0.8500000000000014,0.8499999999999979,-0.5300000000000002,0.2900000000000009,0.129999999999999,9.0,4.0,0.8000000000000007,14,1.0555555555555556,1.4444444444444444,1.2222222222222223,0.9983333333333333,0.9133333333333334,1.3177777777777777,1.106111111111111,-0.1927777777777778,0.7911111111111111,0.665,4.0,7.388888888888889,1.151111111111111
