Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Abraham,21,8,SHU,CHE,,FWD,2.2,3.8,8,90,1,0,0,1,0,0,0,0,0,0,2,33,113,71.6,224,41,3.8,0,0.5,3.8,3.9,14733,5945,-3,3,7,1,0.34,0.34,0.17,0.32,0,0.52,0.52,0.06,0.58,0.58,0.35,0.01,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Mendy,21,8,SHU,CHE,,GKP,6.3,3.8,2,90,0,0,0,1,0,0,0,0,0,2,0,18,43.8,0,0,4.4,3.8,0,0.7,4.1,5.2,126800,17720,1,-1,4,0,0,0,0,0.29,0.29,0,0,0,0,0,0.08,0.08,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Azpilicueta,21,8,SHU,CHE,,DEF,3.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,39.2,33,14.4,1.8,0,0.3,2.9,3.4,2699,29011,-2,2,5,0,0,0,0,0,0,0.02,0.02,0.01,0.03,0.03,0.3,0.28,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Christensen,21,8,SHU,CHE,,DEF,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4.1,20,9.5,0.2,0,0,0,0,280,1293,-2,2,4,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.39,0.39,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Alonso,21,8,SHU,CHE,,DEF,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28.1,20,8.5,0,0,0,0.4,0.7,775,8414,-3,3,3,0,0,0,0,0,0,0.03,0.03,0.01,0.04,0.04,0.12,0.1,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Kovacic,21,8,SHU,CHE,,MID,0.3,1.2,5,70,0,1,0,1,0,0,0,0,0,0,0,21,34.6,26.6,14,7.5,1.2,0,0.2,1.7,2.2,350,1630,-2,2,4,0,0.04,0.04,0.08,0.22,0.18,0.02,0.02,0.04,0.06,0.06,0.6,0.57,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Ziyech,21,8,SHU,CHE,,MID,11.5,6.8,11,90,0,2,0,1,0,0,0,0,0,0,3,39,101.2,114.2,34,25,6.8,1,0.8,3.3,6.8,494989,12229,1,-1,4,0,0.09,0.09,1.79,0.78,0.24,0.06,0.06,1.08,1.14,1.14,0.59,0.13,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Pulisic,21,8,SHU,CHE,,MID,2.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,14.1,72,11.3,1.2,0,0.1,0.7,2,695,89041,-3,3,3,0,0,0,0,0,0,0.12,0.12,0.03,0.15,0.15,0.44,0.33,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Hudson-Odoi,21,8,SHU,CHE,,MID,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6,70.4,53,17.3,0.2,0,0,1.9,2.8,489,2240,-3,3,4,0,0,0,0,0,0,0.11,0.11,0.29,0.4,0.4,0.47,0.29,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Caballero,21,8,SHU,CHE,,GKP,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0.4,0,0,0,0.2,1,96,772,-2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Tomori,21,8,SHU,CHE,,DEF,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0.1,0,2.7,0,0,0,0,0,193,878,-2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Giroud,21,8,SHU,CHE,,FWD,0.6,0.5,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3.9,6,1.1,0.5,0,0.1,0.4,1,509,1858,-3,3,3,0,0,0,0,0,0,0,0,0,0,0,0.19,0.19,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Arrizabalaga,21,8,SHU,CHE,,GKP,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,0,0,5,0.5,0,0.1,1.2,2,128,4266,-2,2,3,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,5,1,1,0,0,4,1,3,2.85,2.86,0.3,0.7,2.16,0.17,1.13,14,4,2.72
Callum Robinson,21,8,TOT,WBA,,FWD,0.7,2,2,66,0,0,1,0,0,0,0,0,0,0,0,10,86,74.1,120,27.6,2,0,0.4,4.5,3.1,3838,9179,0,0,8,0,0.1,0.1,0.13,0.51,0.36,0.09,0.09,0.06,0.15,0.15,0.26,0.12,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Johnstone,21,8,TOT,WBA,,GKP,1,4.5,3,90,0,0,0,1,0,0,0,0,0,4,0,16,224.8,0,0,22.5,4.5,0,1,5.8,3.2,4669,5481,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Livermore,21,8,TOT,WBA,,MID,0.1,1.2,2,89,0,0,0,1,0,0,0,0,0,0,0,5,65,42.6,25,13.2,1.2,0,0.3,2.5,1.5,155,666,-2,2,8,0,0.04,0.04,0,0.05,0,0.03,0.03,0.02,0.05,0.05,0.07,0.04,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Ajayi,21,8,TOT,WBA,,DEF,0.2,1.2,2,90,0,0,0,1,0,0,0,0,0,0,0,16,109.8,3.6,4,11.7,1.2,0,0.3,1.5,1,211,771,-2,2,7,0,0,0,0,0.11,0.11,0,0,0,0,0,0.04,0.04,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Furlong,21,8,TOT,WBA,,DEF,0.1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,16,118.4,95.4,97,31.2,3,0,0.7,3.8,2.4,281,1053,0,0,7,0,0.08,0.08,0.34,0.41,0.01,0.04,0.04,0.15,0.19,0.19,0.15,0.06,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Diangana,21,8,TOT,WBA,,MID,0.4,2,1,23,0,0,0,1,0,0,0,0,0,0,0,0,96.8,71.9,108,27.6,2,0,0.4,3.9,2.6,261,5751,-1,1,8,0,0,0,0,0,0,0.08,0.08,0.01,0.09,0.09,0.13,0.07,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Pereira,21,8,TOT,WBA,,MID,1.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,150.4,99,37,1.5,0,0.3,4.2,3.6,615,42661,-1,1,7,0,0,0,0,0,0,0.08,0.08,0.08,0.15,0.15,0.12,0.05,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Townsend,21,8,TOT,WBA,,DEF,0.1,3.5,,,,,,,,,,,,,,,100.4,69.9,31,20.1,3.5,,0.8,3.6,2.7,,,0,0,6,,,,,,,0.01,0.01,0.03,0.04,0.04,0.09,0.06,18,,,,,,,,,,,,,,,,,
Bartley,21,8,TOT,WBA,,DEF,0.2,0.2,1,90,0,0,0,1,0,0,0,1,0,0,0,6,117.2,1.3,37,15.5,0.2,0,0,2.2,2,92,1093,0,0,5,0,0,0,0,0.09,0.09,0.1,0.1,0,0.1,0.1,0.06,0.06,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
O'Shea,21,8,TOT,WBA,,DEF,0.2,0.5,2,90,0,0,0,1,0,0,0,0,0,0,0,10,90.2,22.6,22,13.5,0.5,0,0.1,1.2,1,259,867,-2,2,5,0,0.02,0.02,0.06,0.1,0.09,0.01,0.01,0.02,0.03,0.03,0.09,0.08,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Sawyers,21,8,TOT,WBA,,MID,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,37.4,2,7.8,0.2,0,0,1.9,1.5,24,200,-2,2,6,0,0,0,0,0,0,0.01,0.01,0.04,0.06,0.06,0.12,0.1,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Grant,21,8,TOT,WBA,,FWD,0,3.8,2,83,0,0,1,0,0,0,0,0,0,0,0,0,44.4,28.7,72,14.4,3.8,0,0.6,2.5,3.8,629,1196,-1,1,4,0,0.43,0.43,0,0.33,0,0.17,0.17,0.04,0.21,0.21,0.17,0.03,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
