Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
DarlowNEWGKP,5.0,1.7%,6.0,27.0,450.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,28.0,4.0,134.0,215.8,0.0,0.0,21.7,6.0,0.0,1.2,5.4,5.4,117300.0,51988.0,0.0,0.0
FernándezNEWDEF,5.0,1.1%,1.3,11.0,450.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,115.6,11.0,4.0,13.0,1.3,0.0,0.3,2.2,2.2,21782.0,50980.0,0.0,0.0
RamsdaleSHUGKP,4.9,4.0%,2.8,12.0,450.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,79.0,117.8,10.0,2.0,13.0,2.8,0.0,0.6,2.4,2.4,50242.0,252673.0,-1.0,1.0
StevensSHUDEF,5.4,2.6%,1.8,8.0,450.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,87.8,16.2,44.0,14.9,1.8,0.0,0.3,1.5,1.6,15994.0,181638.0,-1.0,1.0
BaldockSHUDEF,5.4,2.6%,2.2,10.0,450.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,64.2,51.1,57.0,17.3,2.2,0.0,0.4,1.9,2.0,32252.0,167582.0,-1.0,1.0
McCarthySOUGKP,4.5,19.0%,5.3,18.0,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,90.0,90.2,0.0,0.0,9.1,5.3,1.0,1.2,4.0,3.6,389539.0,548733.0,0.0,0.0
BertrandSOUDEF,5.0,1.3%,5.0,16.0,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,75.0,61.0,69.0,33.0,16.2,5.0,0.0,1.0,3.2,3.2,32401.0,44115.0,0.0,0.0
Walker-PetersSOUDEF,4.5,10.9%,4.0,16.0,450.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,89.0,99.0,48.9,32.0,18.0,4.0,0.0,0.9,3.6,3.2,330198.0,355512.0,0.0,0.0
Ward-ProwseSOUMID,5.8,2.0%,2.7,12.0,450.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,54.6,98.9,37.0,19.1,2.7,0.0,0.5,2.1,2.4,26542.0,184287.0,-2.0,2.0
IngsSOUFWD,8.5,18.3%,6.0,31.0,450.0,4.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,124.0,157.0,43.9,208.0,40.9,6.0,0.0,0.7,3.6,6.2,532619.0,870638.0,0.0,0.0
LlorisTOTGKP,5.5,5.7%,1.7,10.0,450.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,65.0,81.8,0.0,0.0,8.2,1.7,0.0,0.3,1.8,2.0,167971.0,152924.0,0.0,0.0
HøjbjergTOTMID,4.9,0.8%,3.0,12.0,450.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,92.0,75.3,11.0,17.9,3.0,0.0,0.6,2.4,2.4,31425.0,51026.0,-1.0,1.0
JohnstoneWBAGKP,4.5,0.8%,5.0,17.0,450.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,105.0,159.8,0.0,0.0,16.0,5.0,0.0,1.1,3.8,3.4,28738.0,28714.0,0.0,0.0
LivermoreWBAMID,4.9,0.1%,1.7,9.0,450.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,46.8,25.3,21.0,9.2,1.7,0.0,0.3,1.8,1.8,3080.0,7695.0,-1.0,1.0
FabianskiWHUGKP,5.0,1.5%,5.0,17.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,81.0,46.4,0.0,0.0,4.7,5.0,0.0,1.0,3.4,3.4,24382.0,45113.0,0.0,0.0
OgbonnaWHUDEF,4.9,0.4%,4.0,14.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,99.8,13.5,33.0,14.6,4.0,0.0,0.8,2.9,2.8,7551.0,13332.0,-1.0,1.0
CresswellWHUDEF,5.0,4.7%,9.0,29.0,450.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,144.0,158.6,185.2,1.0,34.5,9.0,1.0,1.8,5.8,5.8,282577.0,65943.0,0.0,0.0
RiceWHUMID,4.9,3.0%,2.7,12.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.4,61.1,30.0,17.3,2.7,0.0,0.6,2.4,2.4,46379.0,170472.0,-1.0,1.0
SoucekWHUMID,4.9,3.0%,3.3,14.0,450.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,46.0,48.0,162.0,25.6,3.3,0.0,0.7,2.9,2.8,79522.0,243806.0,-1.0,1.0
BolyWOLDEF,5.5,2.4%,3.8,21.0,450.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,85.8,3.2,22.0,11.1,3.8,0.0,0.7,3.8,4.2,61492.0,71148.0,0.0,0.0
WernerCHEFWD,9.3,21.1%,6.7,27.0,449.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,115.8,57.0,231.0,40.4,6.7,1.0,0.7,2.9,5.4,562311.0,2238591.0,-2.0,2.0
Alexander-ArnoldLIVDEF,7.5,37.3%,2.3,15.0,448.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,99.0,83.0,143.8,48.0,27.4,2.3,0.0,0.3,2.0,3.0,309063.0,1261840.0,0.0,0.0
WilsonNEWFWD,6.5,13.5%,8.7,36.0,444.0,4.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,126.0,158.6,60.0,190.0,40.6,8.7,1.0,1.3,5.5,7.2,889394.0,652060.0,0.0,0.0
KantéCHEMID,4.9,3.4%,2.0,10.0,442.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,71.4,22.0,11.0,10.5,2.0,0.0,0.4,2.0,2.0,93187.0,192687.0,-1.0,1.0
WhiteBHADEF,4.5,1.4%,0.7,9.0,438.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,89.0,28.3,8.0,12.7,0.7,0.0,0.2,2.0,1.8,38495.0,57065.0,0.0,0.0
MarchBHAMID,5.0,1.1%,5.3,21.0,437.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,117.4,120.3,104.0,34.2,5.3,0.0,1.1,4.2,4.2,100744.0,36480.0,0.0,0.0
TrossardBHAMID,6.0,2.3%,2.7,22.0,437.0,1.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.0,73.4,134.6,99.0,30.5,2.7,0.0,0.4,3.7,4.4,210851.0,95688.0,0.0,0.0
MendyLEIMID,4.5,3.1%,3.0,13.0,435.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,68.6,41.9,8.0,11.8,3.0,0.0,0.7,2.9,2.6,254424.0,111347.0,0.0,0.0
BowenWHUMID,6.3,2.1%,8.3,29.0,434.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,125.2,57.0,158.0,34.1,8.3,1.0,1.3,4.6,5.8,124839.0,100489.0,-2.0,2.0
ShelveyNEWMID,5.4,0.3%,1.7,9.0,431.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,62.8,91.9,72.0,22.7,1.7,0.0,0.3,1.7,1.8,5983.0,13492.0,-1.0,1.0
HendrickNEWMID,5.0,3.8%,2.0,22.0,430.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68.0,89.4,19.8,30.0,13.7,2.0,1.0,0.4,4.4,4.4,422144.0,264859.0,0.0,0.0
AntonioWHUFWD,6.3,4.6%,3.7,19.0,430.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,54.0,103.6,72.9,291.0,46.7,3.7,0.0,0.6,3.0,3.8,110876.0,485947.0,-2.0,2.0
McArthurCRYMID,5.4,0.2%,1.3,9.0,428.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,76.8,45.6,13.0,13.6,1.3,0.0,0.2,1.7,1.8,3167.0,8799.0,-1.0,1.0
PereiraWBAMID,6.0,3.1%,3.3,22.0,427.0,1.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,114.8,132.6,81.0,32.9,3.3,0.0,0.6,3.7,4.4,192206.0,175653.0,0.0,0.0
CavaleiroFULMID,5.4,0.1%,1.7,9.0,426.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,37.8,122.0,45.0,20.4,1.7,0.0,0.3,1.7,1.8,2562.0,6558.0,-1.0,1.0
KlichLEEMID,5.6,7.3%,2.3,25.0,426.0,2.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,106.0,144.8,103.8,62.0,31.1,2.3,0.0,0.4,4.5,5.0,652981.0,298880.0,1.0,-1.0
LundstramSHUMID,5.3,4.7%,1.2,7.0,423.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,35.0,63.8,128.9,60.0,25.3,1.2,0.0,0.2,1.3,1.4,32138.0,494922.0,-2.0,2.0
