Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
EdersonMCIGKP,6.0,5.9%,3.2,13.0,360.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,66.0,91.0,0.0,0.0,9.1,3.2,0.0,0.5,2.2,3.2,148074.0,126692.0,0.0,0.0
WalkerMCIDEF,6.0,5.7%,2.8,11.0,360.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,54.6,32.7,37.0,12.4,2.8,0.0,0.5,1.8,2.8,147768.0,154017.0,0.0,0.0
RodrigoMCIMID,5.5,0.5%,1.8,7.0,360.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,50.8,55.4,10.0,11.6,1.8,0.0,0.3,1.3,1.8,14647.0,24077.0,0.0,0.0
de GeaMUNGKP,5.5,3.8%,1.3,5.0,360.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,51.0,88.8,0.0,0.0,9.0,1.3,0.0,0.2,0.9,1.2,64250.0,119178.0,0.0,0.0
MaguireMUNDEF,5.4,2.9%,3.7,11.0,360.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,76.6,6.8,62.0,14.6,3.7,1.0,0.7,2.0,2.8,68959.0,151759.0,-1.0,1.0
RashfordMUNMID,9.5,6.2%,8.0,26.0,360.0,2.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,127.0,96.5,162.0,38.6,8.0,1.0,0.8,2.7,6.5,414118.0,343599.0,0.0,0.0
LascellesNEWDEF,4.4,2.3%,0.7,8.0,360.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,71.4,1.6,4.0,7.7,0.7,0.0,0.2,1.8,2.0,64909.0,151334.0,-1.0,1.0
DierTOTDEF,5.0,1.3%,1.3,7.0,360.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,68.8,3.0,4.0,7.6,1.3,0.0,0.3,1.4,1.8,40718.0,76570.0,0.0,0.0
SánchezTOTDEF,5.4,0.9%,1.0,4.0,360.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,55.0,2.1,86.0,14.3,1.0,0.0,0.2,0.7,1.0,15605.0,33348.0,-1.0,1.0
BartleyWBADEF,4.5,0.2%,2.7,9.0,360.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,100.2,0.5,35.0,13.5,2.7,0.0,0.6,2.0,2.2,10284.0,8115.0,0.0,0.0
AjayiWBADEF,4.9,0.2%,0.7,2.0,360.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,38.8,0.8,2.0,4.2,0.7,0.0,0.1,0.4,0.5,3414.0,14365.0,-1.0,1.0
O'SheaWBADEF,4.4,0.2%,0.7,3.0,360.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,77.2,11.9,18.0,10.7,0.7,0.0,0.2,0.7,0.8,3154.0,10403.0,-1.0,1.0
BissoumaBHAMID,4.5,3.6%,3.3,12.0,358.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,54.0,62.4,30.6,54.0,14.4,3.3,0.0,0.7,2.7,3.0,158257.0,195748.0,0.0,0.0
MasuakuWHUDEF,4.5,1.2%,6.0,19.0,358.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,91.0,72.4,95.5,36.0,20.4,6.0,1.0,1.3,4.2,4.8,85792.0,32206.0,0.0,0.0
ColemanEVEDEF,5.0,2.0%,2.7,15.0,357.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,92.8,30.3,24.0,14.8,2.7,0.0,0.5,3.0,3.0,175785.0,113406.0,0.0,0.0
VardyLEIFWD,10.1,20.7%,6.3,34.0,354.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138.0,181.6,23.4,143.0,34.9,6.3,2.0,0.6,3.4,8.5,1019401.0,1021548.0,1.0,-1.0
HarrisonLEEMID,5.5,2.0%,3.0,18.0,351.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,100.0,117.5,69.0,28.7,3.0,0.0,0.5,3.3,4.5,243573.0,192074.0,0.0,0.0
SterlingMCIMID,11.5,6.9%,6.8,27.0,351.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,109.4,96.5,173.0,37.9,6.8,0.0,0.6,2.3,6.8,537357.0,320878.0,0.0,0.0
CashAVLDEF,5.0,0.6%,4.5,18.0,349.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,95.0,89.6,60.0,18.0,16.7,4.5,0.0,0.9,3.6,4.5,30887.0,16103.0,0.0,0.0
ManéLIVMID,11.9,8.0%,4.3,31.0,349.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,102.0,182.0,107.3,265.0,55.6,4.3,1.0,0.4,2.6,7.8,505460.0,873945.0,-1.0,1.0
Douglas LuizAVLMID,5.0,0.3%,2.2,9.0,345.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,42.4,21.7,35.0,10.0,2.2,0.0,0.4,1.8,2.2,8923.0,16415.0,0.0,0.0
MountCHEMID,6.9,6.1%,4.7,18.0,341.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,80.0,109.6,137.0,32.6,4.7,1.0,0.7,2.6,4.5,252922.0,413182.0,-1.0,1.0
AyewCRYFWD,5.8,2.8%,1.3,11.0,341.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,6.1,70.0,10.3,1.3,0.0,0.2,1.9,2.8,73097.0,321478.0,-2.0,2.0
TrézéguetAVLMID,5.4,1.1%,3.5,14.0,339.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,71.6,80.1,68.0,21.9,3.5,0.0,0.6,2.6,3.5,30965.0,56426.0,-1.0,1.0
AlzateBHAMID,4.5,1.1%,1.0,8.0,339.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,46.0,89.5,23.0,15.9,1.0,0.0,0.2,1.8,2.0,110058.0,62461.0,0.0,0.0
FurlongWBADEF,4.5,0.1%,3.3,12.0,338.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,57.0,64.0,54.8,39.0,15.8,3.3,0.0,0.7,2.7,3.0,3990.0,4729.0,0.0,0.0
BryanFULDEF,4.9,0.6%,0.7,6.0,336.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,60.2,50.6,25.0,13.6,0.7,0.0,0.1,1.2,1.5,11114.0,40884.0,-1.0,1.0
FodenMCIMID,6.6,7.4%,4.8,19.0,331.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,62.8,56.0,131.0,24.9,4.8,0.0,0.7,2.9,4.8,561287.0,348303.0,1.0,-1.0
GomezLIVDEF,5.4,2.6%,1.0,4.0,319.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,57.2,14.7,0.0,7.2,1.0,0.0,0.2,0.7,1.0,53257.0,210861.0,-1.0,1.0
XhakaARSMID,5.4,0.6%,1.3,9.0,317.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,37.8,29.1,21.0,8.7,1.3,0.0,0.2,1.7,1.8,19430.0,40306.0,-1.0,1.0
McCarthyCRYMID,4.5,2.0%,1.3,8.0,316.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,47.4,24.6,8.0,8.0,1.3,0.0,0.3,1.8,2.0,104401.0,135919.0,0.0,0.0
ChristensenCHEDEF,4.9,0.3%,0.3,0.0,315.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.0,70.0,4.1,20.0,9.5,0.3,0.0,0.1,0.0,0.0,6744.0,14980.0,-1.0,1.0
FernandesMUNMID,10.5,21.5%,9.7,31.0,315.0,3.0,2.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,123.0,207.0,214.5,123.0,54.4,9.7,2.0,0.9,3.0,7.8,1069983.0,772656.0,0.0,0.0
VestergaardSOUDEF,4.5,1.1%,6.7,21.0,315.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,107.6,14.1,23.0,14.5,6.7,0.0,1.5,4.7,5.2,50208.0,20519.0,0.0,0.0
SawyersWBAMID,4.9,0.0%,1.7,9.0,306.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.8,26.6,2.0,6.3,1.7,0.0,0.3,1.8,1.8,815.0,2160.0,-1.0,1.0
ManquilloNEWDEF,4.5,0.4%,1.0,9.0,305.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,37.0,29.4,14.0,8.0,1.0,0.0,0.2,2.0,2.2,12856.0,15174.0,0.0,0.0
André GomesEVEMID,5.5,0.3%,1.0,8.0,303.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,26.6,34.8,22.0,8.3,1.0,0.0,0.2,1.5,2.0,17025.0,26752.0,0.0,0.0
CeballosARSMID,5.0,1.9%,1.7,14.0,302.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,82.0,91.4,92.3,24.0,20.8,1.7,0.0,0.3,2.8,2.8,110126.0,120272.0,0.0,0.0
PraetLEIMID,5.5,0.5%,1.7,19.0,291.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,79.8,61.0,70.0,20.8,1.7,0.0,0.3,3.5,4.8,66788.0,50255.0,0.0,0.0
Callum RobinsonWBAFWD,5.5,0.8%,5.0,18.0,290.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,72.8,33.6,54.0,15.8,5.0,1.0,0.9,3.3,3.6,94057.0,64494.0,0.0,0.0
AkéMCIDEF,5.5,7.6%,3.2,13.0,289.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,64.4,24.7,19.0,10.8,3.2,0.0,0.6,2.4,3.2,231515.0,227126.0,0.0,0.0
DaviesTOTDEF,4.9,1.3%,2.0,9.0,287.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.8,49.9,42.0,13.4,2.0,0.0,0.4,1.8,2.2,41935.0,125404.0,-1.0,1.0
ConnollyBHAFWD,5.5,0.7%,2.7,17.0,284.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,56.2,34.3,69.0,15.9,2.7,0.0,0.5,3.1,3.4,53657.0,50475.0,0.0,0.0
JoelintonNEWFWD,5.8,0.2%,1.3,6.0,284.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,39.0,45.1,31.0,11.5,1.3,0.0,0.2,1.0,1.2,4966.0,20238.0,-2.0,2.0
Lucas MouraTOTMID,6.9,1.8%,3.7,15.0,283.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,42.2,29.0,117.0,18.8,3.7,0.0,0.5,2.2,3.0,63646.0,116674.0,-1.0,1.0
EganSHUDEF,4.9,4.4%,0.2,1.0,281.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,37.0,2.6,10.0,5.0,0.2,0.0,0.0,0.2,0.2,26478.0,751084.0,-1.0,1.0
McGoldrickSHUFWD,5.3,0.6%,3.2,14.0,275.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,35.8,21.4,50.0,10.6,3.2,0.0,0.6,2.6,2.8,27387.0,56586.0,-2.0,2.0
JamesCHEDEF,5.0,12.1%,0.7,17.0,273.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,88.0,139.6,125.3,17.0,28.3,0.7,1.0,0.1,3.4,4.2,930310.0,606310.0,0.0,0.0
David LuizARSDEF,5.5,1.1%,1.7,6.0,271.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,57.8,7.3,19.0,8.4,1.7,0.0,0.3,1.1,1.5,24042.0,45461.0,0.0,0.0
HoldingARSDEF,4.5,2.1%,0.3,9.0,270.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.2,1.6,0.0,6.8,0.3,0.0,0.1,2.0,3.0,158828.0,127968.0,0.0,0.0
ElnenyARSMID,4.5,1.4%,1.3,7.0,270.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,42.6,19.7,22.0,8.4,1.3,0.0,0.3,1.6,2.3,144481.0,98850.0,0.0,0.0
BardsleyBURDEF,4.5,0.4%,0.7,1.0,270.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,31.4,12.9,6.0,5.1,0.7,0.0,0.2,0.2,0.3,10236.0,20679.0,0.0,0.0
ArrizabalagaCHEGKP,4.8,1.2%,0.7,6.0,270.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,40.0,50.8,0.0,0.0,5.0,0.7,0.0,0.1,1.2,2.0,42535.0,123747.0,-2.0,2.0
SakhoCRYDEF,4.5,0.3%,0.3,3.0,270.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.6,1.6,6.0,4.2,0.3,0.0,0.1,0.7,1.0,18889.0,9695.0,0.0,0.0
OdoiFULDEF,4.4,0.1%,0.0,1.0,270.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,35.4,20.8,8.0,6.4,0.0,0.0,0.0,0.2,0.3,5055.0,4481.0,-1.0,1.0
CooperLEEDEF,4.4,0.7%,3.0,10.0,270.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,78.4,1.4,6.0,8.6,3.0,0.0,0.7,2.3,3.3,37073.0,42927.0,-1.0,1.0
AlissonLIVGKP,5.9,8.0%,0.7,17.0,270.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,66.0,75.0,0.0,0.0,7.5,0.7,1.0,0.1,2.9,5.7,217828.0,650673.0,-1.0,1.0
De BruyneMCIMID,11.5,18.5%,4.2,17.0,270.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,114.8,185.4,127.0,42.8,4.2,0.0,0.4,1.5,5.7,1618933.0,2198001.0,0.0,0.0
LindelöfMUNDEF,4.9,1.2%,1.0,4.0,270.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,57.6,3.9,4.0,6.5,1.0,0.0,0.2,0.8,1.3,24363.0,70800.0,-1.0,1.0
Wan-BissakaMUNDEF,5.4,8.3%,2.7,8.0,270.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,95.4,28.1,44.0,16.7,2.7,0.0,0.5,1.5,2.7,188780.0,451678.0,-1.0,1.0
TownsendWBADEF,4.5,0.1%,3.0,9.0,270.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,48.2,31.4,23.0,10.3,3.0,0.0,0.7,2.0,3.0,2425.0,3031.0,0.0,0.0
BalbuenaWHUDEF,4.4,0.6%,6.3,19.0,270.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,82.4,3.5,25.0,11.1,6.3,0.0,1.4,4.3,6.3,40975.0,14046.0,-1.0,1.0
Saint-MaximinNEWMID,5.3,7.2%,4.7,18.0,268.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,82.4,66.1,41.0,19.0,4.7,0.0,0.9,3.4,4.5,180570.0,1116347.0,-2.0,2.0
SakaARSMID,5.3,3.1%,3.3,12.0,264.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,68.6,43.8,121.0,23.4,3.3,0.0,0.6,2.3,4.0,57460.0,357503.0,-2.0,2.0
EvansLEIDEF,5.5,0.2%,1.0,3.0,259.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,49.8,1.6,0.0,5.2,1.0,0.0,0.2,0.5,1.0,6413.0,6013.0,0.0,0.0
LacazetteARSFWD,8.5,4.3%,2.7,22.0,256.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,82.0,112.0,29.8,134.0,27.6,2.7,0.0,0.3,2.6,5.5,235948.0,259678.0,0.0,0.0
MahrezMCIMID,8.5,4.0%,4.2,17.0,256.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,62.6,88.5,105.0,25.6,4.2,1.0,0.5,2.0,5.7,400559.0,275663.0,0.0,0.0
WinksTOTMID,5.4,0.1%,0.7,5.0,256.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,35.0,20.4,0.0,5.5,0.7,0.0,0.1,0.9,1.2,2841.0,7423.0,-1.0,1.0
DohertyTOTDEF,5.8,10.3%,0.7,4.0,255.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,47.2,31.4,43.0,12.2,0.7,0.0,0.1,0.7,1.3,116511.0,970616.0,-2.0,2.0
Jack RobinsonSHUDEF,4.4,0.2%,2.0,8.0,251.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,4.6,17.0,5.6,2.0,0.0,0.5,1.8,2.7,5996.0,7372.0,-1.0,1.0
MendyMCIDEF,6.0,1.5%,0.5,2.0,250.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,16.6,26.2,10.0,5.1,0.5,0.0,0.1,0.3,0.7,22009.0,61068.0,0.0,0.0
ArmstrongSOUMID,5.5,0.2%,3.0,11.0,247.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.2,48.8,27.0,11.3,3.0,0.0,0.5,2.0,3.7,6291.0,18673.0,0.0,0.0
KeitaLIVMID,5.3,0.4%,1.0,7.0,243.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,17.6,25.8,92.0,13.6,1.0,0.0,0.2,1.3,1.8,13898.0,62924.0,-2.0,2.0
RodrigoLEEFWD,5.8,3.3%,3.7,13.0,242.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,54.8,58.7,132.0,24.6,3.7,0.0,0.6,2.2,2.6,102545.0,423693.0,-2.0,2.0
SchluppCRYMID,5.5,0.1%,1.0,12.0,241.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,54.6,37.0,22.0,11.4,1.0,0.0,0.2,2.2,4.0,7862.0,10290.0,0.0,0.0
PogbaMUNMID,7.8,1.4%,1.7,7.0,241.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.8,24.6,20.0,7.3,1.7,0.0,0.2,0.9,1.8,56202.0,104485.0,-2.0,2.0
HectorFULDEF,4.4,0.2%,0.0,0.0,237.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,38.8,11.3,18.0,6.7,0.0,0.0,0.0,0.0,0.0,3424.0,13179.0,-1.0,1.0
DjenepoSOUMID,5.5,0.1%,2.7,14.0,233.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,35.4,7.2,46.0,8.7,2.7,0.0,0.5,2.5,3.5,11869.0,11842.0,0.0,0.0
LallanaBHAMID,6.3,0.5%,1.7,7.0,230.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,49.1,11.0,7.7,1.7,0.0,0.3,1.1,1.4,6912.0,59211.0,-2.0,2.0
AzpilicuetaCHEDEF,5.9,4.3%,3.3,11.0,230.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,55.4,37.2,33.0,12.6,3.3,0.0,0.6,1.9,2.8,42474.0,265913.0,-1.0,1.0
FredericksWHUDEF,4.4,0.3%,0.3,4.0,228.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,60.4,109.8,6.0,17.7,0.3,0.0,0.1,0.9,1.3,8582.0,32638.0,-1.0,1.0
McTominayMUNMID,4.9,0.3%,1.0,5.0,225.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,52.6,71.6,40.0,16.4,1.0,0.0,0.2,1.0,1.7,7893.0,15153.0,-1.0,1.0
SissokoTOTMID,4.8,0.4%,1.3,5.0,225.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,48.6,29.2,0.0,7.8,1.3,0.0,0.3,1.0,1.7,10676.0,27024.0,-2.0,2.0
BarkleyAVLMID,5.9,2.2%,6.0,20.0,220.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,83.8,31.7,95.0,21.1,6.0,1.0,1.0,3.4,5.0,152396.0,31452.0,-1.0,1.0
BurkeSHUMID,4.5,1.1%,1.5,6.0,218.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.8,36.0,46.0,8.4,1.5,0.0,0.3,1.3,2.0,71571.0,68619.0,0.0,0.0
NdombeleTOTMID,5.9,0.3%,3.7,12.0,212.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,62.0,25.3,49.0,13.7,3.7,0.0,0.6,2.0,2.4,13282.0,13604.0,-1.0,1.0
MartialMUNFWD,8.8,4.4%,1.0,5.0,206.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.6,11.1,62.0,7.6,1.0,0.0,0.1,0.6,1.7,496208.0,1023229.0,-2.0,2.0
Decordova-ReidFULFWD,5.4,0.1%,1.0,9.0,204.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,41.6,14.7,47.0,10.3,1.0,0.0,0.2,1.7,2.2,9645.0,12343.0,-1.0,1.0
RedmondSOUMID,6.4,0.2%,1.0,5.0,201.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.4,13.2,35.0,6.2,1.0,0.0,0.2,0.8,1.7,12846.0,56961.0,-1.0,1.0
HendersonLIVMID,5.4,1.2%,0.7,5.0,200.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0,45.1,38.0,11.3,0.7,0.0,0.1,0.9,1.7,17354.0,130536.0,-1.0,1.0
KamaraFULMID,4.9,0.1%,0.3,4.0,193.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.8,42.0,32.0,8.0,0.3,0.0,0.1,0.8,1.0,3949.0,7583.0,-1.0,1.0
GreenwoodMUNMID,7.3,4.1%,1.3,5.0,193.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.8,17.7,48.0,7.4,1.3,0.0,0.2,0.7,1.7,245995.0,472935.0,-2.0,2.0
AbrahamCHEFWD,7.3,2.5%,4.0,13.0,192.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,15.5,113.0,17.1,4.0,0.0,0.5,1.8,3.2,52502.0,196025.0,-2.0,2.0
NorwoodSHUMID,4.8,0.3%,0.8,5.0,191.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.6,45.4,0.0,7.6,0.8,0.0,0.2,1.0,1.7,4729.0,27243.0,-2.0,2.0
EzeCRYMID,5.9,0.4%,1.3,6.0,188.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,28.0,35.0,8.5,1.3,0.0,0.2,1.0,1.5,15339.0,30382.0,-1.0,1.0
Maitland-NilesARSDEF,4.9,1.4%,0.7,8.0,183.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.2,4.3,7.0,3.2,0.7,0.0,0.1,1.6,2.7,43291.0,88946.0,-1.0,1.0
TarkowskiBURDEF,5.4,2.8%,2.0,6.0,180.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,44.6,20.8,33.0,9.9,2.0,0.0,0.4,1.1,3.0,20211.0,218750.0,-1.0,1.0
DunneBURDEF,4.1,8.4%,0.7,8.0,180.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,66.2,21.2,38.0,12.6,0.7,0.0,0.2,2.0,4.0,684612.0,185059.0,1.0,-1.0
RobinsonFULDEF,4.4,0.1%,1.3,4.0,180.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,49.0,30.5,19.0,9.9,1.3,0.0,0.3,0.9,2.0,1819.0,4784.0,-1.0,1.0
AinaFULDEF,4.5,0.0%,2.0,4.0,180.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.2,20.5,0.0,5.3,2.0,0.0,0.4,0.9,2.0,1074.0,301.0,0.0,0.0
NdidiLEIMID,4.9,0.7%,0.0,5.0,180.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,47.8,1.5,0.0,4.9,0.0,0.0,0.0,1.0,2.5,17672.0,119295.0,-1.0,1.0
AdriánLIVGKP,4.5,0.6%,0.7,2.0,180.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,42.2,0.0,0.0,4.2,0.7,0.0,0.2,0.4,1.0,26627.0,13008.0,0.0,0.0
