Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,LIV,7,5,1,1.0,17.0,15,16,16.71,14.02,8.47,6.95,7.07,9.02,21.2,94.0,23.0,15.24
2,LEI,7,5,0,2.0,17.0,9,15,11.75,7.18,8.72,8.72,-1.53,14.78,12.51,33.0,39.0,11.37
3,TOT,7,4,2,1.0,18.0,9,14,14.14,12.62,8.14,5.85,6.76,9.84,16.66,36.0,34.0,13.35
4,EVE,7,4,1,2.0,15.0,11,13,12.91,12.15,8.61,7.85,4.29,10.68,15.22,40.0,50.0,11.58
5,SOU,7,4,1,2.0,14.0,12,13,8.36,7.60,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
6,WOL,7,4,1,2.0,8.0,8,13,6.35,6.35,9.19,8.43,-2.09,14.26,13.49,27.0,48.0,8.17
7,CHE,7,3,3,1.0,16.0,9,12,10.51,7.46,7.63,7.23,0.23,11.03,17.27,48.0,34.0,11.66
8,AVL,6,4,0,2.0,15.0,9,12,10.74,9.98,7.09,6.33,3.64,9.64,7.04,53.0,51.0,10.62
9,ARS,7,4,0,3.0,9.0,7,12,7.91,7.15,7.63,7.63,-0.48,16.98,17.77,49.0,37.0,10.18
10,MCI,6,3,2,1.0,9.0,8,11,9.16,8.40,7.95,5.67,2.73,10.16,19.1,53.0,19.0,9.66
11,NEW,7,3,2,2.0,10.0,11,11,8.83,6.55,10.56,9.04,-2.49,21.32,8.5,33.0,49.0,8.80
12,LEE,7,3,1,3.0,13.0,13,10,10.96,10.20,12.85,9.81,0.39,6.81,12.68,55.0,58.0,8.98
13,CRY,7,3,1,3.0,8.0,11,10,8.23,6.71,10.64,8.36,-1.65,16.47,6.47,25.0,54.0,8.26
14,WHU,7,2,2,3.0,13.0,10,8,10.05,10.05,8.06,7.3,2.75,19.63,10.81,22.0,58.0,10.11
15,MUN,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09
16,BHA,7,1,2,4.0,11.0,14,5,9.43,7.90,8.74,5.69,2.21,9.15,11.45,41.0,33.0,10.15
17,FUL,7,1,1,5.0,7.0,14,4,7.22,5.69,11.50,9.98,-4.28,12.29,11.53,28.0,41.0,6.99
18,WBA,7,0,3,4.0,6.0,16,3,3.25,3.25,13.68,12.16,-8.91,16.69,8.96,26.0,37.0,3.38
19,SHU,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04
20,BUR,6,0,1,5.0,3.0,12,1,4.75,4.75,6.41,5.65,-0.9,12.97,10.89,32.0,45.0,6.65
