Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,LIV,14,9,4,1.0,36.0,19,31,29.01,25.20,18.42,14.61,10.59,9.79,19.52,157.0,48.0,26.43
2,LEI,14,9,0,5.0,26.0,17,27,22.69,15.84,18.65,17.89,-2.05,12.37,13.4,86.0,77.0,22.29
3,MUN,13,8,2,3.0,28.0,21,26,22.25,18.45,18.28,15.23,3.21,12.14,11.61,111.0,75.0,20.12
4,EVE,14,8,2,4.0,25.0,19,26,22.51,20.98,19.02,16.74,4.25,12.96,12.33,80.0,107.0,20.88
5,CHE,14,7,4,3.0,29.0,14,25,26.04,22.99,11.74,10.98,12.02,9.96,18.82,104.0,67.0,27.88
6,TOT,14,7,4,3.0,25.0,14,25,21.26,19.73,16.98,13.93,5.8,12.02,12.66,56.0,105.0,21.28
7,SOU,14,7,3,4.0,25.0,19,24,16.25,14.73,17.20,15.68,-0.95,8.94,12.28,87.0,74.0,18.89
8,MCI,13,6,5,2.0,19.0,12,23,22.96,20.67,12.00,8.95,11.72,10.09,20.06,128.0,45.0,25.71
9,AVL,12,7,1,4.0,24.0,13,22,22.58,19.53,12.05,11.29,8.25,9.79,8.54,109.0,71.0,23.65
10,WHU,14,6,3,5.0,21.0,19,21,19.20,19.20,19.85,16.8,2.4,17.41,11.81,64.0,105.0,17.94
11,WOL,14,6,2,6.0,14.0,19,20,14.14,13.38,19.08,16.03,-2.65,14.29,11.94,59.0,97.0,16.03
12,NEW,13,5,3,5.0,17.0,22,18,14.27,11.23,18.53,17.01,-5.78,18.43,8.72,54.0,97.0,15.31
13,CRY,14,5,3,6.0,19.0,25,18,16.46,14.94,19.82,17.53,-2.59,15.88,7.59,84.0,94.0,17.78
14,LEE,14,5,2,7.0,24.0,30,17,24.07,22.54,29.06,25.25,-2.71,6.58,14.14,120.0,107.0,18.50
15,ARS,14,4,2,8.0,12.0,18,14,15.49,13.97,16.57,16.57,-2.6,13.67,16.11,110.0,86.0,18.84
16,BUR,13,3,4,6.0,8.0,19,13,10.32,10.32,18.95,17.43,-7.11,13.55,9.48,61.0,115.0,11.45
17,BHA,14,2,6,6.0,16.0,22,12,21.01,17.21,16.14,12.34,4.87,9.47,11.77,96.0,67.0,22.40
18,FUL,14,2,4,8.0,13.0,23,10,17.10,13.29,23.27,19.46,-6.17,15.3,10.38,63.0,99.0,16.17
19,WBA,14,1,4,9.0,10.0,29,7,7.59,7.59,29.14,26.1,-18.51,15.48,9.67,52.0,119.0,6.26
20,SHU,14,0,2,12.0,8.0,25,2,14.81,12.53,25.27,24.51,-11.98,15.65,10.68,79.0,105.0,11.77
