Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Davis,21,11,CHE,LEE,0,DEF,3.9,1.20%,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0.3,1,53212,76963,-1,1,1,0,0,0,0,0.23,0.23,0,0,0,0,0,1.75,1.75,14,11,4,2,5,16,20,14,17.91,17.15,21.05,18.01,-0.85,6.61,13.36,91,85,14.75,3,2.272727273,1,2,1.913636364,1.637272727,0.869090909,0.869090909,0.768181818,0.961818182,1.727272727,7.545454545,4.727272727,1.984545455,0
Jack Robinson,21,11,LEI,SHU,1,DEF,4.3,0.10%,0.3,279,0,1,0,4,0,0,0,0,0,0,0,36,37.4,5.4,17,5.9,0.3,0,0.1,2.1,2.2,8466,13494,-2,2,4,0,0.55,0.55,0,0.57,0.57,0.18,0.18,0,0.18,0.18,0.18,0.18,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Ramsdale,21,11,LEI,SHU,1,GKP,4.8,2.60%,2,990,0,0,0,18,0,0,0,0,0,43,0,177,285,10,4,29.9,2,0,0.4,5.4,2.4,63083,369254,-2,2,11,0,0,0,0.05,1.19,1.13,0,0,0,0,0,0.11,0.1,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Baldock,21,11,LEI,SHU,1,DEF,5.2,1.50%,1.7,990,0,1,0,18,0,0,0,1,0,0,0,132,148.2,152.5,156,45.8,1.7,0,0.3,3.5,1.6,40816,253720,-3,3,11,0,1.21,1.21,1.8,4.01,2.54,0.11,0.11,0.16,0.27,0.27,0.36,0.23,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Berge,21,11,LEI,SHU,1,MID,5,0.20%,1.7,914,1,1,0,16,0,0,0,4,0,0,1,142,175.6,166.4,118,45.9,1.7,0,0.3,5.2,2.4,21328,18543,0,0,11,0,1.08,0.31,1.74,3.52,2.85,0.11,0.03,0.17,0.28,0.2,0.35,0.28,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Basham,21,11,LEI,SHU,1,DEF,4.7,0.90%,1.7,907,0,0,0,18,0,0,0,0,0,0,2,142,190.2,91.1,57,33.8,1.7,0,0.4,3.8,1.6,23924,106688,-3,3,11,0,0.2,0.2,0.67,2.99,2.12,0.02,0.02,0.07,0.09,0.09,0.29,0.21,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Egan,21,11,LEI,SHU,1,DEF,4.8,2.70%,1.3,821,0,0,0,17,0,0,0,3,1,0,0,93,153.2,16.9,14,18.5,1.3,0,0.3,1.5,0.7,30790,871537,-2,2,10,0,0.05,0.05,0.07,1.71,1.65,0.01,0.01,0.01,0.01,0.01,0.19,0.18,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
McBurnie,21,11,LEI,SHU,1,FWD,5.6,0.30%,4,729,1,1,0,15,0,0,0,1,0,0,2,61,132.6,127.5,329,58.8,4,0,0.7,4.6,2.4,14041,46882,-4,4,11,1,2.82,2.82,0.48,4.2,1.85,0.35,0.35,0.06,0.41,0.41,0.52,0.23,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Lundstram,21,11,LEI,SHU,1,MID,5,2.40%,2.3,726,0,1,1,13,0,0,1,3,0,0,0,87,114.2,191.5,121,42.7,2.3,0,0.5,3.6,1.6,38433,664760,-5,5,11,0,1.54,0.78,0.85,3.37,2.05,0.19,0.1,0.1,0.29,0.2,0.41,0.25,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Stevens,21,11,LEI,SHU,1,DEF,5.1,1.30%,0,720,0,0,0,14,0,0,0,1,0,0,0,107,140.4,31.7,55,22.8,0,0,0,2,1.2,17655,277450,-4,4,8,0,0.2,0.2,0.08,1.9,1.76,0.03,0.03,0.01,0.04,0.04,0.24,0.22,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
McGoldrick,21,11,LEI,SHU,1,FWD,5.3,0.60%,0.7,478,2,0,2,7,0,0,0,0,0,0,2,80,72,43.9,85,20,0.7,0,0.1,4.5,2.7,63170,95244,-2,2,9,2,0.86,0.86,0.44,1.68,0.95,0.16,0.16,0.08,0.24,0.24,0.32,0.18,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Fleck,21,11,LEI,SHU,1,MID,5.6,0.10%,2,449,0,0,0,8,0,0,0,0,0,0,0,62,50.4,119.4,33,20.2,2,0,0.4,2,1.8,6155,35302,-4,4,6,0,0.11,0.11,0.23,1.03,0.89,0.02,0.02,0.05,0.07,0.07,0.2,0.18,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Norwood,21,11,LEI,SHU,1,MID,4.7,0.20%,1,421,0,0,0,9,0,0,0,1,0,0,0,58,63.6,80.9,0,14.5,1,0,0.2,2.3,1.4,7911,36373,-3,3,8,0,0,0,0.13,1.68,1.64,0,0,0.03,0.03,0.03,0.35,0.35,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Lowe,21,11,LEI,SHU,1,DEF,4.4,0.10%,1.3,413,0,0,0,8,0,0,0,1,0,0,0,29,70.6,10.5,33,11.4,1.3,0,0.3,1.6,1.2,1874,4226,-1,1,6,0,0.09,0.09,0,0.96,0.88,0.02,0.02,0,0.02,0.02,0.21,0.19,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
Burke,21,11,LEI,SHU,1,MID,4.3,1.20%,1.3,407,0,0,1,4,0,0,0,0,0,0,0,22,15,60.2,104,17.4,1.3,0,0.3,2.6,1.8,119022,107252,-2,2,6,0,0.49,0.49,0.92,1.52,0.12,0.11,0.11,0.2,0.31,0.31,0.33,0.03,20,11,0,1,10,5,18,1,12.32,10.03,18.3,17.54,-7.51,16.15,11.49,64,78,10.43,4,1.909090909,1.363636364,1.909090909,1.678181818,1.124545455,1.4,1.330909091,-0.206363636,1.192727273,1.226363636,5.090909091,5.818181818,1.592727273,0
