Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Jesus,21,18,BHA,MCI,1.0,9.1,FWD,0.9%,0.8,28.0,630.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,84.0,118.0,115.2,193.0,42.7,0.8,0.0,0.1,3.1,4.0,346169.0,432519.0,-4.0,4.0,7,2.0,1.96,1.96,1.08,4.56,2.25,0.28,0.28,0.15,0.44,0.44,0.65,0.32,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,1.0
Foden,21,18,BHA,MCI,1.0,6.2,MID,3.9%,3.4,48.0,587.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,156.0,188.4,151.5,232.0,57.2,3.4,1.0,0.5,7.7,4.4,975225.0,1048453.0,-3.0,3.0,11,3.0,2.57,2.57,1.55,5.14,1.32,0.39,0.39,0.24,0.63,0.63,0.79,0.2,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,11.0
Torres,21,18,BHA,MCI,1.0,6.9,MID,1.4%,2.4,33.0,566.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,108.2,88.2,259.0,45.3,2.4,0.0,0.3,4.8,3.3,243307.0,230162.0,-1.0,1.0,10,2.0,2.65,2.65,0.64,5.22,2.09,0.41,0.41,0.1,0.51,0.51,0.81,0.33,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Mendy,21,18,BHA,MCI,1.0,5.9,DEF,1.6%,0.4,24.0,504.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,96.0,72.8,40.2,35.0,14.6,0.4,1.0,0.1,4.1,4.0,160386.0,198899.0,-1.0,1.0,6,1.0,0.15,0.15,0.06,1.33,1.18,0.03,0.03,0.01,0.04,0.04,0.24,0.21,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Aké,21,18,BHA,MCI,1.0,5.4,DEF,3.2%,1.6,21.0,469.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,97.0,108.0,35.5,23.0,16.6,1.6,0.0,0.3,3.9,3.5,261495.0,573138.0,-1.0,1.0,6,1.0,0.4,0.4,0.02,2.75,2.74,0.08,0.08,0.0,0.08,0.08,0.53,0.53,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Laporte,21,18,BHA,MCI,1.0,6.0,DEF,2.4%,0.0,12.0,360.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,62.0,58.6,26.5,12.0,9.7,0.0,0.0,0.0,2.0,3.0,140590.0,330376.0,0.0,0.0,4,0.0,0.14,0.14,0.31,1.89,1.89,0.04,0.04,0.08,0.11,0.11,0.47,0.47,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Garcia,21,18,BHA,MCI,1.0,4.7,DEF,0.2%,0.0,3.0,200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,22.7,1.0,6.0,0.0,0.0,0.0,0.6,1.0,9864.0,23402.0,-3.0,3.0,3,0.0,0.01,0.01,0.01,0.43,0.41,0.01,0.01,0.0,0.01,0.01,0.19,0.19,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Agüero,21,18,BHA,MCI,1.0,10.3,FWD,1.6%,0.6,6.0,140.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.2,36.9,65.0,10.4,0.6,0.0,0.1,0.6,1.2,274434.0,454135.0,-2.0,2.0,5,0.0,0.86,0.86,0.71,1.69,0.48,0.56,0.56,0.46,1.02,1.02,1.1,0.31,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Zinchenko,21,18,BHA,MCI,1.0,5.5,DEF,0.2%,0.4,3.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.6,4.9,7.0,2.7,0.4,0.0,0.1,0.5,1.5,7293.0,26276.0,0.0,0.0,2,0.0,0.08,0.08,0.0,0.93,0.85,0.07,0.07,0.0,0.07,0.07,0.83,0.76,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,8.0
Steffen,21,18,BHA,MCI,1.0,4.4,GKP,0.3%,0.4,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.6,0.0,0.0,1.0,0.4,0.0,0.1,0.5,2.0,8276.0,2368.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.35,0.35,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
