Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Sawyers,21,9,MUN,WBA,0,4.8,MID,0.0%,0.2,340.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,38.2,37.4,2.0,7.8,0.2,0.0,0.0,1.9,1.5,930.0,2880.0,-2.0,2.0,6,0.0,0.06,0.06,0.17,0.44,0.39,0.01,0.01,0.04,0.06,0.06,0.12,0.1,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,2.0
Grant,21,9,MUN,WBA,0,5.9,FWD,0.0%,3.8,328.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,44.4,28.7,72.0,14.4,3.8,0.0,0.6,2.5,3.8,4949.0,2240.0,-1.0,1.0,4,1.0,0.64,0.64,0.15,0.62,0.1,0.17,0.17,0.04,0.21,0.21,0.17,0.03,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,2.0
Ivanovic,21,9,MUN,WBA,0,4.5,DEF,0.1%,2.2,270.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,10.9,57.0,12.9,2.2,0.0,0.5,2.0,3.0,13096.0,6612.0,0.0,0.0,3,0.0,0.36,0.36,0.05,0.25,0.25,0.12,0.12,0.02,0.14,0.14,0.08,0.08,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,2.0
Gibbs,21,9,MUN,WBA,0,4.4,DEF,0.2%,0.0,135.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,7.4,13.2,2.0,2.3,0.0,0.0,0.0,-0.7,-1.5,4842.0,41356.0,-1.0,1.0,2,0.0,0.0,0.0,0.02,0.31,0.29,0.0,0.0,0.01,0.01,0.01,0.2,0.19,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Edwards,21,9,MUN,WBA,0,4.8,MID,0.0%,0.5,114.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,12.8,39.0,6.4,0.5,0.0,0.1,1.0,1.0,527.0,1819.0,-2.0,2.0,5,0.0,0.12,0.12,0.02,0.19,0.05,0.1,0.1,0.02,0.11,0.11,0.16,0.04,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Robson-Kanu,21,9,MUN,WBA,0,5.2,FWD,0.1%,0.0,84.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.2,10.7,16.0,3.4,0.0,0.0,0.0,0.6,1.0,6681.0,28449.0,-3.0,3.0,3,0.0,0.08,0.08,0.03,0.11,0.03,0.09,0.09,0.03,0.12,0.12,0.12,0.03,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,1.0
Phillips,21,9,MUN,WBA,0,5.1,MID,0.0%,0.8,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,15.0,25.7,14.0,5.5,0.8,0.0,0.2,1.0,0.8,1687.0,7639.0,-4.0,4.0,6,0.0,0.02,0.02,0.15,0.15,0.0,0.03,0.03,0.22,0.25,0.25,0.22,0.0,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Field,21,9,MUN,WBA,0,4.8,MID,0.0%,0.0,61.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.5,0.0,2.0,0.0,0.0,0.0,0.6,1.0,386.0,1604.0,-2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Harper,21,9,MUN,WBA,0,4.4,MID,0.5%,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.8,1.8,0.0,0.4,0.0,0.0,0.0,0.2,1.0,26988.0,33527.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Hegazi,21,9,MUN,WBA,0,4.2,DEF,0.3%,1.5,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.6,0.3,0.0,2.0,1.5,0.0,0.4,1.4,6.0,11891.0,77078.0,-3.0,3.0,1,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.18,18,8,0,3,5.0,6.0,17,3,4.05,4.05,15.55,14.03,-9.98,16.66,8.81,32.0,41.0,3.96,14,1.7142857142857142,2.0,1.4285714285714286,1.2,0.8742857142857143,1.5214285714285716,1.0871428571428572,-0.21285714285714286,1.7257142857142858,1.512857142857143,7.571428571428571,6.0,1.2100000000000002,0.0
Fred,21,9,WBA,MUN,1,5.3,MID,0.2%,1.8,379.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,48.8,51.0,11.0,11.0,1.8,0.0,0.3,1.7,1.5,6400.0,9733.0,-2.0,2.0,6,0.0,0.1,0.1,0.64,1.02,0.67,0.02,0.02,0.15,0.18,0.18,0.24,0.16,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,3.0
