Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Oriol Romeu,21,14,MCI,SOU,1,4.5,MID,4.9%,2.8,1125.0,1.0,1.0,5.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,184.0,264.8,164.7,80.0,50.9,2.8,0.0,0.6,8.4,2.9,412918.0,352269.0,0.0,0.0,13,1.0,0.27,0.27,1.11,4.15,3.51,0.02,0.02,0.09,0.11,0.11,0.33,0.28,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,1.0
McCarthy,21,14,MCI,SOU,1,4.6,GKP,22.3%,4.0,1170.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,1.0,0.0,39.0,5.0,248.0,321.4,0.0,0.0,32.3,4.0,1.0,0.9,11.5,4.1,897290.0,779291.0,1.0,-1.0,13,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.11,0.11,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,3.0
Walker-Peters,21,14,MCI,SOU,1,4.7,DEF,13.2%,3.4,1170.0,0.0,2.0,5.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,256.0,219.6,90.0,103.0,41.4,3.4,1.0,0.7,10.2,3.7,728983.0,553283.0,2.0,-2.0,13,0.0,0.33,0.33,0.51,3.75,3.18,0.03,0.03,0.04,0.06,0.06,0.29,0.24,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,2.0
Ward-Prowse,21,14,MCI,SOU,1,6.3,MID,18.3%,4.6,1170.0,4.0,3.0,5.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,287.0,358.2,368.2,109.0,83.5,4.6,3.0,0.7,10.5,5.1,1629521.0,568197.0,3.0,-3.0,13,4.0,0.92,0.92,1.49,4.03,3.31,0.07,0.07,0.11,0.18,0.18,0.31,0.25,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,1.0
Adams,21,14,MCI,SOU,1,6.0,FWD,7.3%,4.8,1118.0,4.0,5.0,5.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,228.0,279.6,234.3,366.0,88.1,4.8,1.0,0.8,10.8,5.0,744091.0,515589.0,0.0,0.0,13,4.0,4.28,4.28,3.27,6.2,0.9,0.34,0.34,0.26,0.6,0.6,0.49,0.07,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,2.0
Bednarek,21,14,MCI,SOU,1,4.6,DEF,5.0%,5.0,1080.0,1.0,1.0,5.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,263.0,273.6,28.4,95.0,39.7,5.0,1.0,1.1,11.7,4.2,312360.0,154388.0,1.0,-1.0,13,1.0,0.3,0.3,0.63,3.21,3.17,0.02,0.02,0.05,0.08,0.08,0.27,0.26,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,2.0
Bertrand,21,14,MCI,SOU,1,5.0,DEF,1.0%,2.4,1068.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,172.0,125.8,151.5,51.0,32.8,2.4,0.0,0.5,7.2,3.0,63635.0,96413.0,0.0,0.0,12,0.0,0.11,0.11,0.51,2.87,2.65,0.01,0.01,0.04,0.05,0.05,0.24,0.22,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,2.0
Vestergaard,21,14,MCI,SOU,1,4.9,DEF,15.6%,4.2,1035.0,3.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,267.0,336.2,43.7,128.0,50.8,4.2,1.0,0.9,12.4,5.1,1241728.0,156789.0,4.0,-4.0,12,3.0,0.64,0.64,0.63,2.73,2.69,0.06,0.06,0.06,0.11,0.11,0.24,0.23,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,2.0
Armstrong,21,14,MCI,SOU,1,5.5,MID,0.8%,3.2,932.0,2.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,151.0,193.2,169.5,112.0,47.3,3.2,1.0,0.6,8.2,4.1,81369.0,53669.0,0.0,0.0,11,2.0,0.82,0.82,0.62,2.74,1.72,0.08,0.08,0.06,0.14,0.14,0.26,0.16,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,0.0
Ings,21,14,MCI,SOU,1,8.4,FWD,8.2%,2.8,849.0,6.0,3.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,231.0,319.0,121.4,359.0,79.9,2.8,1.0,0.3,7.3,6.1,970530.0,2041025.0,-1.0,1.0,10,4.0,4.29,2.77,0.85,4.06,0.73,0.46,0.29,0.09,0.54,0.38,0.43,0.08,3,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.1,9,1.5,1.0,1.6666666666666667,1.8166666666666667,1.6266666666666667,0.9508333333333333,0.6966666666666667,0.9291666666666667,0.8175,1.7608333333333333,10.0,3.1666666666666665,1.985,1.0
