Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Garcia,21,6,WHU,MCI,0,DEF,4.8,0.2%,0.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.6,15.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5686.0,13915.0,-2.0,2.0,1,0.0,0.0,0.0,0.01,0.15,0.15,0.0,0.0,0.01,0.01,0.01,0.15,0.15,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,2.0
Jesus,21,6,WHU,MCI,0,FWD,9.3,0.8%,0.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,47.0,13.8,45.0,10.6,0.0,0.0,0.0,0.6,6.0,121744.0,203917.0,-2.0,2.0,1,1.0,0.24,0.24,0.24,1.04,0.56,0.24,0.24,0.24,0.48,0.48,1.04,0.56,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,0.0
Agüero,21,6,WHU,MCI,0,FWD,10.4,2.6%,0.7,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,35.2,10.0,4.9,0.7,0.0,0.1,0.2,2.0,159941.0,261421.0,-1.0,1.0,1,0.0,0.05,0.05,0.71,0.76,0.33,0.06,0.06,0.97,1.03,1.03,1.03,0.45,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,1.0
Delap,21,6,WHU,MCI,0,FWD,4.5,1.0%,0.3,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,0.3,0.0,0.1,0.2,1.0,109299.0,59556.0,0.0,0.0,1,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,0.0
Gündogan,21,6,WHU,MCI,0,MID,5.4,0.2%,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.8,13.7,0.0,1.7,0.3,0.0,0.1,0.2,1.0,10829.0,31520.0,-1.0,1.0,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,2.0
Rodrigo,21,6,WHU,MCI,0,MID,5.4,0.5%,2.0,360.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,50.8,55.4,10.0,11.6,2.0,0.0,0.4,1.3,1.8,15280.0,25144.0,-1.0,1.0,4,0.0,0.06,0.06,0.08,1.68,1.59,0.01,0.01,0.02,0.04,0.04,0.42,0.4,11,4,2,1,1.0,7.0,7,7,6.37,5.61,7.0,4.72,0.89,9.19,18.88,31.0,14.0,5.36,9,2.2,1.4,1.4,1.902,1.902,1.122,1.122,0.782,3.4659999999999997,2.29,4.0,6.6,1.832,2.0
Douglas Luiz,21,6,LEE,AVL,1,MID,5.0,0.3%,2.0,345.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,42.4,21.7,35.0,10.0,2.0,0.0,0.4,1.8,2.2,9598.0,17248.0,0.0,0.0,4,0.0,0.12,0.12,0.02,0.66,0.57,0.03,0.03,0.01,0.04,0.04,0.17,0.15,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,2.0
Trézéguet,21,6,LEE,AVL,1,MID,5.4,1.1%,3.7,339.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,71.6,80.1,68.0,21.9,3.7,0.0,0.7,2.6,3.5,33340.0,59169.0,-1.0,1.0,4,0.0,0.29,0.29,1.27,1.26,0.34,0.08,0.08,0.33,0.4,0.4,0.32,0.09,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,2.0
Mings,21,6,LEE,AVL,1,DEF,5.2,9.7%,6.7,360.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,108.0,135.8,13.7,44.0,19.5,6.7,2.0,1.3,5.8,7.5,587562.0,94716.0,2.0,-2.0,4,1.0,0.48,0.48,0.05,0.96,0.96,0.12,0.12,0.01,0.13,0.13,0.24,0.24,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,0.0
Targett,21,6,LEE,AVL,1,DEF,4.5,1.6%,4.0,360.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.0,31.8,27.8,10.0,7.1,4.0,0.0,0.9,3.8,4.2,86914.0,41815.0,0.0,0.0,4,0.0,0.07,0.07,0.0,0.57,0.57,0.02,0.02,0.0,0.02,0.02,0.14,0.14,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,1.0
