Gameweek,Player,Team,Role,Cost,Sel.,Form,Cum_Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Pts.
8,Greenwood,MUN,MID,7.2,3.0,1.0,7.0,274.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,16.2,35.3,71.0,12.1,1.0,0.0,0.1,1.0,1.4,256501.0,564216.0,-3.0,3.0,5,0.0,0.59,0.59,0.2,0.73,0.04,0.19,0.19,0.06,0.26,0.26,0.24,0.01,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Martial,MUN,FWD,8.7,3.6,0.2,5.0,206.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.6,11.1,62.0,7.6,0.2,0.0,0.0,0.6,1.7,501063.0,1080931.0,-3.0,3.0,3,0.0,0.07,0.07,0.0,0.05,0.04,0.03,0.03,0.0,0.03,0.03,0.02,0.02,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,2.0
8,James,MUN,MID,6.3,0.2,0.5,3.0,177.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,13.2,42.4,86.0,14.2,0.5,0.0,0.1,0.5,1.0,6766.0,20924.0,-2.0,2.0,3,0.0,0.29,0.29,0.12,0.55,0.16,0.14,0.14,0.06,0.2,0.2,0.26,0.07,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Matic,MUN,MID,4.9,0.2,0.8,7.0,164.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,37.8,30.5,20.0,8.8,0.8,0.0,0.2,1.4,1.8,9644.0,16643.0,-1.0,1.0,4,0.0,0.04,0.04,0.06,0.76,0.67,0.02,0.02,0.03,0.06,0.06,0.41,0.36,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Mata,MUN,MID,5.9,0.1,1.5,6.0,147.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,38.8,85.4,30.0,15.4,1.5,0.0,0.3,1.0,3.0,5221.0,7815.0,-1.0,1.0,2,0.0,0.11,0.11,0.19,0.51,0.37,0.06,0.06,0.12,0.18,0.18,0.31,0.23,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,2.0
8,Bailly,MUN,DEF,4.9,0.2,-0.5,-1.0,98.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,25.0,0.1,0.0,2.5,-0.5,0.0,-0.1,-0.2,-0.5,8068.0,18219.0,-1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Fosu-Mensah,MUN,DEF,4.4,0.1,0.0,0.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,17.8,30.5,16.0,6.4,0.0,0.0,0.0,0.0,0.0,3818.0,6467.0,-1.0,1.0,1,0.0,0.02,0.02,0.31,0.4,0.36,0.02,0.02,0.32,0.34,0.34,0.43,0.38,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,van de Beek,MUN,MID,6.8,2.1,0.8,10.0,75.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,42.0,21.4,39.0,10.2,0.8,0.0,0.1,1.5,2.0,151385.0,268335.0,-2.0,2.0,5,1.0,0.28,0.28,0.05,0.63,0.3,0.39,0.39,0.06,0.46,0.46,0.88,0.42,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Cavani,MUN,FWD,8.0,0.6,0.7,2.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,24.0,2.4,0.7,0.0,0.1,0.2,1.0,76874.0,37318.0,0.0,0.0,2,0.0,0.17,0.17,0.0,0.12,0.0,0.33,0.33,0.0,0.33,0.33,0.24,0.0,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,5.0
8,Ighalo,MUN,FWD,6.2,0.2,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,2.0,0.2,0.0,0.0,0.0,0.2,1.0,5703.0,18633.0,-3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,2,1,3.0,9.0,13,7,6.81,4.52,10.28,7.23,-2.71,12.05,10.34,46.0,33.0,6.09,0.0
8,Jack Robinson,SHU,DEF,4.4,0.2,1.7,8.0,251.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,4.6,17.0,5.6,1.7,0.0,0.4,1.8,2.7,7684.0,10237.0,-1.0,1.0,3,0.0,0.55,0.55,0.0,0.55,0.55,0.2,0.2,0.0,0.2,0.2,0.2,0.2,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Ramsdale,SHU,GKP,4.9,3.3,3.0,18.0,630.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,117.0,183.6,10.0,2.0,19.6,3.0,0.0,0.6,3.7,2.6,53716.0,311136.0,-1.0,1.0,7,0.0,0.0,0.0,0.05,0.65,0.6,0.0,0.0,0.01,0.01,0.01,0.09,0.09,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,2.0
8,Stevens,SHU,DEF,5.3,2.1,1.3,10.0,630.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.0,128.8,30.9,55.0,21.6,1.3,0.0,0.2,1.9,1.4,16910.0,220629.0,-2.0,2.0,7,0.0,0.2,0.2,0.08,1.9,1.76,0.03,0.03,0.01,0.04,0.04,0.27,0.25,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
