Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Ramsdale,ARS,4.9,GKP,11.4%,1.8,119.0,2880.0,0.0,0.0,12.0,34.0,0.0,0.0,0.0,1.0,0.0,77.0,6.0,556.0,622.8,0.0,0.0,62.4,1.8,2.0,0.4,24.3,3.7,1577939.0,1979378.0,-0.1,0.1
Raya,BRE,4.9,GKP,16.6%,3.0,135.0,2880.0,0.0,0.0,9.0,43.0,1.0,0.0,0.0,1.0,0.0,132.0,18.0,692.0,963.8,20.1,4.0,99.1,3.0,1.0,0.6,27.6,4.2,2515593.0,1281656.0,0.4,-0.4
Tarkowski,EVE,4.2,DEF,4.4%,2.5,92.0,2880.0,1.0,1.0,8.0,46.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,545.0,891.6,172.2,366.0,143.2,2.5,1.0,0.6,21.9,2.9,1298592.0,902378.0,-0.3,0.3
Meslier,LEE,4.5,GKP,1.9%,0.8,87.0,2880.0,0.0,0.0,5.0,62.0,0.0,0.0,0.0,3.0,0.0,89.0,8.0,528.0,709.4,0.0,17.0,72.9,0.8,1.0,0.2,19.3,2.7,301380.0,378235.0,0.0,0.0
Bazunu,SOU,4.5,GKP,0.7%,1.2,84.0,2880.0,0.0,0.0,4.0,56.0,0.0,1.0,0.0,0.0,0.0,69.0,3.0,485.0,633.0,10.0,0.0,64.2,1.2,0.0,0.3,18.7,2.6,96872.0,105873.0,0.0,0.0
Ward-Prowse,SOU,6.3,MID,5.7%,2.0,113.0,2880.0,7.0,2.0,4.0,56.0,1.0,0.0,2.0,5.0,0.0,0.0,15.0,595.0,745.2,1022.6,281.0,204.9,2.0,2.0,0.3,17.9,3.5,1332521.0,1654980.0,-0.2,0.2
Sá,WOL,5.0,GKP,5.5%,5.0,131.0,2880.0,0.0,0.0,9.0,44.0,0.0,2.0,0.0,1.0,0.0,96.0,14.0,611.0,782.0,0.0,0.0,78.4,5.0,2.0,1.0,26.2,4.1,1011597.0,906446.0,0.0,0.0
Kilman,WOL,4.3,DEF,3.5%,4.0,96.0,2880.0,0.0,1.0,9.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,534.0,669.4,53.5,90.0,81.6,4.0,3.0,0.9,22.3,3.0,913634.0,642742.0,-0.2,0.2
Gabriel,ARS,5.3,DEF,16.2%,1.2,129.0,2875.0,3.0,0.0,12.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,634.0,688.6,110.6,369.0,116.8,1.2,3.0,0.2,24.3,4.0,2763733.0,2003431.0,0.3,-0.3
Kane,TOT,11.5,FWD,36.8%,6.0,206.0,2866.0,24.0,6.0,10.0,50.0,0.0,0.0,1.0,5.0,0.0,0.0,35.0,775.0,1067.8,610.3,1574.0,325.4,6.0,4.0,0.5,17.9,6.4,6693459.0,5421751.0,0.0,0.0
Iwobi,EVE,5.0,MID,0.9%,2.2,102.0,2839.0,1.0,7.0,8.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,457.0,563.4,804.7,283.0,165.3,2.2,1.0,0.4,20.4,3.2,602603.0,543684.0,-0.5,0.5
Guéhi,CRY,4.5,DEF,2.4%,5.5,82.0,2790.0,1.0,0.0,8.0,37.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,515.0,603.2,98.3,151.0,85.6,5.5,0.0,1.2,18.2,2.6,571602.0,498892.0,0.0,0.0
Pickford,EVE,4.4,GKP,5.8%,3.5,101.0,2790.0,0.0,1.0,7.0,46.0,0.0,0.0,0.0,5.0,0.0,108.0,7.0,562.0,845.0,23.0,0.0,86.7,3.5,1.0,0.8,23.0,3.3,876968.0,890068.0,-0.1,0.1
Alisson,LIV,5.4,GKP,15.2%,2.6,132.0,2790.0,0.0,1.0,11.0,38.0,0.0,1.0,0.0,0.0,0.0,92.0,10.0,690.0,830.0,10.1,0.0,84.0,2.6,1.0,0.5,24.4,4.3,1815604.0,2263401.0,-0.1,0.1
Rice,WHU,4.7,MID,3.1%,3.6,97.0,2790.0,3.0,3.0,8.0,41.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,521.0,670.4,477.6,176.0,132.4,3.6,1.0,0.8,20.6,3.1,400630.0,711549.0,-0.3,0.3
