Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Ramsdale,ARS,4.9,GKP,12.1%,3.2,103.0,2340.0,0.0,0.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,468.0,479.8,0.0,0.0,48.1,3.2,2.0,0.7,21.0,4.0,1468323.0,1779050.0,-0.1,0.1
Gabriel,ARS,5.2,DEF,14.0%,3.3,108.0,2340.0,2.0,0.0,11.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,514.0,522.8,76.8,299.0,89.9,3.3,2.0,0.6,20.8,4.2,2209768.0,1691516.0,0.2,-0.2
Tarkowski,EVE,4.4,DEF,6.9%,1.8,70.0,2340.0,1.0,0.0,6.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,431.0,736.0,126.7,314.0,117.7,1.8,1.0,0.4,15.9,2.7,1198543.0,521732.0,-0.1,0.1
Ederson,MCI,5.4,GKP,13.9%,2.5,92.0,2340.0,0.0,1.0,9.0,25.0,0.0,0.0,0.0,2.0,0.0,36.0,6.0,443.0,381.4,13.1,0.0,39.4,2.5,0.0,0.5,17.0,3.5,1563884.0,1915513.0,-0.1,0.1
Sá,WOL,5.0,GKP,5.5%,4.0,108.0,2340.0,0.0,0.0,7.0,35.0,0.0,2.0,0.0,0.0,0.0,75.0,12.0,499.0,627.2,0.0,0.0,62.8,4.0,2.0,0.8,21.6,4.2,929847.0,833819.0,0.0,0.0
Kilman,WOL,4.4,DEF,3.8%,2.8,79.0,2340.0,0.0,1.0,7.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,430.0,524.2,28.0,74.0,62.9,2.8,3.0,0.6,18.0,3.0,814957.0,507045.0,-0.1,0.1
Ream,FUL,4.6,DEF,3.3%,4.5,87.0,2337.0,1.0,0.0,8.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,482.0,504.8,35.1,72.0,61.5,4.5,2.0,1.0,18.9,3.3,551419.0,208861.0,0.1,-0.1
Kane,TOT,11.7,FWD,38.0%,4.6,163.0,2326.0,18.0,6.0,10.0,35.0,0.0,0.0,1.0,4.0,0.0,0.0,27.0,605.0,845.0,544.7,1328.0,271.9,4.6,2.0,0.4,13.9,6.3,5743133.0,4330799.0,0.2,-0.2
Saliba,ARS,5.3,DEF,33.7%,2.8,110.0,2325.0,2.0,1.0,11.0,25.0,1.0,0.0,0.0,4.0,0.0,0.0,13.0,537.0,497.0,100.5,111.0,71.0,2.8,2.0,0.5,20.8,4.2,5385612.0,2549715.0,0.8,-0.8
Iwobi,EVE,5.4,MID,2.1%,3.0,88.0,2299.0,1.0,7.0,6.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,386.0,472.0,630.2,211.0,131.5,3.0,1.0,0.6,16.3,3.4,584062.0,397226.0,-0.1,0.1
Guaita,CRY,4.4,GKP,2.1%,4.5,94.0,2250.0,0.0,0.0,6.0,32.0,0.0,0.0,0.0,1.0,0.0,81.0,10.0,459.0,637.0,0.0,0.0,63.6,4.5,1.0,1.0,21.4,3.8,507494.0,447523.0,-0.1,0.1
Pickford,EVE,4.4,GKP,6.1%,2.0,77.0,2250.0,0.0,1.0,5.0,38.0,0.0,0.0,0.0,5.0,0.0,85.0,6.0,439.0,686.4,23.0,0.0,70.8,2.0,1.0,0.5,17.5,3.1,804284.0,788575.0,-0.1,0.1
Ward,LEI,4.0,GKP,25.7%,4.5,89.0,2250.0,0.0,0.0,6.0,43.0,0.0,1.0,0.0,0.0,0.0,74.0,12.0,471.0,603.4,0.0,0.0,60.2,4.5,3.0,1.1,22.2,3.6,2309115.0,1976667.0,0.0,0.0
Meslier,LEE,4.5,GKP,1.9%,2.8,80.0,2250.0,0.0,0.0,5.0,40.0,0.0,0.0,0.0,2.0,0.0,74.0,7.0,435.0,574.2,0.0,17.0,59.3,2.8,1.0,0.6,17.8,3.2,279101.0,352108.0,0.0,0.0
Alisson,LIV,5.4,GKP,15.5%,6.4,117.0,2250.0,0.0,1.0,10.0,28.0,0.0,1.0,0.0,0.0,0.0,77.0,10.0,576.0,692.0,10.1,0.0,70.2,6.4,1.0,1.2,21.7,4.7,1608972.0,2010553.0,-0.1,0.1
De Gea,MUN,5.0,GKP,10.3%,4.2,96.0,2250.0,0.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,67.0,4.0,460.0,535.8,10.0,0.0,54.8,4.2,1.0,0.8,19.2,3.8,1348089.0,1164766.0,0.0,0.0
Bazunu,SOU,4.5,GKP,0.6%,4.8,70.0,2250.0,0.0,0.0,3.0,41.0,0.0,1.0,0.0,0.0,0.0,55.0,3.0,385.0,513.0,10.0,0.0,52.2,4.8,0.0,1.1,15.6,2.8,76041.0,89614.0,0.0,0.0
Ward-Prowse,SOU,6.3,MID,6.0%,3.2,90.0,2250.0,6.0,2.0,3.0,41.0,1.0,0.0,2.0,5.0,0.0,0.0,12.0,462.0,579.0,828.8,238.0,164.7,3.2,2.0,0.5,14.3,3.6,1143067.0,1435662.0,-0.2,0.2
Rice,WHU,4.7,MID,3.2%,3.8,77.0,2250.0,2.0,3.0,5.0,33.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,406.0,515.4,416.5,143.0,107.5,3.8,1.0,0.8,16.4,3.1,375155.0,677319.0,-0.3,0.3
Neves,WOL,5.4,MID,2.8%,1.8,86.0,2250.0,5.0,0.0,7.0,32.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,421.0,621.6,307.6,273.0,120.1,1.8,2.0,0.3,15.9,3.4,580860.0,497600.0,-0.1,0.1
Saka,ARS,8.5,MID,40.3%,6.3,149.0,2245.0,10.0,10.0,10.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,506.0,734.2,819.3,869.0,242.3,6.3,5.0,0.7,17.5,5.7,5234945.0,3070379.0,0.5,-0.5
Bowen,WHU,8.0,MID,2.8%,3.5,92.0,2241.0,4.0,5.0,5.0,33.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,265.0,406.0,511.3,806.0,172.4,3.5,2.0,0.4,11.5,3.7,954823.0,1309007.0,-0.5,0.5
Højbjerg,TOT,5.5,MID,2.3%,3.4,96.0,2231.0,4.0,3.0,9.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,472.0,585.0,349.7,197.0,113.3,3.4,2.0,0.6,17.5,3.8,746569.0,657601.0,0.0,0.0
Salah,LIV,12.7,MID,27.2%,9.8,154.0,2226.0,11.0,8.0,10.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,397.0,651.0,608.6,1095.0,235.5,9.8,4.0,0.8,12.1,6.2,4668772.0,7705303.0,-0.3,0.3
Andreas,FUL,4.4,MID,16.0%,4.5,98.0,2169.0,2.0,10.0,8.0,29.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,293.0,345.4,853.7,341.0,153.9,4.5,1.0,1.0,22.3,3.8,3016507.0,3540437.0,-0.1,0.1
Raya,BRE,4.8,GKP,13.7%,3.7,109.0,2160.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,1.0,0.0,103.0,14.0,544.0,740.4,20.1,0.0,76.3,3.7,1.0,0.8,22.7,4.5,1984509.0,1080163.0,0.3,-0.3
Guéhi,CRY,4.4,DEF,1.1%,3.0,56.0,2160.0,0.0,0.0,6.0,29.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,374.0,445.6,59.1,112.0,62.0,3.0,0.0,0.7,12.7,2.3,400419.0,477464.0,-0.1,0.1
Leno,FUL,4.5,GKP,3.4%,5.2,101.0,2160.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,2.0,0.0,96.0,14.0,524.0,768.4,10.0,0.0,78.0,5.2,2.0,1.2,22.4,4.2,485590.0,294307.0,0.0,0.0
Fernandes,MUN,9.8,MID,8.1%,4.8,116.0,2159.0,5.0,7.0,10.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,469.0,645.8,950.8,603.0,220.0,4.8,4.0,0.5,11.8,4.8,2210064.0,1736921.0,-0.2,0.2
Konsa,AVL,4.4,DEF,0.4%,3.5,64.0,2152.0,0.0,0.0,7.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,389.0,384.8,75.1,42.0,50.3,3.5,0.0,0.8,14.5,2.6,79381.0,73766.0,-0.1,0.1
Rodri,MCI,5.6,MID,1.9%,4.2,85.0,2147.0,2.0,5.0,8.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,469.0,581.0,472.7,395.0,145.1,4.2,1.0,0.8,15.2,3.4,245371.0,378260.0,-0.4,0.4
Mykolenko,EVE,4.3,DEF,1.0%,1.6,60.0,2138.0,0.0,1.0,6.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,347.0,401.8,278.3,104.0,78.7,1.6,1.0,0.4,14.0,2.4,269964.0,205517.0,-0.2,0.2
Palhinha,FUL,4.9,MID,0.3%,1.5,66.0,2135.0,3.0,0.0,8.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,275.0,437.8,76.0,278.0,79.5,1.5,1.0,0.3,13.5,2.8,78913.0,80481.0,-0.1,0.1
Ødegaard,ARS,7.0,MID,37.5%,4.2,144.0,2131.0,9.0,7.0,10.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,558.0,647.2,867.5,690.0,220.7,4.2,4.0,0.6,20.6,5.8,5462715.0,2993909.0,0.5,-0.5
Xhaka,ARS,4.9,MID,2.6%,2.2,94.0,2113.0,3.0,5.0,10.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,409.0,449.2,524.6,342.0,131.7,2.2,1.0,0.4,19.2,3.6,845567.0,742046.0,-0.1,0.1
Koch,LEE,4.5,DEF,0.2%,2.3,48.0,2112.0,0.0,0.0,5.0,39.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,315.0,395.4,34.0,105.0,53.4,2.3,0.0,0.5,10.7,2.0,22380.0,26242.0,0.0,0.0
Lerma,BOU,4.7,MID,0.4%,2.5,63.0,2108.0,3.0,0.0,4.0,47.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,304.0,399.8,156.8,207.0,76.1,2.5,1.0,0.5,13.4,2.6,127274.0,154314.0,-0.3,0.3
Trippier,NEW,6.0,DEF,64.1%,1.3,147.0,2107.0,1.0,5.0,14.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,31.0,649.0,608.0,1204.3,90.0,190.5,1.3,4.0,0.2,24.5,6.1,6711035.0,2173196.0,1.0,-1.0
