Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Saliba,ARS,5.5,DEF,35.4%,3.4,72.0,1530.0,1.0,1.0,7.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,334.0,318.8,62.8,55.0,43.8,3.4,0.0,0.6,13.1,4.2,3039858.0,1527710.0,0.5,-0.5
Pinnock,BRE,4.6,DEF,3.9%,1.6,49.0,1530.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,311.0,424.6,45.6,164.0,63.7,1.6,1.0,0.3,10.7,2.9,521562.0,324296.0,0.1,-0.1
Trafford,BUR,4.5,GKP,0.9%,4.0,43.0,1530.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,64.0,2.0,332.0,552.6,0.1,0.0,55.4,4.0,0.0,0.9,9.6,2.5,58494.0,72559.0,0.0,0.0
Andersen,CRY,5.0,DEF,19.1%,0.8,64.0,1530.0,2.0,1.0,5.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,323.0,460.0,169.6,178.0,80.7,0.8,3.0,0.2,12.8,3.8,2885651.0,1226239.0,0.5,-0.5
Pickford,EVE,4.4,GKP,8.7%,6.2,62.0,1530.0,0.0,0.0,6.0,20.0,1.0,0.0,0.0,2.0,0.0,42.0,6.0,297.0,332.2,40.2,0.0,37.2,6.2,2.0,1.4,14.1,3.6,451020.0,994424.0,-0.1,0.1
Tarkowski,EVE,4.5,DEF,4.7%,5.4,64.0,1530.0,1.0,1.0,6.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,303.0,395.6,126.5,164.0,68.8,5.4,1.0,1.2,14.2,3.8,594150.0,328233.0,0.0,0.0
Leno,FUL,4.8,GKP,17.2%,4.2,69.0,1530.0,0.0,0.0,5.0,29.0,1.0,0.0,0.0,0.0,0.0,73.0,10.0,391.0,580.0,0.1,0.0,57.9,4.2,2.0,0.9,14.4,4.1,1517862.0,678151.0,0.3,-0.3
Walker,MCI,5.3,DEF,15.2%,1.6,51.0,1530.0,0.0,1.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,307.0,227.6,313.5,56.0,59.7,1.6,0.0,0.3,9.6,3.0,2063545.0,1112074.0,0.3,-0.3
Onana,MUN,4.8,GKP,14.8%,5.0,68.0,1530.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,3.0,0.0,65.0,5.0,346.0,506.4,0.2,0.0,50.8,5.0,2.0,1.0,14.2,4.0,832127.0,2085673.0,-0.2,0.2
Foderingham,SHU,4.5,GKP,0.4%,3.4,43.0,1530.0,0.0,0.0,1.0,43.0,1.0,0.0,0.0,2.0,0.0,81.0,7.0,313.0,557.0,0.0,0.0,55.8,3.4,0.0,0.8,9.6,2.5,37701.0,37584.0,0.0,0.0
