Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Aarons,NOR,4.3,DEF,1.0%,0.5,35.0,1789.0,0.0,1.0,3.0,42.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,259.0,312.8,220.6,121.0,65.1,0.5,0.0,0.1,8.1,1.8,83557.0,177798.0,-2.0,2.0
Soucek,WHU,5.7,MID,4.0%,2.6,68.0,1788.0,3.0,1.0,4.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,300.0,396.2,169.8,433.0,100.2,2.6,1.0,0.5,11.9,3.4,345271.0,850256.0,-3.0,3.0
Dallas,LEE,5.0,MID,3.4%,6.0,55.0,1787.0,1.0,1.0,3.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,322.0,403.4,333.1,210.0,95.0,6.0,0.0,1.2,11.0,2.8,280322.0,1103247.0,-5.0,5.0
Cash,AVL,5.1,DEF,4.5%,1.0,59.0,1783.0,1.0,0.0,6.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,301.0,327.6,233.7,269.0,83.1,1.0,1.0,0.2,11.6,3.0,700098.0,501960.0,1.0,-1.0
Salah,LIV,12.7,MID,39.0%,2.3,177.0,1783.0,16.0,10.0,10.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,526.0,854.4,565.5,1347.0,276.9,2.3,6.0,0.2,13.9,8.8,2961987.0,4263868.0,2.0,-2.0
Pinnock,BRE,4.5,DEF,3.6%,1.3,60.0,1774.0,1.0,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,350.0,453.0,132.1,301.0,88.6,1.3,1.0,0.3,13.3,2.9,812954.0,720189.0,0.0,0.0
Pukki,NOR,5.8,FWD,4.4%,1.2,65.0,1729.0,5.0,0.0,3.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,196.0,217.0,172.0,528.0,91.8,1.2,1.0,0.2,11.2,3.2,934748.0,1123533.0,-2.0,2.0
Salisu,SOU,4.5,DEF,0.2%,0.2,36.0,1711.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,274.0,409.4,107.1,163.0,67.7,0.2,0.0,0.0,8.0,1.8,36506.0,35800.0,0.0,0.0
Martínez,AVL,5.5,GKP,12.6%,1.0,70.0,1710.0,0.0,0.0,5.0,29.0,0.0,1.0,0.0,2.0,0.0,56.0,7.0,357.0,479.2,0.0,0.0,47.8,1.0,1.0,0.2,12.7,3.7,553950.0,2093822.0,0.0,0.0
Keane,EVE,4.9,DEF,3.4%,-0.5,54.0,1710.0,1.0,2.0,3.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,304.0,439.0,91.9,124.0,65.6,-0.5,1.0,-0.1,11.0,2.8,415970.0,369708.0,-1.0,1.0
