Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Sá,WOL,5.3,GKP,11.7%,3.2,137.0,2880.0,0.0,1.0,11.0,28.0,1.0,0.0,0.0,3.0,0.0,106.0,11.0,651.0,840.4,30.0,0.0,86.9,3.2,4.0,0.6,25.8,4.3,1715507.0,761265.0,3.0,-3.0
Coady,WOL,4.9,DEF,17.2%,4.5,126.0,2866.0,3.0,0.0,11.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,586.0,609.4,24.3,165.0,80.1,4.5,1.0,0.9,25.7,3.9,2109962.0,1129599.0,4.0,-4.0
Meslier,LEE,4.8,GKP,2.0%,3.0,84.0,2844.0,0.0,0.0,4.0,68.0,0.0,0.0,0.0,2.0,0.0,118.0,4.0,599.0,900.2,0.0,0.0,89.9,3.0,1.0,0.6,17.5,2.6,200075.0,353100.0,-2.0,2.0
de Gea,MUN,5.1,GKP,10.6%,1.7,117.0,2790.0,0.0,0.0,7.0,42.0,0.0,2.0,0.0,0.0,0.0,108.0,7.0,562.0,828.8,0.3,0.0,82.5,1.7,2.0,0.3,22.9,3.8,1885751.0,1383436.0,1.0,-1.0
Lloris,TOT,5.4,GKP,7.9%,4.4,126.0,2790.0,0.0,0.0,12.0,37.0,0.0,0.0,0.0,1.0,0.0,85.0,10.0,572.0,654.8,23.0,0.0,67.7,4.4,3.0,0.8,23.3,4.1,1216370.0,1075038.0,-1.0,1.0
Dallas,LEE,4.9,MID,2.9%,2.2,76.0,2785.0,1.0,1.0,4.0,65.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,467.0,597.8,496.6,279.0,137.8,2.2,0.0,0.4,15.5,2.4,299205.0,1157208.0,-6.0,6.0
Jansson,BRE,4.4,DEF,5.7%,2.5,89.0,2781.0,1.0,4.0,6.0,48.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,486.0,600.0,54.8,343.0,100.1,2.5,0.0,0.6,20.2,2.9,1360978.0,1033697.0,-1.0,1.0
Cash,AVL,5.3,DEF,9.0%,1.0,121.0,2747.0,3.0,3.0,11.0,42.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,516.0,607.6,368.4,420.0,139.6,1.0,3.0,0.2,22.8,3.9,1378433.0,772933.0,3.0,-3.0
Martínez,AVL,5.5,GKP,11.7%,1.5,105.0,2700.0,0.0,0.0,9.0,43.0,0.0,1.0,0.0,4.0,0.0,76.0,7.0,537.0,634.4,0.0,0.0,63.2,1.5,2.0,0.3,19.1,3.5,670827.0,2287899.0,0.0,0.0
Sánchez,BHA,4.6,GKP,15.9%,3.2,99.0,2700.0,0.0,0.0,8.0,35.0,0.0,0.0,0.0,3.0,1.0,86.0,8.0,550.0,702.8,30.0,0.0,73.2,3.2,1.0,0.7,21.5,3.3,1521983.0,2009361.0,1.0,-1.0
