Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
de Gea,MUN,5.1,GKP,9.7%,2.5,130.0,3240.0,0.0,0.0,8.0,52.0,0.0,2.0,0.0,0.0,0.0,124.0,7.0,646.0,940.2,0.3,0.0,93.5,2.5,2.0,0.5,25.5,3.6,1938757.0,1518921.0,1.0,-1.0
Sánchez,BHA,4.5,GKP,15.1%,3.4,114.0,3060.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,3.0,1.0,92.0,8.0,621.0,754.8,30.0,0.0,78.4,3.4,1.0,0.8,25.3,3.4,1559495.0,2118290.0,0.0,0.0
Lloris,TOT,5.4,GKP,7.9%,4.6,137.0,3060.0,0.0,0.0,13.0,39.0,0.0,0.0,0.0,1.0,0.0,90.0,10.0,622.0,697.0,23.0,0.0,71.9,4.6,3.0,0.9,25.4,4.0,1260028.0,1117718.0,-1.0,1.0
Fabianski,WHU,5.0,GKP,2.6%,3.6,120.0,3060.0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,1.0,0.0,101.0,8.0,584.0,799.6,0.0,0.0,79.8,3.6,2.0,0.7,24.0,3.5,408860.0,378922.0,0.0,0.0
Sá,WOL,5.2,GKP,9.7%,3.0,143.0,3060.0,0.0,1.0,11.0,32.0,1.0,0.0,0.0,3.0,0.0,116.0,11.0,691.0,904.4,30.0,0.0,93.3,3.0,4.0,0.6,27.5,4.2,1748211.0,980313.0,2.0,-2.0
Jansson,BRE,4.4,DEF,5.8%,4.0,105.0,3051.0,2.0,4.0,7.0,52.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,549.0,697.2,66.2,421.0,118.8,4.0,0.0,0.9,23.9,3.1,1405177.0,1072014.0,-1.0,1.0
Coady,WOL,4.8,DEF,14.8%,1.3,128.0,3046.0,3.0,0.0,11.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,614.0,651.6,35.3,169.0,85.9,1.3,1.0,0.3,26.7,3.8,2200046.0,1433206.0,3.0,-3.0
Meslier,LEE,4.8,GKP,2.0%,5.7,95.0,3024.0,0.0,0.0,5.0,72.0,0.0,0.0,0.0,2.0,0.0,127.0,7.0,648.0,977.6,0.0,0.0,97.6,5.7,2.0,1.2,19.8,2.8,207526.0,361984.0,-2.0,2.0
Guéhi,CRY,4.5,DEF,2.0%,3.6,108.0,2970.0,2.0,0.0,10.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,608.0,650.8,76.3,258.0,98.8,3.6,0.0,0.8,24.0,3.3,372231.0,232915.0,0.0,0.0
Schmeichel,LEI,4.9,GKP,16.5%,4.8,117.0,2970.0,0.0,0.0,6.0,54.0,0.0,2.0,0.0,1.0,0.0,117.0,12.0,631.0,964.8,11.2,0.0,97.9,4.8,1.0,1.0,23.9,3.5,1460122.0,1520207.0,-1.0,1.0
