Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Saliba,ARS,5.2,DEF,26.6%,4.3,29.0,630.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,145.0,153.2,34.5,9.0,19.8,4.3,0.0,0.8,5.6,4.1,1347253.0,754703.0,0.2,-0.2
White,ARS,5.5,DEF,10.1%,8.3,36.0,630.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,158.0,171.4,105.9,54.0,33.1,8.3,1.0,1.5,6.5,5.1,366637.0,323491.0,0.0,0.0
Konsa,AVL,4.5,DEF,1.0%,3.3,19.0,630.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,127.0,133.6,7.2,13.0,15.4,3.3,0.0,0.7,4.2,2.7,28130.0,42063.0,0.0,0.0
Neto,BOU,4.5,GKP,1.6%,4.0,27.0,630.0,0.0,0.0,1.0,15.0,0.0,1.0,0.0,2.0,0.0,30.0,5.0,138.0,240.2,0.0,0.0,24.1,4.0,1.0,0.9,6.0,3.9,110550.0,51130.0,0.0,0.0
Zabarnyi,BOU,4.5,DEF,0.1%,2.0,11.0,630.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,131.0,6.9,8.0,14.6,2.0,0.0,0.4,2.4,1.6,6330.0,7025.0,0.0,0.0
Solanke,BOU,6.4,FWD,2.3%,3.3,31.0,630.0,3.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,142.4,93.2,235.0,47.3,3.3,0.0,0.5,4.8,4.4,119936.0,178591.0,-0.1,0.1
Flekken,BRE,4.5,GKP,3.5%,1.7,19.0,630.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,121.0,152.8,0.0,0.0,15.3,1.7,0.0,0.4,4.2,2.7,287311.0,136138.0,0.0,0.0
Pinnock,BRE,4.5,DEF,1.9%,1.7,16.0,630.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,157.2,37.2,63.0,25.9,1.7,0.0,0.4,3.6,2.3,88227.0,98572.0,0.0,0.0
Mbeumo,BRE,6.8,MID,25.7%,1.7,38.0,630.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,113.0,191.2,196.0,213.0,60.0,1.7,1.0,0.3,5.6,5.4,2615395.0,1054051.0,0.3,-0.3
Dunk,BHA,5.0,DEF,3.5%,0.3,8.0,630.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,95.0,121.6,39.1,76.0,23.6,0.3,0.0,0.1,1.6,1.1,124946.0,223201.0,0.0,0.0
Trafford,BUR,4.5,GKP,1.0%,2.5,15.0,630.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,128.0,210.0,0.1,0.0,21.1,2.5,0.0,0.6,3.3,2.1,22288.0,31036.0,0.0,0.0
Al-Dakhil,BUR,4.0,DEF,0.8%,1.8,9.0,630.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,87.0,28.1,34.0,14.8,1.8,0.0,0.4,2.2,1.3,60618.0,36884.0,0.0,0.0
Cullen,BUR,5.0,MID,0.1%,1.8,15.0,630.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,109.6,92.2,18.0,21.9,1.8,0.0,0.4,3.0,2.1,5736.0,4005.0,0.0,0.0
Sanchez,CHE,4.6,GKP,6.6%,7.0,33.0,630.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,19.0,4.0,148.0,176.6,0.1,0.0,17.7,7.0,0.0,1.5,7.2,4.7,504002.0,201106.0,0.1,-0.1
T.Silva,CHE,5.0,DEF,3.7%,5.3,27.0,630.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,185.4,53.6,32.0,27.2,5.3,0.0,1.1,5.4,3.9,173647.0,126253.0,0.0,0.0
Disasi,CHE,5.1,DEF,6.7%,4.3,32.0,630.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,134.0,148.4,33.6,74.0,25.6,4.3,1.0,0.8,6.3,4.6,786733.0,341533.0,0.1,-0.1
Johnstone,CRY,4.5,GKP,1.9%,6.0,29.0,630.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,119.0,106.2,0.0,0.0,10.6,6.0,1.0,1.3,6.4,4.1,82129.0,94334.0,0.0,0.0
Andersen,CRY,4.8,DEF,11.3%,7.3,45.0,630.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,180.0,248.2,111.4,102.0,46.1,7.3,3.0,1.5,9.4,6.4,1056996.0,203286.0,0.3,-0.3
Mitchell,CRY,4.5,DEF,1.3%,4.0,28.0,630.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,133.0,114.0,62.7,18.0,19.4,4.0,0.0,0.9,6.2,4.0,109923.0,46673.0,0.0,0.0
C.Doucouré,CRY,5.0,MID,0.1%,2.3,15.0,630.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,101.0,113.8,65.9,21.0,20.2,2.3,0.0,0.5,3.0,2.1,7212.0,5914.0,0.0,0.0
Pickford,EVE,4.4,GKP,9.0%,2.0,11.0,630.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,81.0,126.2,20.0,0.0,14.5,2.0,0.0,0.5,2.5,1.6,122421.0,637608.0,-0.1,0.1
Tarkowski,EVE,4.4,DEF,3.2%,5.7,22.0,630.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,185.2,69.9,74.0,33.0,5.7,1.0,1.3,5.0,3.1,247737.0,127219.0,-0.1,0.1
Leno,FUL,4.7,GKP,15.5%,5.7,36.0,630.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,29.0,8.0,177.0,243.4,0.0,0.0,24.3,5.7,2.0,1.2,7.7,5.1,919103.0,265390.0,0.2,-0.2
Diop,FUL,4.5,DEF,0.9%,4.0,21.0,630.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0,131.0,16.0,8.0,15.5,4.0,0.0,0.9,4.7,3.0,75787.0,53070.0,0.0,0.0
A.Becker,LIV,5.5,GKP,10.9%,3.0,27.0,630.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,30.0,3.0,149.0,217.6,0.1,0.0,21.7,3.0,1.0,0.5,4.9,3.9,341028.0,280409.0,0.0,0.0
