Player,Count,Entries Number,Season,Gameweek
Haaland,8401,10049,24,8
Watkins,7051,10049,24,8
Trippier,6556,10049,24,8
Salah,6536,10049,24,8
Maddison,5669,10049,24,8
Areola,5547,10049,24,8
Cash,5526,10049,24,8
Son,4817,10049,24,8
Saka,4686,10049,24,8
Mitoma,3827,10049,24,8
J.Alvarez,3818,10049,24,8
Udogie,3769,10049,24,8
Turner,3229,10049,24,8
Leno,2743,10049,24,8
Diaby,2603,10049,24,8
Bowen,2541,10049,24,8
Botman,2460,10049,24,8
Saliba,2385,10049,24,8
Pedro Porro,2284,10049,24,8
Andersen,2204,10049,24,8
Ødegaard,2186,10049,24,8
Estupiñan,2076,10049,24,8
Mbeumo,2020,10049,24,8
Burn,1853,10049,24,8
Isak,1784,10049,24,8
Morris,1730,10049,24,8
Neto,1647,10049,24,8
White,1569,10049,24,8
Archer,1423,10049,24,8
Sanchez,1394,10049,24,8
Ward-Prowse,1331,10049,24,8
Colwill,1325,10049,24,8
Lamptey,1263,10049,24,8
Sterling,1252,10049,24,8
Kaboré,1247,10049,24,8
Romero,1219,10049,24,8
Gordon,1156,10049,24,8
Walker,1009,10049,24,8
B.Fernandes,1002,10049,24,8
Onana,901,10049,24,8
Gusto,871,10049,24,8
Digne,847,10049,24,8
Foden,846,10049,24,8
Ederson M.,812,10049,24,8
Gabriel,776,10049,24,8
Mubama,731,10049,24,8
Darwin,729,10049,24,8
Almirón,704,10049,24,8
Anderson,659,10049,24,8
Vicario,634,10049,24,8
Pope,624,10049,24,8
Martinez,623,10049,24,8
Taylor,621,10049,24,8
Johnstone,598,10049,24,8
Rashford,593,10049,24,8
Schär,587,10049,24,8
Pickford,573,10049,24,8
Van de Ven,549,10049,24,8
Tarkowski,531,10049,24,8
Douglas Luiz,523,10049,24,8
Bell,522,10049,24,8
Baldock,493,10049,24,8
Wissa,468,10049,24,8
Højlund,468,10049,24,8
Coufal,449,10049,24,8
Pau,421,10049,24,8
Chukwuemeka,410,10049,24,8
Akanji,394,10049,24,8
Solanke,385,10049,24,8
Guéhi,378,10049,24,8
João Pedro,375,10049,24,8
Sarr,372,10049,24,8
Jensen,371,10049,24,8
Disasi,361,10049,24,8
Luis Díaz,354,10049,24,8
Flekken,352,10049,24,8
Edouard,345,10049,24,8
Beyer,335,10049,24,8
Awoniyi,334,10049,24,8
A.Becker,329,10049,24,8
Mitchell,314,10049,24,8
Kulusevski,304,10049,24,8
Semenyo,297,10049,24,8
Zinchenko,286,10049,24,8
Robertson,272,10049,24,8
Eze,270,10049,24,8
Lascelles,267,10049,24,8
March,259,10049,24,8
Castagne,251,10049,24,8
Ramsdale,243,10049,24,8
Andreas,237,10049,24,8
Gvardiol,224,10049,24,8
Ream,222,10049,24,8
Palmer,222,10049,24,8
Alexander-Arnold,212,10049,24,8
Nakamba,206,10049,24,8
Calvert-Lewin,202,10049,24,8
A.Doucoure,197,10049,24,8
Richarlison,193,10049,24,8
Raya,191,10049,24,8
Ferguson,190,10049,24,8
Zouma,184,10049,24,8
Dalot,180,10049,24,8
Steele,169,10049,24,8
Szoboszlai,164,10049,24,8
Branthwaite,151,10049,24,8
Strakosha,150,10049,24,8
T.Silva,145,10049,24,8
Pinnock,135,10049,24,8
Rúben,133,10049,24,8
Nketiah,127,10049,24,8
N.Jackson,122,10049,24,8
Aké,118,10049,24,8
Forster,114,10049,24,8
Foster,112,10049,24,8
Enzo,108,10049,24,8
Evans,105,10049,24,8
Gibbs-White,104,10049,24,8
Hee Chan,99,10049,24,8
Aurier,98,10049,24,8
Vinícius,97,10049,24,8
McAtee,93,10049,24,8
Osula,90,10049,24,8
Souček,88,10049,24,8
Antonio,86,10049,24,8
Al-Dakhil,86,10049,24,8
Trusty,84,10049,24,8
Baptiste,79,10049,24,8
Reguilón,79,10049,24,8
Virgil,78,10049,24,8
Konsa,78,10049,24,8
Van Hecke,77,10049,24,8
G.Jesus,77,10049,24,8
Rodrigo,76,10049,24,8
Doku,74,10049,24,8
Wilson,74,10049,24,8
Raúl,74,10049,24,8
Henry,71,10049,24,8
Gross,71,10049,24,8
Chilwell,71,10049,24,8
Ortega Moreno,69,10049,24,8
Emerson,68,10049,24,8
Robinson,67,10049,24,8
Garnacho,65,10049,24,8
José Sá,65,10049,24,8
Sergio Gómez,65,10049,24,8
Dunk,63,10049,24,8
Woodrow,60,10049,24,8
Broja,57,10049,24,8
Elanga,55,10049,24,8
Fabianski,54,10049,24,8
Mee,53,10049,24,8
Bruno G.,52,10049,24,8
J.Virginia,49,10049,24,8
Dubravka,49,10049,24,8
Longstaff,49,10049,24,8
Mac Allister,49,10049,24,8
Trafford,49,10049,24,8
Mateta,49,10049,24,8
Rice,48,10049,24,8
Hudson-Odoi,46,10049,24,8
McGinn,45,10049,24,8
Willian,44,10049,24,8
Kaminski,44,10049,24,8
Stones,43,10049,24,8
Adebayo,41,10049,24,8
Muniz,41,10049,24,8
N.Aguerd,40,10049,24,8
Reed,40,10049,24,8
Mings,40,10049,24,8
Gilmour,39,10049,24,8
R.Varane,39,10049,24,8
Hannibal,39,10049,24,8
Boly,37,10049,24,8
Casemiro,37,10049,24,8
Kilman,36,10049,24,8
L.Paquetá,36,10049,24,8
Basham,35,10049,24,8
Ui-jo,35,10049,24,8
Martinelli,33,10049,24,8
Yarmolyuk,31,10049,24,8
Diop,31,10049,24,8
Bailey,30,10049,24,8
Chambers,30,10049,24,8
Whitworth,29,10049,24,8
Doughty,29,10049,24,8
Amdouni,29,10049,24,8
Mengi,29,10049,24,8
Hickey,29,10049,24,8
Amissah,29,10049,24,8
Caicedo,29,10049,24,8
Cunha,28,10049,24,8
Young,28,10049,24,8
James,28,10049,24,8
Holgate,27,10049,24,8
Wan-Bissaka,26,10049,24,8
Olsen,26,10049,24,8
Lukić,26,10049,24,8
Cucurella,24,10049,24,8
Koleosho,24,10049,24,8
Ugochukwu,23,10049,24,8
Shaw,23,10049,24,8
Bernardo,23,10049,24,8
Mykolenko,23,10049,24,8
R.Lewis,22,10049,24,8
Aarons,22,10049,24,8
Mudryk,22,10049,24,8
Rodák,21,10049,24,8
Kluivert,20,10049,24,8
Trossard,20,10049,24,8
Pellistri,20,10049,24,8
Matip,20,10049,24,8
J.Ayew,19,10049,24,8
Kovačić,18,10049,24,8
King,18,10049,24,8
Veltman,18,10049,24,8
Tonali,18,10049,24,8
Hamer,17,10049,24,8
Bentley,17,10049,24,8
Verbruggen,17,10049,24,8
Brownhill,16,10049,24,8
Lockyer,16,10049,24,8
Boubacar Traore,16,10049,24,8
Billing,15,10049,24,8
Cédric,15,10049,24,8
Beto,15,10049,24,8
Tete,15,10049,24,8
McGill,14,10049,24,8
Burke,14,10049,24,8
Kelleher,13,10049,24,8
Konaté,13,10049,24,8
Tavares,13,10049,24,8
Macey,13,10049,24,8
Šarkić,13,10049,24,8
Enciso,13,10049,24,8
Gomez,13,10049,24,8
Collins,13,10049,24,8
J.Palhinha,13,10049,24,8
Garner,13,10049,24,8
Franchi,13,10049,24,8
Lindelof,12,10049,24,8
N.Semedo,12,10049,24,8
Foderingham,12,10049,24,8
Danjuma,12,10049,24,8
Egan-Riley,12,10049,24,8
Aït-Nouri,12,10049,24,8
Maupay,12,10049,24,8
Maguire,12,10049,24,8
Christie,11,10049,24,8
Ahmedhodžić,11,10049,24,8
Gallagher,11,10049,24,8
Tomkins,11,10049,24,8
Steffen,11,10049,24,8
Iwobi,11,10049,24,8
Roberts,11,10049,24,8
Hennessey,10,10049,24,8
Ansu Fati,10,10049,24,8
Bolla,10,10049,24,8
Vigouroux,10,10049,24,8
Matheus N.,10,10049,24,8
Shoretire,10,10049,24,8
C.Richards,10,10049,24,8
Webster,10,10049,24,8
Balogun,10,10049,24,8
E.Royal,10,10049,24,8
Schlupp,10,10049,24,8
Norrington-Davies,10,10049,24,8
Karius,10,10049,24,8
Andrey,9,10049,24,8
Carson,9,10049,24,8
Wood,9,10049,24,8
Grealish,9,10049,24,8
Randolph,9,10049,24,8
Welbeck,8,10049,24,8
Perišić,8,10049,24,8
Mbabu,8,10049,24,8
Patterson,8,10049,24,8
Whiteman,8,10049,24,8
Ritchie,8,10049,24,8
Livramento,8,10049,24,8
Gillespie,7,10049,24,8
McNeil,7,10049,24,8
Duran,7,10049,24,8
Pepple,7,10049,24,8
Muskwe,7,10049,24,8
Diogo J.,7,10049,24,8
A.Murphy,7,10049,24,8
Adrián,7,10049,24,8
Agyei,7,10049,24,8
Zeqiri,7,10049,24,8
Adingra,7,10049,24,8
Lerma,7,10049,24,8
Zaniolo,6,10049,24,8
Kerkez,6,10049,24,8
Elliott,6,10049,24,8
Barkley,6,10049,24,8
Kalajdžić,6,10049,24,8
Dawson,6,10049,24,8
Giles,6,10049,24,8
Gakpo,6,10049,24,8
Kudus,6,10049,24,8
J.Ramsey,6,10049,24,8
Surridge,6,10049,24,8
Austin,6,10049,24,8
Ahamada,6,10049,24,8
Berge,6,10049,24,8
Dahoud,6,10049,24,8
Dummett,6,10049,24,8
Tielemans,6,10049,24,8
Chong,6,10049,24,8
Dier,6,10049,24,8
Travers,6,10049,24,8
Bassey,6,10049,24,8
Ward,6,10049,24,8
A.Davies,5,10049,24,8
Cullen,5,10049,24,8
Ndombele,5,10049,24,8
Cresswell,5,10049,24,8
Watson,5,10049,24,8
Nørgaard,5,10049,24,8
Simms,5,10049,24,8
Brown,5,10049,24,8
J.Timber,5,10049,24,8
Lonergan,5,10049,24,8
Bobb,5,10049,24,8
Bissouma,5,10049,24,8
Tanganga,5,10049,24,8
Hall,5,10049,24,8
De Cordova-Reid,5,10049,24,8
Gravenberch,5,10049,24,8
Ekdal,4,10049,24,8
A.Ramsey,4,10049,24,8
Dennis,4,10049,24,8
Jordão,4,10049,24,8
Guaita,4,10049,24,8
Schade,4,10049,24,8
Zabarnyi,4,10049,24,8
Havertz,4,10049,24,8
Barnes,4,10049,24,8
Knockaert,4,10049,24,8
Benrahma,4,10049,24,8
Balcombe,4,10049,24,8
Senesi,4,10049,24,8
Potts,4,10049,24,8
Ings,4,10049,24,8
Baleba,3,10049,24,8
Bailly,3,10049,24,8
B.Williams,3,10049,24,8
Arrizabalaga,3,10049,24,8
Spence,3,10049,24,8
André Gomes,3,10049,24,8
Davies,3,10049,24,8
Brooks,3,10049,24,8
Solomon,3,10049,24,8
Scarlett,3,10049,24,8
Williams,3,10049,24,8
Ajer,3,10049,24,8
Sarabia,3,10049,24,8
Johnson,3,10049,24,8
Quansah,3,10049,24,8
Henderson,3,10049,24,8
Kilkenny,3,10049,24,8
Hodge,3,10049,24,8
M.Elneny,3,10049,24,8
Hoever,3,10049,24,8
Mpanzu,3,10049,24,8
Kongolo,3,10049,24,8
Ogbene,3,10049,24,8
Mbe Soh,3,10049,24,8
Origi,3,10049,24,8
Mount,3,10049,24,8
J.Murphy,3,10049,24,8
Nelson,3,10049,24,8
Lemina,3,10049,24,8
Philogene,3,10049,24,8
Heaton,3,10049,24,8
Mitrović,3,10049,24,8
Slonina,2,10049,24,8
Cancelo,2,10049,24,8
Gana,2,10049,24,8
Lloris,2,10049,24,8
Muric,2,10049,24,8
Fraser,2,10049,24,8
Fábio Silva,2,10049,24,8
G.Shelvey,2,10049,24,8
Mighten,2,10049,24,8
Smith Rowe,2,10049,24,8
C.Doucouré,2,10049,24,8
Moore,2,10049,24,8
Shea,2,10049,24,8
Amad,2,10049,24,8
Arter,2,10049,24,8
Dominguez,2,10049,24,8
Clyne,2,10049,24,8
Vitinho,2,10049,24,8
Rodon,2,10049,24,8
Toti,2,10049,24,8
Phillips,2,10049,24,8
Tomiyasu,2,10049,24,8
Ebiowei,2,10049,24,8
Riedewald,2,10049,24,8
Thomas,2,10049,24,8
Doak,2,10049,24,8
Rodriguez,2,10049,24,8
Joelinton,2,10049,24,8
Jones,2,10049,24,8
Aina,2,10049,24,8
Maatsen,2,10049,24,8
Benson,2,10049,24,8
Greenwood,1,10049,24,8
Marquinhos,1,10049,24,8
Hause,1,10049,24,8
M.Trésor,1,10049,24,8
Mainoo,1,10049,24,8
Vlašić,1,10049,24,8
Lowe,1,10049,24,8
Harrison,1,10049,24,8
Hackford,1,10049,24,8
Bajcetic,1,10049,24,8
H.Bueno,1,10049,24,8
Larouci,1,10049,24,8
W.Fofana,1,10049,24,8
Lo Celso,1,10049,24,8
Álvarez,1,10049,24,8
João Gomes,1,10049,24,8
Janelt,1,10049,24,8
Kamara,1,10049,24,8
Zaroury,1,10049,24,8
Zanka,1,10049,24,8
Kiwior,1,10049,24,8
Igor,1,10049,24,8
Højbjerg,1,10049,24,8
Horvath,1,10049,24,8
Kouyaté,1,10049,24,8
Alex Moreno,1,10049,24,8
Hill,1,10049,24,8
Weghorst,1,10049,24,8
Benda,1,10049,24,8
Watts,1,10049,24,8
Amrabat,1,10049,24,8
Marsh,1,10049,24,8
Godfrey,1,10049,24,8
Trevitt,1,10049,24,8
Fábio Vieira,1,10049,24,8
Fernandez,1,10049,24,8
Sangaré,1,10049,24,8
Eriksen,1,10049,24,8
Nkunku,1,10049,24,8
Rúnarsson,1,10049,24,8
Coulibaly,1,10049,24,8
Coutinho,1,10049,24,8
O.Dango,1,10049,24,8
Odysseas,1,10049,24,8
Ola-Adebomi,1,10049,24,8
Egan,1,10049,24,8
Panzo,1,10049,24,8
Pereira,1,10049,24,8
De Fougerolles,1,10049,24,8
Dele,1,10049,24,8
Diego Carlos,1,10049,24,8
Dräger,1,10049,24,8
Doyle,1,10049,24,8
Rak-Sakyi,1,10049,24,8
Radu,1,10049,24,8
Doherty,1,10049,24,8
Francois,1,10049,24,8
Buonanotte,1,10049,24,8
Martial,1,10049,24,8
G.Scarpa,1,10049,24,8
Goode,1,10049,24,8
Toney,1,10049,24,8
Matos,1,10049,24,8
Matthews,1,10049,24,8
Berry,1,10049,24,8
Tavernier,1,10049,24,8
Bertrand Traoré,1,10049,24,8
