Player,Count,Entries Number,Season,Gameweek
Palmer,9909,10050,24,31
Haaland,9065,10050,24,31
Saka,8699,10050,24,31
Salah,8419,10050,24,31
Gabriel,8077,10050,24,31
Solanke,7661,10050,24,31
Son,6692,10050,24,31
Foden,5837,10050,24,31
Areola,5339,10050,24,31
Zabarnyi,4397,10050,24,31
Darwin,4381,10050,24,31
Gusto,3683,10050,24,31
Dubravka,3583,10050,24,31
Saliba,3266,10050,24,31
Bradley,2856,10050,24,31
Neto,2765,10050,24,31
Garnacho,2618,10050,24,31
Pedro Porro,2384,10050,24,31
Doughty,2349,10050,24,31
Muniz,2172,10050,24,31
Aït-Nouri,2168,10050,24,31
Isak,2122,10050,24,31
Udogie,2068,10050,24,31
Virgil,1987,10050,24,31
Petrović,1888,10050,24,31
Taylor,1793,10050,24,31
Branthwaite,1682,10050,24,31
Kelleher,1671,10050,24,31
Watkins,1615,10050,24,31
Gordon,1381,10050,24,31
Raya,1355,10050,24,31
Lascelles,1072,10050,24,31
Bowen,867,10050,24,31
Estupiñan,829,10050,24,31
Van Hecke,783,10050,24,31
Aké,780,10050,24,31
Luis Díaz,727,10050,24,31
Mateta,694,10050,24,31
White,684,10050,24,31
Morris,652,10050,24,31
Sarabia,646,10050,24,31
Toney,633,10050,24,31
Turner,621,10050,24,31
Reguilón,601,10050,24,31
Onana,600,10050,24,31
Maddison,593,10050,24,31
Pau,591,10050,24,31
Gvardiol,519,10050,24,31
Hee Chan,502,10050,24,31
Pickford,478,10050,24,31
Burn,468,10050,24,31
Douglas Luiz,452,10050,24,31
C.Richards,443,10050,24,31
Flekken,431,10050,24,31
Semenyo,399,10050,24,31
Leno,393,10050,24,31
Konsa,381,10050,24,31
Walker,366,10050,24,31
Gross,342,10050,24,31
Kerkez,337,10050,24,31
Richarlison,336,10050,24,31
Dalot,322,10050,24,31
Robinson,317,10050,24,31
Cunha,288,10050,24,31
Ødegaard,281,10050,24,31
Kaminski,251,10050,24,31
Trippier,250,10050,24,31
Lamptey,234,10050,24,31
Alex Moreno,231,10050,24,31
Havertz,213,10050,24,31
Eze,212,10050,24,31
Maguire,210,10050,24,31
Smith,210,10050,24,31
Schär,196,10050,24,31
Senesi,191,10050,24,31
Martinez,189,10050,24,31
Tavernier,189,10050,24,31
Kaboré,185,10050,24,31
Baldock,177,10050,24,31
Ederson M.,164,10050,24,31
Barkley,161,10050,24,31
Rúben,161,10050,24,31
Kiwior,155,10050,24,31
Bailey,153,10050,24,31
Mykolenko,147,10050,24,31
Kilman,138,10050,24,31
Muñoz,133,10050,24,31
Romero,130,10050,24,31
Mitchell,127,10050,24,31
Emerson,124,10050,24,31
Botman,124,10050,24,31
Dunk,116,10050,24,31
Gomez,115,10050,24,31
Mubama,107,10050,24,31
Gibbs-White,104,10050,24,31
Mac Allister,103,10050,24,31
Andersen,97,10050,24,31
Akanji,97,10050,24,31
Van de Ven,92,10050,24,31
Cash,90,10050,24,31
Mengi,90,10050,24,31
Henderson,82,10050,24,31
Coufal,81,10050,24,31
Bell,79,10050,24,31
Kluivert,78,10050,24,31
Konaté,76,10050,24,31
Tarkowski,75,10050,24,31
Wood,71,10050,24,31
Kudus,68,10050,24,31
Elanga,67,10050,24,31
Castagne,67,10050,24,31
Zinchenko,65,10050,24,31
Ortega Moreno,64,10050,24,31
Livramento,61,10050,24,31
Archer,60,10050,24,31
Roerslev,60,10050,24,31
José Sá,55,10050,24,31
Robertson,54,10050,24,31
N.Jackson,53,10050,24,31
Dawson,53,10050,24,31
Strakosha,53,10050,24,31
Colwill,52,10050,24,31
J.Alvarez,41,10050,24,31
De Bruyne,41,10050,24,31
Disasi,40,10050,24,31
Rice,37,10050,24,31
Vicario,37,10050,24,31
D.D.Fofana,36,10050,24,31
N.Semedo,35,10050,24,31
Højlund,35,10050,24,31
Johnstone,33,10050,24,31
McAtee,33,10050,24,31
Anderson,32,10050,24,31
Trusty,31,10050,24,31
B.Fernandes,31,10050,24,31
Guéhi,31,10050,24,31
Rodrigo,27,10050,24,31
Al-Dakhil,27,10050,24,31
Williams,26,10050,24,31
Adingra,24,10050,24,31
Beyer,24,10050,24,31
Chambers,23,10050,24,31
Zouma,22,10050,24,31
Ward-Prowse,22,10050,24,31
A.Becker,22,10050,24,31
Fabianski,22,10050,24,31
Chukwuemeka,19,10050,24,31
Wissa,18,10050,24,31
Martinelli,18,10050,24,31
Pinnock,18,10050,24,31
Johnson,17,10050,24,31
Digne,17,10050,24,31
Hudson-Odoi,16,10050,24,31
Verbruggen,16,10050,24,31
Toti,15,10050,24,31
Stones,15,10050,24,31
Sanchez,15,10050,24,31
Tsimikas,14,10050,24,31
Chong,13,10050,24,31
Sarr,13,10050,24,31
J.Virginia,12,10050,24,31
Lukić,12,10050,24,31
Barnes,12,10050,24,31
Murillo,12,10050,24,31
Diego Carlos,12,10050,24,31
Mainoo,12,10050,24,31
Kulusevski,11,10050,24,31
Collins,11,10050,24,31
Steele,11,10050,24,31
Andreas,11,10050,24,31
João Pedro,10,10050,24,31
Evans,10,10050,24,31
Toffolo,10,10050,24,31
Alexander-Arnold,9,10050,24,31
Brereton Díaz,9,10050,24,31
Lenglet,9,10050,24,31
Tosin,8,10050,24,31
Bentley,8,10050,24,31
G.Jesus,8,10050,24,31
Ajer,8,10050,24,31
Rashford,7,10050,24,31
Sels,7,10050,24,31
Bernardo,7,10050,24,31
R.Lewis,7,10050,24,31
Souček,7,10050,24,31
Forster,7,10050,24,31
Woodrow,7,10050,24,31
Trafford,6,10050,24,31
Sergio Gómez,6,10050,24,31
Quansah,6,10050,24,31
Iwobi,6,10050,24,31
Mepham,6,10050,24,31
McTominay,6,10050,24,31
Adebayo,5,10050,24,31
Mbeumo,5,10050,24,31
Drăgușin,5,10050,24,31
Baptiste,5,10050,24,31
Hall,5,10050,24,31
T.Silva,4,10050,24,31
Burke,4,10050,24,31
Werner,4,10050,24,31
Antonio,4,10050,24,31
Diaby,4,10050,24,31
Bassey,4,10050,24,31
L.Paquetá,4,10050,24,31
J.Ayew,4,10050,24,31
McNeil,3,10050,24,31
Maupay,3,10050,24,31
Miley,3,10050,24,31
Agyei,3,10050,24,31
Amissah,3,10050,24,31
Nakamba,3,10050,24,31
Wan-Bissaka,3,10050,24,31
Assignon,3,10050,24,31
Szoboszlai,3,10050,24,31
L.Cook,3,10050,24,31
Diogo J.,3,10050,24,31
Cédric,3,10050,24,31
Cucurella,3,10050,24,31
Osula,2,10050,24,31
Franchi,2,10050,24,31
Boubacar Traore,2,10050,24,31
Olise,2,10050,24,31
N.Aguerd,2,10050,24,31
Yarmoliuk,2,10050,24,31
Rodák,2,10050,24,31
Ahamada,2,10050,24,31
McGinn,2,10050,24,31
Welbeck,2,10050,24,31
Olsen,1,10050,24,31
Baleba,1,10050,24,31
Lindelof,1,10050,24,31
Dummett,1,10050,24,31
Igor,1,10050,24,31
Whitworth,1,10050,24,31
Scott,1,10050,24,31
Hause,1,10050,24,31
McGill,1,10050,24,31
Willock,1,10050,24,31
Lonergan,1,10050,24,31
J.Murphy,1,10050,24,31
Young,1,10050,24,31
Veltman,1,10050,24,31
Janelt,1,10050,24,31
Osho,1,10050,24,31
Randolph,1,10050,24,31
Ekdal,1,10050,24,31
Elliott,1,10050,24,31
Endo,1,10050,24,31
Chilwell,1,10050,24,31
E.Royal,1,10050,24,31
Enzo,1,10050,24,31
Calvert-Lewin,1,10050,24,31
Tavares,1,10050,24,31
Raúl,1,10050,24,31
Thomas,1,10050,24,31
Christie,1,10050,24,31
R.Varane,1,10050,24,31
Tomiyasu,1,10050,24,31
A.Doucoure,1,10050,24,31
Gallagher,1,10050,24,31
Longstaff,1,10050,24,31
Trossard,1,10050,24,31
Biancone,1,10050,24,31
Lewis-Potter,1,10050,24,31
Grbić,1,10050,24,31
Bogle,1,10050,24,31
