Player,Count,Entries Number,Season,Gameweek
Salah,9402,10050,24,13
Haaland,9398,10050,24,13
Watkins,7250,10050,24,13
Areola,7164,10050,24,13
Saka,6241,10050,24,13
Tsimikas,5930,10050,24,13
Bowen,4871,10050,24,13
Trippier,4733,10050,24,13
Saliba,4672,10050,24,13
Son,4557,10050,24,13
Turner,4494,10050,24,13
Cash,4383,10050,24,13
Gordon,3791,10050,24,13
Diaby,3187,10050,24,13
J.Alvarez,3165,10050,24,13
Mbeumo,3001,10050,24,13
Archer,2930,10050,24,13
Gabriel,2429,10050,24,13
Palmer,2169,10050,24,13
Andersen,1940,10050,24,13
Pedro Porro,1919,10050,24,13
Lascelles,1595,10050,24,13
Mitchell,1487,10050,24,13
Taylor,1476,10050,24,13
Johnstone,1429,10050,24,13
Kaboré,1332,10050,24,13
Guéhi,1291,10050,24,13
Douglas Luiz,1283,10050,24,13
Hee Chan,1261,10050,24,13
Leno,1236,10050,24,13
Mubama,1232,10050,24,13
Mitoma,1139,10050,24,13
Zinchenko,1113,10050,24,13
Udogie,1059,10050,24,13
Onana,1038,10050,24,13
Dalot,1029,10050,24,13
Eze,959,10050,24,13
Darwin,941,10050,24,13
Baldock,905,10050,24,13
Lamptey,860,10050,24,13
B.Fernandes,858,10050,24,13
Ward-Prowse,847,10050,24,13
A.Becker,781,10050,24,13
Maguire,766,10050,24,13
Coufal,736,10050,24,13
Schär,723,10050,24,13
Martinelli,714,10050,24,13
Digne,672,10050,24,13
Solanke,664,10050,24,13
Kudus,660,10050,24,13
Walker,617,10050,24,13
Pau,607,10050,24,13
Ferguson,605,10050,24,13
Sanchez,592,10050,24,13
Branthwaite,586,10050,24,13
White,558,10050,24,13
Nketiah,552,10050,24,13
Edouard,524,10050,24,13
Gusto,501,10050,24,13
Morris,499,10050,24,13
João Pedro,437,10050,24,13
Adingra,400,10050,24,13
Semenyo,395,10050,24,13
Colwill,391,10050,24,13
Flekken,368,10050,24,13
Pope,364,10050,24,13
Anderson,355,10050,24,13
Romero,343,10050,24,13
Pickford,337,10050,24,13
Vicario,323,10050,24,13
Strakosha,321,10050,24,13
Burn,319,10050,24,13
Chukwuemeka,304,10050,24,13
Raya,304,10050,24,13
Mykolenko,286,10050,24,13
Doku,285,10050,24,13
Foden,273,10050,24,13
Bell,272,10050,24,13
Sarr,270,10050,24,13
Martinez,261,10050,24,13
Botman,260,10050,24,13
Tarkowski,251,10050,24,13
Alexander-Arnold,249,10050,24,13
Sterling,240,10050,24,13
Pinnock,231,10050,24,13
Ederson M.,227,10050,24,13
Nakamba,224,10050,24,13
Estupiñan,220,10050,24,13
Beyer,215,10050,24,13
Neto,210,10050,24,13
Wissa,197,10050,24,13
Akanji,192,10050,24,13
Van de Ven,174,10050,24,13
Virgil,174,10050,24,13
Souček,172,10050,24,13
Osula,166,10050,24,13
Jensen,159,10050,24,13
