Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Walker,21,26a,WHU,MCI,1,6.1,DEF,5.1%,1.1,70.0,1289.0,1.0,1.0,7.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,284.0,227.6,135.8,74.0,43.7,1.1,2.0,0.2,11.5,4.4,992426.0,1104509.0,1.0,-1.0,16,1.0,0.17,0.17,0.47,5.65,5.31,0.01,0.01,0.03,0.05,0.05,0.39,0.37,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
Foden,21,26a,WHU,MCI,1,6.1,MID,10.6%,4.4,94.0,1199.0,6.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,327.0,394.2,400.1,562.0,135.7,4.4,3.0,0.7,15.4,4.9,2344716.0,1870366.0,-4.0,4.0,19,6.0,4.08,4.08,3.84,9.38,3.45,0.3,0.3,0.29,0.59,0.59,0.7,0.26,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,1.0
Jesus,21,26a,WHU,MCI,1,9.2,FWD,3.9%,4.4,66.0,1197.0,4.0,4.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,236.0,247.2,244.5,465.0,95.7,4.4,0.0,0.5,7.2,3.9,871402.0,727375.0,-3.0,3.0,17,4.0,4.95,4.95,1.91,9.7,3.74,0.37,0.37,0.14,0.52,0.52,0.73,0.28,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,1.0
Zinchenko,21,26a,WHU,MCI,1,5.5,DEF,0.7%,4.1,52.0,820.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,218.0,142.8,102.8,68.0,31.5,4.1,1.0,0.7,9.5,4.7,57673.0,45282.0,0.0,0.0,11,0.0,0.35,0.35,0.18,4.84,4.44,0.04,0.04,0.02,0.06,0.06,0.53,0.49,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
Laporte,21,26a,WHU,MCI,1,6.0,DEF,2.2%,3.1,34.0,758.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,159.0,124.4,42.3,45.0,21.2,3.1,0.0,0.5,5.7,3.8,162030.0,369141.0,0.0,0.0,9,0.0,0.21,0.21,0.31,3.6,3.6,0.02,0.02,0.04,0.06,0.06,0.43,0.43,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Torres,21,26a,WHU,MCI,1,6.9,MID,0.8%,1.1,45.0,733.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,137.0,132.4,301.0,56.9,1.1,0.0,0.2,6.5,3.2,253950.0,288633.0,-1.0,1.0,14,2.0,2.67,2.67,1.53,6.25,2.36,0.32,0.32,0.19,0.51,0.51,0.76,0.29,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
Mendy,21,26a,WHU,MCI,1,5.9,DEF,1.3%,0.0,24.0,504.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,96.0,72.8,40.2,35.0,14.6,0.0,1.0,0.0,4.1,4.0,168400.0,235252.0,-1.0,1.0,6,1.0,0.15,0.15,0.06,1.33,1.18,0.03,0.03,0.01,0.04,0.04,0.24,0.21,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Aké,21,26a,WHU,MCI,1,5.4,DEF,2.5%,0.0,21.0,469.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,97.0,108.0,35.5,23.0,16.6,0.0,0.0,0.0,3.9,3.5,261923.0,621960.0,-1.0,1.0,6,1.0,0.4,0.4,0.02,2.75,2.74,0.08,0.08,0.0,0.08,0.08,0.53,0.53,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Garcia,21,26a,WHU,MCI,1,4.7,DEF,0.2%,0.0,3.0,200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,22.7,1.0,6.0,0.0,0.0,0.0,0.6,1.0,11420.0,25294.0,-3.0,3.0,3,0.0,0.01,0.01,0.01,0.43,0.41,0.01,0.01,0.0,0.01,0.01,0.19,0.19,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Agüero,21,26a,WHU,MCI,1,10.3,FWD,1.1%,0.0,6.0,140.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.2,36.9,65.0,10.4,0.0,0.0,0.0,0.6,1.2,296897.0,503884.0,-2.0,2.0,5,0.0,0.86,0.86,0.71,1.69,0.48,0.56,0.56,0.46,1.02,1.02,1.1,0.31,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,2.0
