Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Kabak,21,30,ARS,LIV,0,5.0,DEF,0.3%,3.0,15.0,450.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,92.0,80.8,4.1,11.0,9.6,3.0,0.0,0.6,3.0,3.0,46785.0,28638.0,0.0,0.0,5,0.0,0.09,0.09,0.0,0.71,0.71,0.02,0.02,0.0,0.02,0.02,0.14,0.14,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,6.0
van Dijk,21,30,ARS,LIV,0,6.2,DEF,6.3%,0.0,15.0,370.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,82.4,4.8,66.0,15.3,0.0,0.0,0.0,2.4,3.0,384295.0,1992583.0,-3.0,3.0,5,1.0,0.55,0.55,0.0,1.41,1.29,0.13,0.13,0.0,0.13,0.13,0.34,0.31,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,0.0
Kelleher,21,30,ARS,LIV,0,4.5,GKP,0.1%,0.0,10.0,180.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,41.0,57.8,0.0,0.0,5.8,0.0,1.0,0.0,2.2,5.0,32286.0,30713.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.22,0.22,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,0.0
Origi,21,30,ARS,LIV,0,5.1,FWD,0.6%,0.2,10.0,180.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.8,33.2,60.0,11.1,0.2,0.0,0.0,2.0,1.1,38201.0,95198.0,-4.0,4.0,9,0.0,1.08,1.08,0.14,1.5,0.78,0.55,0.55,0.07,0.62,0.62,0.77,0.4,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,0.0
Tsimikas,21,30,ARS,LIV,0,4.9,DEF,0.0%,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.0,2224.0,4984.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,0.0
Thiago,21,30,ARS,LIV,0,5.5,MID,0.9%,1.8,27.0,1125.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,190.0,198.4,270.4,93.0,56.3,1.8,0.0,0.3,4.9,1.8,395525.0,407171.0,-5.0,5.0,15,0.0,0.44,0.44,1.44,6.66,5.96,0.03,0.03,0.11,0.15,0.15,0.53,0.47,7,29,13,7,9.0,48.0,36,46,50.96,46.39,37.23,31.14,15.25,9.39,19.36,341.0,94.0,48.96,9,1.3793103448275863,1.103448275862069,1.4482758620689655,1.3944827586206896,1.236896551724138,1.1844827586206896,1.1317241379310345,0.10517241379310344,0.4593103448275862,0.5517241379310345,7.827586206896552,5.310344827586207,1.5082758620689656,3.0
Douglas Luiz,21,30,FUL,AVL,1,4.8,MID,0.2%,1.3,57.0,2100.0,0.0,2.0,11.0,28.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,270.0,320.8,234.7,129.0,68.7,1.3,0.0,0.3,11.9,2.4,30104.0,45327.0,-2.0,2.0,24,0.0,1.03,1.03,2.17,8.51,6.28,0.04,0.04,0.09,0.14,0.14,0.36,0.27,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,1.0
Trézéguet,21,30,FUL,AVL,1,5.2,MID,0.5%,1.7,40.0,1048.0,0.0,1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,144.8,174.0,412.0,72.6,1.7,0.0,0.3,7.7,2.1,61227.0,133057.0,-3.0,3.0,19,0.0,3.29,3.29,2.15,5.63,1.16,0.28,0.28,0.18,0.46,0.46,0.48,0.1,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,14.0
Watkins,21,30,FUL,AVL,1,6.6,FWD,27.7%,3.0,120.0,2520.0,10.0,6.0,14.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,369.0,573.2,446.7,1287.0,230.2,3.0,3.0,0.5,18.2,4.3,3928943.0,1889156.0,6.0,-6.0,28,9.0,13.01,11.49,3.95,16.76,4.47,0.46,0.41,0.14,0.61,0.55,0.6,0.16,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,7.0
Targett,21,30,FUL,AVL,1,5.1,DEF,15.1%,3.0,116.0,2504.0,0.0,3.0,15.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,551.0,475.4,384.4,94.0,95.5,3.0,2.0,0.6,22.7,4.1,1676380.0,575712.0,6.0,-6.0,28,0.0,0.25,0.25,1.85,7.43,6.31,0.01,0.01,0.07,0.08,0.08,0.27,0.23,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,2.0
