Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,EVE,6,4,1,1.0,14.0,9,13,11.69,10.93,5.98,5.98,4.95,10.98,13.74,32.0,45.0,11.19
2,LIV,6,4,1,1.0,15.0,14,13,14.70,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
3,AVL,5,4,0,1.0,12.0,5,12,8.29,8.29,6.09,5.33,2.96,10.15,6.97,48.0,49.0,8.23
4,LEI,6,4,0,2.0,13.0,8,12,8.67,4.87,6.97,6.97,-2.1,12.69,13.58,28.0,32.0,9.06
5,TOT,6,3,2,1.0,16.0,8,11,12.17,11.40,7.81,5.53,5.88,9.9,16.88,33.0,27.0,10.66
6,LEE,6,3,1,2.0,12.0,9,10,9.22,8.45,9.78,7.49,0.96,6.82,11.1,48.0,53.0,8.46
7,SOU,6,3,1,2.0,10.0,9,10,7.36,6.60,6.46,6.46,0.14,9.56,11.99,41.0,31.0,9.02
8,CRY,6,3,1,2.0,8.0,9,10,7.43,5.91,9.29,7.01,-1.1,16.44,5.18,21.0,46.0,7.37
9,WOL,6,3,1,2.0,6.0,8,10,5.00,5.00,8.39,7.63,-2.63,14.36,13.13,19.0,44.0,6.35
10,CHE,6,2,3,1.0,13.0,9,9,9.26,6.21,6.78,6.78,-0.57,11.34,17.34,36.0,32.0,9.55
11,ARS,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
12,WHU,6,2,2,2.0,12.0,8,8,9.78,9.78,6.50,6.5,3.28,17.84,11.63,22.0,46.0,9.84
13,MCI,5,2,2,1.0,8.0,8,8,7.26,6.50,7.26,4.98,1.52,9.59,19.21,44.0,16.0,7.30
14,NEW,6,2,2,2.0,8.0,10,8,6.20,4.68,9.34,7.82,-3.14,19.68,8.46,28.0,41.0,6.35
15,MUN,5,2,1,2.0,9.0,12,7,6.41,4.13,9.28,7.0,-2.87,11.29,10.06,36.0,26.0,5.47
16,BHA,6,1,2,3.0,10.0,12,5,9.10,7.58,6.76,4.48,3.1,8.66,11.85,34.0,30.0,9.96
17,WBA,6,0,3,3.0,6.0,14,3,2.77,2.77,12.06,10.54,-7.77,20.91,8.38,23.0,33.0,2.92
18,BUR,5,0,1,4.0,3.0,9,1,4.35,4.35,5.18,4.42,-0.07,12.08,11.4,31.0,33.0,6.05
19,SHU,6,0,1,5.0,3.0,9,1,6.54,4.25,8.31,7.55,-3.29,14.5,11.69,35.0,34.0,6.62
20,FUL,6,0,1,5.0,5.0,14,1,5.59,4.07,11.02,9.49,-5.42,12.25,13.23,24.0,38.0,4.65
