Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,37,26,5,6.0,78.0,32,83,74.83,67.98,29.54,22.52,45.46,10.12,20.43,396.0,147.0,80.86
2,MUN,37,20,11,6.0,71.0,43,71,61.12,53.51,41.22,38.17,15.34,10.71,12.61,333.0,181.0,63.21
3,CHE,37,19,10,8.0,57.0,34,67,65.22,57.61,29.92,27.64,29.97,9.26,16.46,318.0,174.0,74.66
4,LIV,37,19,9,9.0,66.0,42,66,70.00,65.44,46.53,40.44,24.99,9.22,18.62,441.0,143.0,66.37
5,LEI,37,20,6,11.0,66.0,46,66,56.97,49.36,45.21,42.17,7.19,9.97,13.51,235.0,203.0,58.41
6,WHU,37,18,8,11.0,59.0,47,62,58.35,55.15,48.51,44.7,10.44,16.42,11.21,170.0,276.0,57.36
7,TOT,37,17,8,12.0,64.0,43,59,54.82,51.02,50.73,44.64,6.38,11.22,11.54,187.0,291.0,52.66
8,EVE,37,17,8,12.0,47.0,43,59,48.16,45.12,47.28,44.24,0.88,14.04,11.86,204.0,261.0,50.39
9,ARS,37,17,7,13.0,53.0,39,58,51.47,46.91,43.04,40.75,6.15,13.55,16.21,279.0,199.0,56.86
10,LEE,37,17,5,15.0,59.0,53,56,56.77,54.49,62.00,54.99,-0.5,7.25,12.24,296.0,275.0,49.39
11,AVL,37,15,7,15.0,53.0,45,52,55.74,51.93,49.82,45.25,6.68,10.69,9.34,269.0,293.0,53.89
12,WOL,37,12,9,16.0,35.0,50,45,37.92,34.87,50.14,44.81,-9.94,14.39,11.28,134.0,264.0,43.86
13,CRY,37,12,8,17.0,41.0,64,44,34.51,31.47,59.70,56.66,-25.19,16.12,7.66,200.0,255.0,37.55
14,SOU,37,12,7,18.0,47.0,65,43,43.93,39.37,56.57,49.71,-10.35,9.81,10.33,212.0,273.0,43.23
15,NEW,37,11,9,17.0,44.0,62,42,42.36,37.62,59.03,55.23,-17.61,17.72,8.25,135.0,317.0,40.73
16,BHA,37,9,14,14.0,40.0,44,41,53.63,46.77,39.13,33.81,12.97,10.15,13.54,307.0,195.0,60.71
17,BUR,37,10,9,18.0,33.0,54,39,37.57,35.29,58.64,56.35,-21.07,13.24,9.76,223.0,328.0,36.68
18,FUL,37,5,13,19.0,27.0,51,28,40.07,35.50,56.03,51.47,-15.97,12.25,10.12,219.0,224.0,41.61
19,WBA,37,5,11,21.0,34.0,73,26,33.95,30.90,71.55,63.94,-33.03,16.04,8.12,156.0,334.0,29.17
20,SHU,37,6,2,29.0,19.0,63,20,32.74,29.69,65.55,62.5,-32.81,14.27,11.55,194.0,275.0,28.81
