Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,TOT,12,7,4,1.0,24.0,10,25,18.80,17.27,14.01,11.73,5.54,11.74,13.11,51.0,74.0,18.93
2,LIV,12,7,4,1.0,27.0,18,25,24.92,21.12,16.41,12.61,8.51,10.21,19.35,130.0,44.0,22.54
3,LEI,12,8,0,4.0,24.0,15,24,20.10,14.01,16.19,15.43,-1.42,13.11,13.05,67.0,69.0,19.59
4,SOU,12,7,2,3.0,24.0,17,23,14.55,13.03,15.39,13.86,-0.83,8.61,11.88,69.0,60.0,16.34
5,CHE,12,6,4,2.0,25.0,12,22,22.06,19.01,10.78,10.02,9.0,9.97,18.98,89.0,54.0,22.93
6,WHU,12,6,2,4.0,20.0,15,20,18.47,18.47,16.35,13.3,5.17,17.88,11.83,52.0,92.0,17.15
7,EVE,12,6,2,4.0,21.0,18,20,20.33,18.81,16.93,15.41,3.4,11.68,12.77,76.0,90.0,18.12
8,MUN,11,6,2,3.0,19.0,17,20,15.69,12.64,15.41,12.36,0.28,11.98,11.69,93.0,60.0,15.51
9,MCI,11,5,4,2.0,17.0,11,19,19.21,16.93,11.20,8.15,8.78,9.97,20.5,104.0,38.0,21.00
10,AVL,10,6,0,4.0,21.0,13,18,18.15,15.86,11.69,10.93,4.93,10.33,8.44,88.0,69.0,18.22
11,CRY,12,5,2,5.0,18.0,17,17,14.88,13.36,16.50,14.21,-0.85,15.8,7.39,76.0,82.0,15.67
12,NEW,11,5,2,4.0,14.0,16,17,11.56,9.27,14.47,12.95,-3.67,19.05,8.63,45.0,77.0,13.31
13,WOL,12,5,2,5.0,11.0,16,17,12.00,12.00,16.31,13.26,-1.26,14.81,12.26,51.0,85.0,13.82
14,LEE,12,4,2,6.0,17.0,22,14,19.48,17.96,22.84,19.79,-1.83,6.52,13.94,99.0,92.0,15.98
15,ARS,12,4,1,7.0,10.0,15,13,13.58,12.82,14.79,14.79,-1.97,13.39,16.09,93.0,74.0,15.98
16,BHA,12,2,4,6.0,15.0,21,10,17.65,13.84,14.10,10.3,3.55,9.72,11.32,78.0,58.0,19.08
17,BUR,11,2,3,6.0,6.0,18,9,8.80,8.80,15.68,14.92,-6.12,14.51,10.39,54.0,102.0,9.98
18,FUL,12,2,2,8.0,12.0,22,8,14.99,11.18,21.54,18.5,-7.32,15.56,10.37,54.0,89.0,13.10
19,WBA,12,1,3,8.0,9.0,25,6,7.35,7.35,23.94,21.66,-14.31,14.85,9.9,51.0,91.0,6.13
20,SHU,12,0,1,11.0,5.0,21,1,12.54,10.25,20.58,19.82,-9.57,15.83,10.87,65.0,85.0,10.56
