Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,LIV,13,8,4,1.0,29.0,19,28,26.14,22.33,17.93,14.12,8.21,10.04,19.24,148.0,44.0,23.63
2,TOT,13,7,4,2.0,25.0,12,25,20.31,18.79,15.23,12.95,5.84,12.21,12.74,51.0,92.0,20.58
3,SOU,13,7,3,3.0,25.0,18,24,15.67,14.15,16.05,14.52,-0.38,8.66,12.21,80.0,66.0,18.10
4,LEI,13,8,0,5.0,24.0,17,24,20.94,14.85,17.70,16.94,-2.09,12.42,13.7,73.0,72.0,20.27
5,EVE,13,7,2,4.0,23.0,18,23,21.85,20.32,17.77,16.25,4.08,12.34,12.27,79.0,96.0,20.14
6,MUN,12,7,2,3.0,22.0,19,23,17.47,14.43,16.64,13.6,0.83,11.9,11.61,99.0,70.0,17.33
7,CHE,13,6,4,3.0,26.0,14,22,23.63,20.58,11.46,10.7,9.88,9.76,19.02,95.0,58.0,25.04
8,WHU,13,6,3,4.0,21.0,16,21,18.92,18.92,17.44,14.39,4.53,17.5,11.71,55.0,96.0,17.85
9,MCI,12,5,5,2.0,18.0,12,20,21.80,19.52,11.41,8.36,11.15,9.81,21.13,120.0,38.0,23.82
10,WOL,13,6,2,5.0,13.0,17,20,12.68,12.68,17.87,14.83,-2.15,15.06,11.8,55.0,91.0,14.46
11,AVL,11,6,1,4.0,21.0,13,19,19.96,17.68,12.01,11.25,6.43,9.89,8.1,97.0,70.0,20.70
12,CRY,13,5,3,5.0,19.0,18,18,15.97,14.45,16.95,14.66,-0.21,15.3,7.62,80.0,85.0,17.65
13,LEE,13,5,2,6.0,22.0,24,17,22.43,20.91,24.28,21.24,-0.33,6.36,14.04,115.0,95.0,18.34
14,NEW,12,5,2,5.0,16.0,21,17,13.00,10.72,17.42,15.9,-5.18,18.79,8.25,48.0,93.0,13.78
15,ARS,13,4,2,7.0,11.0,16,14,14.24,13.48,15.91,15.91,-2.43,13.69,15.53,99.0,85.0,16.88
16,BHA,13,2,5,6.0,15.0,21,11,18.11,14.31,15.11,11.3,3.01,9.53,11.32,82.0,63.0,19.82
17,BUR,12,2,4,6.0,6.0,18,10,9.12,9.12,17.49,16.73,-7.61,13.51,9.92,55.0,111.0,10.32
18,FUL,13,2,3,8.0,12.0,22,9,15.99,12.18,22.00,18.96,-6.77,15.2,10.12,59.0,93.0,15.02
19,WBA,13,1,4,8.0,10.0,26,7,7.56,7.56,26.53,24.24,-16.69,15.57,9.75,51.0,107.0,6.24
20,SHU,13,0,1,12.0,7.0,24,1,13.77,11.49,22.37,21.61,-10.12,15.32,10.84,75.0,91.0,11.48
