Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Dunk,21,11,SOU,BHA,1.0,DEF,4.8,2.70%,1.2,10.0,630.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,98.0,95.0,17.6,38.0,15.1,1.2,0.0,0.3,2.1,1.4,64667.0,447184.0,-2.0,2.0,7,0.0,0.64,0.64,0.01,1.88,1.88,0.09,0.09,0.0,0.09,0.09,0.27,0.27,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Lallana,21,11,SOU,BHA,1.0,MID,6.2,0.40%,2.5,20.0,523.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,60.8,142.0,101.0,30.1,2.5,0.0,0.4,3.2,2.0,11573.0,72842.0,-3.0,3.0,10,0.0,0.37,0.37,1.33,2.94,1.35,0.06,0.06,0.23,0.29,0.29,0.5,0.23,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Veltman,21,11,SOU,BHA,1.0,DEF,4.3,0.40%,3.0,14.0,442.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,87.0,106.0,57.8,4.0,17.0,3.0,1.0,0.7,3.3,2.3,28205.0,25693.0,-2.0,2.0,6,0.0,0.0,0.0,0.14,1.24,1.1,0.0,0.0,0.03,0.03,0.03,0.25,0.23,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,1.0
Groß,21,11,SOU,BHA,1.0,MID,5.8,0.10%,6.0,29.0,432.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,116.0,142.4,196.2,85.0,42.4,6.0,0.0,1.0,5.0,3.2,6622.0,10317.0,-2.0,2.0,9,0.0,1.0,0.24,1.11,2.0,1.1,0.21,0.05,0.24,0.45,0.29,0.43,0.23,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,8.0
Burn,21,11,SOU,BHA,1.0,DEF,4.3,0.40%,1.8,12.0,393.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,42.8,26.6,29.0,9.9,1.8,0.0,0.4,2.8,2.0,8102.0,35047.0,-2.0,2.0,6,0.0,0.13,0.13,0.08,0.64,0.55,0.03,0.03,0.02,0.05,0.05,0.15,0.13,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Alzate,21,11,SOU,BHA,1.0,MID,4.4,0.70%,0.0,9.0,350.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,48.0,89.8,23.0,16.1,0.0,0.0,0.0,2.0,1.8,113697.0,95042.0,-1.0,1.0,5,0.0,0.16,0.16,0.8,2.16,1.76,0.04,0.04,0.2,0.24,0.24,0.54,0.44,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Connolly,21,11,SOU,BHA,1.0,FWD,5.3,0.40%,0.8,20.0,350.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,56.4,46.3,98.0,19.9,0.8,0.0,0.2,3.8,2.9,64394.0,79462.0,-2.0,2.0,7,1.0,0.98,0.98,0.13,1.11,0.03,0.24,0.24,0.03,0.28,0.28,0.28,0.01,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,2.0
Welbeck,21,11,SOU,BHA,1.0,FWD,5.5,0.30%,4.2,17.0,281.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,63.0,65.2,60.3,129.0,25.5,4.2,1.0,0.8,3.1,4.2,25156.0,5186.0,0.0,0.0,4,1.0,1.02,1.02,0.88,2.03,0.14,0.33,0.33,0.28,0.61,0.61,0.66,0.04,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,5.0
Sánchez,21,11,SOU,BHA,1.0,GKP,4.4,0.00%,0.2,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,19.0,0.0,0.0,1.9,0.2,0.0,0.0,0.2,1.0,2122.0,1033.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,
Jahanbakhsh,21,11,SOU,BHA,1.0,MID,5.4,0.00%,0.5,7.0,54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,36.8,43.5,63.0,14.3,0.5,0.0,0.1,1.3,1.4,1252.0,3623.0,-1.0,1.0,5,0.0,0.23,0.23,0.82,1.17,0.7,0.46,0.46,1.68,2.15,2.15,2.4,1.43,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,1.0
