Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,ARS,26,20,3,3.0,59.0,25,63,53.44,51.92,26.91,24.63,27.29,9.36,14.57,321.0,119.0,52.93
2,MCI,26,18,4,4.0,66.0,25,58,58.92,55.11,23.93,21.64,33.47,10.62,23.64,321.0,107.0,57.40
3,MUN,25,15,4,6.0,41.0,35,49,43.51,41.99,31.81,31.04,10.95,12.46,13.61,226.0,180.0,43.20
4,TOT,26,14,3,9.0,46.0,36,45,39.23,36.94,31.18,30.41,6.53,13.17,13.38,177.0,184.0,41.45
5,LIV,25,12,6,7.0,47.0,28,42,53.00,53.00,39.39,37.11,15.89,10.13,18.92,268.0,146.0,41.96
6,NEW,24,10,11,3.0,35.0,17,41,42.23,39.95,26.90,25.38,14.57,10.3,10.88,226.0,140.0,41.70
7,FUL,26,11,6,9.0,38.0,34,39,34.84,29.51,48.79,45.74,-16.24,13.67,10.18,126.0,187.0,28.80
8,BHA,23,11,5,7.0,43.0,29,38,45.33,42.29,27.12,22.47,19.82,9.88,16.84,218.0,120.0,43.68
9,BRE,24,9,11,4.0,40.0,32,38,38.38,33.81,32.21,31.45,2.36,11.18,9.47,156.0,209.0,38.43
10,CHE,25,9,7,9.0,24.0,25,34,33.03,31.51,31.61,31.61,-0.11,8.32,13.78,180.0,121.0,35.40
11,AVL,25,10,4,11.0,31.0,38,34,29.17,26.88,40.04,36.85,-9.97,12.32,10.74,156.0,160.0,31.38
12,CRY,25,6,9,10.0,21.0,32,27,24.41,22.75,38.06,37.3,-14.55,14.08,8.6,100.0,241.0,24.81
13,WOL,26,7,6,13.0,19.0,35,27,24.65,23.13,38.18,35.89,-12.77,13.25,11.43,141.0,200.0,26.18
14,NFO,25,6,8,11.0,20.0,44,26,24.84,23.32,43.86,39.29,-15.97,17.0,9.03,100.0,248.0,22.68
15,LEI,25,7,3,15.0,36.0,43,24,28.03,26.51,38.83,36.54,-10.04,12.15,15.0,146.0,182.0,26.99
16,WHU,25,6,5,14.0,23.0,33,23,32.28,27.71,30.69,27.65,0.06,16.4,12.8,114.0,156.0,35.25
17,LEE,25,5,7,13.0,29.0,40,22,31.92,30.40,39.77,38.25,-7.85,8.87,9.63,157.0,158.0,30.79
18,EVE,26,5,7,14.0,19.0,38,22,29.05,27.53,44.47,42.19,-14.66,14.3,10.17,138.0,204.0,26.10
19,SOU,25,6,3,16.0,20.0,41,21,25.25,23.64,36.21,35.45,-11.81,12.04,8.43,134.0,198.0,26.35
20,BOU,25,5,6,14.0,24.0,51,21,23.85,23.85,45.38,40.82,-16.97,18.06,8.37,118.0,263.0,20.66
