Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,ARS,27,21,3,3.0,62.0,25,66,56.09,54.56,27.53,25.25,29.31,9.43,14.66,341.0,124.0,55.62
2,MCI,27,19,4,4.0,67.0,25,61,61.11,56.54,24.11,21.83,34.71,10.33,23.38,329.0,107.0,60.21
3,MUN,26,15,5,6.0,41.0,35,50,44.42,42.90,32.99,32.23,10.68,12.28,13.37,234.0,184.0,44.33
4,TOT,27,15,3,9.0,49.0,37,48,40.96,37.92,32.80,31.28,6.63,12.96,13.47,187.0,190.0,42.85
5,NEW,25,11,11,3.0,37.0,18,44,44.69,42.40,27.61,26.09,16.31,10.32,10.93,238.0,143.0,44.22
6,LIV,26,12,6,8.0,47.0,29,42,55.14,54.38,40.49,38.21,16.17,9.88,19.16,280.0,147.0,44.14
7,BHA,25,12,6,7.0,46.0,31,42,47.43,44.39,28.94,24.28,20.11,9.72,16.11,233.0,136.0,46.61
8,BRE,26,10,11,5.0,42.0,33,41,42.00,37.43,34.29,33.53,3.9,11.03,9.37,167.0,215.0,42.61
9,FUL,27,11,6,10.0,38.0,37,39,35.46,30.13,51.43,48.39,-18.26,13.79,10.22,131.0,207.0,29.01
10,CHE,26,10,7,9.0,27.0,26,37,34.52,33.00,33.97,33.97,-0.97,8.49,13.62,186.0,127.0,36.15
11,AVL,26,10,5,11.0,32.0,39,35,31.16,28.88,42.19,38.24,-9.36,12.52,10.81,166.0,163.0,32.66
12,CRY,27,6,9,12.0,21.0,34,27,25.81,24.15,40.84,39.32,-15.17,13.98,8.46,107.0,254.0,26.84
13,WOL,27,7,6,14.0,20.0,37,27,25.36,23.84,40.63,38.35,-14.51,13.25,11.4,144.0,212.0,26.51
14,NFO,26,6,8,12.0,21.0,47,26,26.47,24.19,45.59,40.26,-16.08,16.97,9.02,106.0,258.0,23.98
15,EVE,27,6,7,14.0,20.0,38,25,30.76,29.24,46.42,44.14,-14.9,14.16,10.04,138.0,211.0,27.28
16,LEI,26,7,3,16.0,37.0,46,24,30.39,28.87,40.32,38.04,-9.17,12.07,14.92,152.0,188.0,29.03
17,WHU,26,6,6,14.0,24.0,34,24,34.42,29.09,32.69,29.64,-0.55,16.18,13.04,117.0,166.0,36.72
18,BOU,26,6,6,14.0,25.0,51,24,24.95,24.95,47.52,42.19,-17.24,18.35,8.21,119.0,275.0,21.26
19,LEE,26,5,8,13.0,31.0,42,23,32.52,31.00,41.29,39.76,-8.77,8.98,9.55,166.0,168.0,31.41
20,SOU,27,6,4,17.0,20.0,43,22,26.79,25.18,38.79,38.03,-12.85,11.65,8.6,144.0,210.0,28.14
