Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Jota,LIV,MID,6.3,1.9%,4.5,18.0,194.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,80.4,36.0,124.0,24.0,4.5,0.0,0.7,2.9,4.5,124067.0,234847.0,-2.0,2.0,4,2.0,1.0,1.0,0.22,2.05,0.83,0.46,0.46,0.1,0.57,0.57,0.95,0.39,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Matip,LIV,DEF,5.4,0.3%,0.2,2.0,91.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.6,0.8,17.0,3.0,0.2,0.0,0.0,0.4,1.0,11592.0,28581.0,-1.0,1.0,2,0.0,0.09,0.09,0.0,0.93,0.93,0.09,0.09,0.0,0.09,0.09,0.92,0.92,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Milner,LIV,MID,5.3,0.1%,0.8,4.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,22.3,6.0,4.5,0.8,0.0,0.2,0.8,1.0,2125.0,9512.0,-2.0,2.0,4,0.0,0.0,0.0,0.02,0.57,0.57,0.0,0.0,0.03,0.03,0.03,0.89,0.89,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Minamino,LIV,MID,6.1,0.2%,0.8,4.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2,1.6,30.0,3.8,0.8,0.0,0.1,0.7,1.0,2840.0,27858.0,-4.0,4.0,4,0.0,0.07,0.07,0.0,0.09,0.02,0.13,0.13,0.0,0.13,0.13,0.17,0.04,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Jones,LIV,MID,4.4,0.5%,0.2,2.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.2,14.6,2.0,2.5,0.2,0.0,0.0,0.5,1.0,25461.0,30119.0,-1.0,1.0,2,0.0,0.0,0.0,0.03,0.25,0.22,0.0,0.0,0.06,0.06,0.06,0.47,0.42,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Thiago,LIV,MID,6.0,1.8%,0.5,3.0,135.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.2,44.6,12.0,7.7,0.5,0.0,0.1,0.5,1.5,295483.0,240765.0,0.0,0.0,2,0.0,0.08,0.08,0.2,1.0,0.89,0.05,0.05,0.13,0.19,0.19,0.67,0.6,2,6,4,1,1.0,15.0,14,13,14.7,13.18,8.19,6.66,6.51,9.33,19.39,81.0,23.0,12.68
Gabriel,ARS,DEF,5.1,11.8%,1.5,23.0,450.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,133.8,6.0,81.0,22.1,1.5,1.0,0.3,4.5,4.6,818114.0,429525.0,1.0,-1.0,5,1.0,0.77,0.77,0.0,1.34,1.34,0.15,0.15,0.0,0.15,0.15,0.27,0.27,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Willian,ARS,MID,7.8,6.0%,1.5,22.0,362.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,56.8,110.4,42.0,21.0,1.5,1.0,0.2,2.8,4.4,723595.0,1053367.0,-2.0,2.0,5,0.0,0.78,0.78,1.09,2.21,1.08,0.19,0.19,0.26,0.45,0.45,0.54,0.26,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
David Luiz,ARS,DEF,5.5,1.1%,1.5,7.0,319.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,66.6,9.8,21.0,9.7,1.5,0.0,0.3,1.3,1.4,29408.0,52743.0,0.0,0.0,5,0.0,0.08,0.08,0.0,0.74,0.74,0.02,0.02,0.0,0.02,0.02,0.21,0.21,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Leno,ARS,GKP,5.0,9.3%,2.5,19.0,540.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,111.0,122.6,0.0,0.0,12.3,2.5,0.0,0.5,3.8,3.2,329950.0,283868.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0,0.15,0.15,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
