Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Emiliano Buendía,AVL,10,635,1.0,1.0,1.0,0.68,0.68,1.26,2.2,0.52,0.10,0.10,0.18,0.28,0.28,0.31,0.07
Mateo Kovacic,CHE,9,706,1.0,1.0,5.0,1.31,1.31,1.89,6.77,5.26,0.17,0.17,0.24,0.41,0.41,0.86,0.67
Thomas Partey,ARS,8,633,1.0,1.0,0.0,1.36,1.36,0.19,1.51,1.31,0.19,0.19,0.03,0.22,0.22,0.22,0.19
Aymeric Laporte,MCI,9,741,1.0,1.0,0.0,1.07,1.07,0.06,6.97,6.88,0.13,0.13,0.01,0.14,0.14,0.85,0.84
Martin Odegaard,ARS,10,564,1.0,1.0,0.0,0.22,0.22,0.39,2.07,1.72,0.04,0.04,0.06,0.10,0.10,0.33,0.27
Alexandre Lacazette,ARS,7,339,1.0,1.0,0.0,0.41,0.41,0.31,1.04,0.59,0.11,0.11,0.08,0.19,0.19,0.28,0.16
Thiago Silva,CHE,9,730,1.0,1.0,0.0,0.27,0.27,0.18,7.67,7.64,0.03,0.03,0.02,0.06,0.06,0.95,0.94
Edinson Cavani,MUN,5,204,1.0,1.0,0.0,1.53,1.53,0.02,1.19,0.32,0.68,0.68,0.01,0.68,0.68,0.53,0.14
Fabinho,LIV,8,655,1.0,1.0,1.0,0.73,0.73,0.45,3.82,3.63,0.10,0.10,0.06,0.16,0.16,0.53,0.50
Romain Saiss,WOL,12,1038,1.0,1.0,0.0,2.08,2.08,0.21,3.18,3.05,0.18,0.18,0.02,0.20,0.20,0.28,0.26
Mateusz Klich,LEE,8,628,1.0,1.0,1.0,1.30,1.30,0.47,2.47,0.86,0.19,0.19,0.07,0.25,0.25,0.35,0.12
Leon Bailey,AVL,7,305,1.0,1.0,2.0,0.86,0.86,0.14,1.09,0.29,0.25,0.25,0.04,0.30,0.30,0.32,0.09
Caglar Söyüncü,LEI,12,1060,1.0,1.0,0.0,0.83,0.83,0.00,2.13,2.13,0.07,0.07,0.00,0.07,0.07,0.18,0.18
Declan Rice,WHU,12,1080,1.0,1.0,3.0,0.32,0.32,0.93,6.1,5.41,0.03,0.03,0.08,0.10,0.10,0.51,0.45
Daniel James,LEE,11,792,1.0,1.0,1.0,2.68,2.68,0.80,3.25,0.50,0.30,0.30,0.09,0.40,0.40,0.37,0.06
Anwar El Ghazi,AVL,7,349,1.0,0.0,0.0,0.95,0.19,0.19,0.44,0.17,0.25,0.05,0.05,0.29,0.10,0.11,0.04
Gabriel,ARS,9,810,1.0,1.0,0.0,0.41,0.41,0.06,1.14,1.14,0.05,0.05,0.01,0.05,0.05,0.13,0.13
