Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,16,1440,14.0,12.0,9.0,11.86,10.34,5.71,19.84,7.53,0.74,0.65,0.36,1.10,1.00,1.24,0.47
Jamie Vardy,LEI,15,1235,9.0,9.0,1.0,5.91,5.91,0.86,7.21,1.26,0.43,0.43,0.06,0.49,0.49,0.53,0.09
Diogo Jota,LIV,15,1060,8.0,8.0,1.0,9.52,9.52,3.28,16.29,4.52,0.81,0.81,0.28,1.09,1.09,1.38,0.38
Sadio Mané,LIV,16,1358,7.0,7.0,1.0,8.55,8.55,2.47,15.48,6.54,0.57,0.57,0.16,0.73,0.73,1.03,0.43
Cristiano Ronaldo,MUN,13,1030,7.0,5.0,2.0,8.37,6.84,1.46,9.41,2.02,0.73,0.60,0.13,0.86,0.73,0.82,0.18
Bernardo Silva,MCI,15,1305,7.0,7.0,1.0,4.67,4.67,3.26,13.45,6.50,0.32,0.32,0.22,0.55,0.55,0.93,0.45
Raphinha,LEE,14,1182,7.0,5.0,1.0,3.93,2.41,2.73,5.72,2.64,0.30,0.18,0.21,0.51,0.39,0.44,0.20
Emmanuel Dennis,WAT,15,1184,7.0,7.0,5.0,3.05,3.05,2.55,6.18,1.48,0.23,0.23,0.19,0.43,0.43,0.47,0.11
Son Heung-Min,TOT,13,1151,6.0,6.0,2.0,4.50,4.50,1.37,6.79,2.17,0.35,0.35,0.11,0.46,0.46,0.53,0.17
Callum Wilson,NEW,12,1052,6.0,5.0,0.0,5.08,4.32,0.44,3.63,0.44,0.43,0.37,0.04,0.47,0.41,0.31,0.04
Michail Antonio,WHU,15,1350,6.0,6.0,4.0,6.79,6.03,4.11,11.29,3.76,0.45,0.40,0.27,0.73,0.68,0.75,0.25
Neal Maupay,BHA,14,1018,6.0,5.0,0.0,5.53,4.77,0.83,5.95,1.02,0.49,0.42,0.07,0.56,0.49,0.53,0.09
Mason Mount,CHE,13,795,6.0,5.0,4.0,3.30,2.53,3.41,6.95,2.46,0.37,0.29,0.39,0.76,0.67,0.79,0.28
Conor Gallagher,CRY,15,1324,6.0,6.0,3.0,5.41,5.41,3.58,10.09,3.15,0.37,0.37,0.24,0.61,0.61,0.69,0.21
Joshua King,WAT,14,1088,5.0,4.0,2.0,6.07,5.31,2.03,6.85,0.77,0.50,0.44,0.17,0.67,0.61,0.57,0.06
Demarai Gray,EVE,16,1264,5.0,5.0,2.0,2.59,2.59,2.00,5.88,1.83,0.18,0.18,0.14,0.33,0.33,0.42,0.13
Bruno Fernandes,MUN,16,1397,5.0,5.0,3.0,2.99,2.22,4.18,9.93,5.02,0.19,0.14,0.27,0.46,0.41,0.64,0.32
Maxwel Cornet,BUR,9,581,5.0,5.0,0.0,1.37,1.37,0.59,3.09,1.62,0.21,0.21,0.09,0.30,0.30,0.48,0.25
Ismaila Sarr,WAT,12,1039,5.0,5.0,0.0,3.51,2.75,1.14,4.37,1.19,0.30,0.24,0.10,0.40,0.34,0.38,0.10
Youri Tielemans,LEI,12,1069,5.0,4.0,2.0,2.71,1.95,2.70,6.41,2.63,0.23,0.16,0.23,0.46,0.39,0.54,0.22
Emile Smith-Rowe,ARS,14,1153,5.0,5.0,2.0,2.24,2.24,2.18,5.4,2.40,0.18,0.18,0.17,0.35,0.35,0.42,0.19
Teemu Pukki,NOR,16,1389,5.0,3.0,0.0,5.11,3.59,0.91,4.46,0.20,0.33,0.23,0.06,0.39,0.29,0.29,0.01
Pierre-Emerick Aubameyang,ARS,14,1047,4.0,4.0,1.0,6.89,5.37,0.80,5.44,0.96,0.59,0.46,0.07,0.66,0.53,0.47,0.08
Roberto Firmino,LIV,8,369,4.0,4.0,1.0,3.56,3.56,0.73,6.88,2.71,0.87,0.87,0.18,1.05,1.05,1.68,0.66
Wilfried Zaha,CRY,15,1266,4.0,2.0,1.0,3.66,2.13,2.52,6.67,2.53,0.26,0.15,0.18,0.44,0.33,0.47,0.18
Christian Benteke,CRY,16,954,4.0,4.0,1.0,4.42,4.42,1.65,6.07,1.08,0.42,0.42,0.16,0.57,0.57,0.57,0.10
Raheem Sterling,MCI,14,810,4.0,3.0,1.0,4.91,4.15,2.74,9.92,3.36,0.55,0.46,0.30,0.85,0.77,1.10,0.37
Ivan Toney,BRE,14,1260,4.0,2.0,2.0,4.03,2.51,3.31,4.99,1.05,0.29,0.18,0.24,0.52,0.42,0.36,0.08
Jorginho,CHE,14,1088,4.0,0.0,1.0,3.24,0.20,1.44,8.4,7.66,0.27,0.02,0.12,0.39,0.14,0.69,0.63
Pablo Fornals,WHU,16,1232,4.0,4.0,2.0,2.94,2.94,2.77,8.9,4.29,0.21,0.21,0.20,0.42,0.42,0.65,0.31
Martin Odegaard,ARS,14,917,4.0,4.0,0.0,0.90,0.90,1.45,4.93,3.22,0.09,0.09,0.14,0.23,0.23,0.48,0.32
James Maddison,LEI,16,1028,4.0,4.0,3.0,2.26,2.26,2.20,4.84,1.50,0.20,0.20,0.19,0.39,0.39,0.42,0.13
Mason Greenwood,MUN,12,865,4.0,4.0,1.0,2.48,2.48,1.03,3.76,1.08,0.26,0.26,0.11,0.37,0.37,0.39,0.11
Reece James,CHE,12,818,4.0,4.0,4.0,1.42,1.42,2.63,7.25,4.57,0.16,0.16,0.29,0.45,0.45,0.80,0.50
Hee-Chan Hwang,WOL,13,968,4.0,4.0,0.0,2.40,2.40,0.82,5.02,2.18,0.22,0.22,0.08,0.30,0.30,0.47,0.20
Ollie Watkins,AVL,14,1180,4.0,4.0,0.0,4.42,4.42,0.58,6.24,1.88,0.34,0.34,0.04,0.38,0.38,0.48,0.14
Allan Saint-Maximin,NEW,16,1422,3.0,3.0,3.0,2.52,2.52,3.00,7.51,2.19,0.16,0.16,0.19,0.35,0.35,0.48,0.14
Ilkay Gündogan,MCI,11,909,3.0,3.0,1.0,5.35,5.35,2.83,11.59,4.52,0.53,0.53,0.28,0.81,0.81,1.15,0.45
Romelu Lukaku,CHE,11,684,3.0,3.0,0.0,3.74,3.74,2.08,6.46,1.97,0.49,0.49,0.27,0.77,0.77,0.85,0.26
Andros Townsend,EVE,16,1275,3.0,2.0,2.0,2.15,1.39,2.75,5.22,2.70,0.15,0.10,0.19,0.35,0.29,0.37,0.19
Ben Chilwell,CHE,6,540,3.0,3.0,1.0,1.30,1.30,0.83,3.94,2.88,0.22,0.22,0.14,0.36,0.36,0.66,0.48
Danny Ings,AVL,11,857,3.0,2.0,2.0,2.08,1.31,0.16,2.17,1.03,0.22,0.14,0.02,0.24,0.16,0.23,0.11
Jarrod Bowen,WHU,16,1332,3.0,3.0,4.0,5.33,5.33,2.54,9.03,2.84,0.36,0.36,0.17,0.53,0.53,0.61,0.19
Said Benrahma,WHU,16,1218,3.0,3.0,3.0,2.64,2.64,2.40,7.42,2.79,0.20,0.20,0.18,0.37,0.37,0.55,0.21
Odsonne Edouard,CRY,13,710,3.0,3.0,1.0,2.27,2.27,1.04,4.64,1.44,0.29,0.29,0.13,0.42,0.42,0.59,0.18
Raúl Jiménez,WOL,16,1307,3.0,3.0,2.0,3.48,3.48,1.94,6.45,1.86,0.24,0.24,0.13,0.37,0.37,0.44,0.13
Chris Wood,BUR,15,1227,3.0,3.0,0.0,3.90,3.90,0.31,3.37,1.42,0.29,0.29,0.02,0.31,0.31,0.25,0.10
Dominic Calvert-Lewin,EVE,3,253,3.0,1.0,0.0,3.16,1.64,0.14,1.8,0.03,1.12,0.58,0.05,1.17,0.63,0.64,0.01
Richarlison,EVE,11,888,3.0,3.0,2.0,2.25,2.25,2.03,4.55,1.45,0.23,0.23,0.21,0.43,0.43,0.46,0.15
Phil Foden,MCI,10,720,3.0,3.0,2.0,3.34,3.34,3.74,7.99,2.62,0.42,0.42,0.47,0.89,0.89,1.00,0.33
Bryan Mbeumo,BRE,15,1294,3.0,2.0,1.0,5.26,4.50,1.32,7.46,2.48,0.37,0.31,0.09,0.46,0.41,0.52,0.17
Leandro Trossard,BHA,15,1323,3.0,2.0,1.0,3.17,2.41,1.72,4.8,1.46,0.22,0.16,0.12,0.33,0.28,0.33,0.10
Che Adams,SOU,12,867,3.0,3.0,1.0,2.17,2.17,1.43,3.16,0.25,0.23,0.23,0.15,0.37,0.37,0.33,0.03
John McGinn,AVL,15,1299,3.0,3.0,2.0,0.61,0.61,2.49,4.94,2.46,0.04,0.04,0.17,0.21,0.21,0.34,0.17
Armando Broja,SOU,12,549,3.0,3.0,0.0,2.41,2.41,0.06,2.76,0.58,0.39,0.39,0.01,0.40,0.40,0.45,0.10
Pierre-Emile Højbjerg,TOT,14,1260,2.0,2.0,1.0,1.27,1.27,0.69,6.32,4.52,0.09,0.09,0.05,0.14,0.14,0.45,0.32
Kevin De Bruyne,MCI,10,489,2.0,2.0,0.0,1.38,1.38,2.01,4.28,2.46,0.25,0.25,0.37,0.62,0.62,0.79,0.45
Divock Origi,LIV,3,27,2.0,2.0,0.0,0.80,0.80,0.00,0.86,0.06,2.66,2.66,0.00,2.66,2.66,2.87,0.21
Manuel Lanzini,WHU,10,285,2.0,1.0,1.0,0.88,0.12,1.01,1.61,1.49,0.28,0.04,0.32,0.60,0.36,0.51,0.47
Marcus Rashford,MUN,9,504,2.0,2.0,1.0,1.19,1.19,1.32,3.16,0.77,0.21,0.21,0.23,0.45,0.45,0.56,0.14
Jesse Lingard,MUN,8,72,2.0,2.0,0.0,0.51,0.51,0.07,0.69,0.13,0.64,0.64,0.09,0.73,0.73,0.86,0.17
Jordan Henderson,LIV,15,1153,2.0,2.0,3.0,0.70,0.70,2.56,9.86,7.13,0.05,0.05,0.20,0.25,0.25,0.77,0.56
Riyad Mahrez,MCI,12,475,2.0,2.0,1.0,2.66,2.66,1.83,6.54,2.42,0.50,0.50,0.35,0.85,0.85,1.24,0.46
N'Golo Kanté,CHE,8,507,2.0,2.0,0.0,0.54,0.54,0.60,3.82,2.73,0.10,0.10,0.11,0.20,0.20,0.68,0.48
Patrick Bamford,LEE,6,457,2.0,2.0,2.0,2.42,2.42,0.40,2.5,0.42,0.48,0.48,0.08,0.55,0.55,0.49,0.08
James Ward-Prowse,SOU,14,1242,2.0,0.0,0.0,2.08,0.56,1.46,4.9,4.09,0.15,0.04,0.11,0.26,0.15,0.35,0.30
Sergi Canos,BRE,15,1247,2.0,2.0,2.0,2.19,2.19,1.41,4.25,1.41,0.16,0.16,0.10,0.26,0.26,0.31,0.10
Ben Mee,BUR,11,990,2.0,2.0,0.0,1.97,1.97,0.03,1.36,1.35,0.18,0.18,0.00,0.18,0.18,0.12,0.12
Abdoulaye Doucouré,EVE,12,1080,2.0,2.0,4.0,1.61,1.61,1.63,5.41,2.42,0.13,0.13,0.14,0.27,0.27,0.45,0.20
Antonio Rüdiger,CHE,15,1350,2.0,2.0,0.0,1.05,1.05,0.65,9.3,8.65,0.07,0.07,0.04,0.11,0.11,0.62,0.58
Rodrigo,LEE,12,905,2.0,1.0,0.0,2.54,1.78,1.82,5.38,2.28,0.25,0.18,0.18,0.43,0.36,0.53,0.23
Rodri,MCI,14,1260,2.0,2.0,0.0,0.46,0.46,0.44,11.9,11.52,0.03,0.03,0.03,0.06,0.06,0.85,0.82
Christian Pulisic,CHE,6,228,2.0,2.0,0.0,1.58,1.58,0.17,2.0,0.25,0.62,0.62,0.07,0.69,0.69,0.79,0.10
Alexandre Lacazette,ARS,11,530,2.0,2.0,0.0,0.88,0.88,0.35,1.78,0.82,0.15,0.15,0.06,0.21,0.21,0.30,0.14
