Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,24,2016,17.0,11.0,3.0,13.13,8.57,3.89,15.91,6.10,0.59,0.38,0.17,0.76,0.56,0.71,0.27
Bruno Fernandes,MUN,25,2119,15.0,8.0,10.0,11.83,5.74,9.04,18.07,7.19,0.50,0.24,0.38,0.89,0.63,0.77,0.31
Son Heung-Min,TOT,24,2089,13.0,13.0,6.0,8.15,8.15,4.53,12.51,3.71,0.35,0.35,0.20,0.55,0.55,0.54,0.16
Harry Kane,TOT,22,1935,13.0,10.0,11.0,12.05,9.77,5.60,14.3,3.25,0.56,0.45,0.26,0.82,0.71,0.67,0.15
Patrick Bamford,LEE,25,2161,13.0,12.0,5.0,13.01,12.25,2.62,17.38,3.39,0.54,0.51,0.11,0.65,0.62,0.72,0.14
Dominic Calvert-Lewin,EVE,21,1798,13.0,13.0,0.0,13.07,13.07,0.71,12.52,2.65,0.65,0.65,0.04,0.69,0.69,0.63,0.13
Jamie Vardy,LEI,21,1690,12.0,6.0,5.0,14.48,9.15,2.15,10.96,0.92,0.77,0.49,0.11,0.89,0.60,0.58,0.05
Ilkay Gündogan,MCI,19,1473,11.0,10.0,1.0,7.71,6.18,2.89,14.15,7.15,0.47,0.38,0.18,0.65,0.55,0.86,0.44
Callum Wilson,NEW,21,1818,10.0,6.0,5.0,11.65,8.60,2.44,11.3,0.65,0.58,0.43,0.12,0.70,0.55,0.56,0.03
Ollie Watkins,AVL,23,2070,10.0,9.0,2.0,12.33,10.80,2.95,15.39,4.23,0.54,0.47,0.13,0.66,0.60,0.67,0.18
Wilfried Zaha,CRY,19,1673,9.0,7.0,2.0,7.23,5.71,2.52,9.73,2.20,0.39,0.31,0.14,0.52,0.44,0.52,0.12
Marcus Rashford,MUN,25,2046,9.0,9.0,6.0,7.47,7.47,2.19,14.7,6.83,0.33,0.33,0.10,0.42,0.42,0.65,0.30
Raheem Sterling,MCI,23,1883,9.0,9.0,5.0,9.43,8.67,4.95,19.42,9.77,0.45,0.41,0.24,0.69,0.65,0.93,0.47
Harvey Barnes,LEI,24,1899,9.0,9.0,4.0,6.68,6.68,1.77,8.87,1.59,0.32,0.32,0.08,0.40,0.40,0.42,0.08
Pierre-Emerick Aubameyang,ARS,21,1749,8.0,6.0,1.0,7.75,6.23,1.57,11.18,3.57,0.40,0.32,0.08,0.48,0.40,0.58,0.18
Danny Ings,SOU,20,1595,8.0,6.0,3.0,6.07,4.55,2.09,7.58,1.60,0.34,0.26,0.12,0.46,0.37,0.43,0.09
