Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Harry Kane,TOT,34,3007,22.0,18.0,13.0,21.49,18.44,7.49,24.71,4.45,0.64,0.55,0.22,0.87,0.78,0.74,0.13
Mohamed Salah,LIV,36,2995,22.0,16.0,4.0,19.54,14.97,6.42,27.99,9.56,0.59,0.45,0.19,0.78,0.64,0.84,0.29
Bruno Fernandes,MUN,37,3117,18.0,9.0,12.0,16.02,8.41,11.47,26.91,11.93,0.46,0.24,0.33,0.79,0.57,0.78,0.34
Son Heung-Min,TOT,36,3049,17.0,16.0,10.0,10.92,10.16,9.41,20.43,6.50,0.32,0.30,0.28,0.60,0.58,0.60,0.19
Patrick Bamford,LEE,37,3042,16.0,15.0,7.0,17.47,16.71,3.75,23.03,3.94,0.52,0.49,0.11,0.63,0.61,0.68,0.12
Dominic Calvert-Lewin,EVE,32,2788,16.0,16.0,0.0,18.14,18.14,2.10,19.7,4.16,0.59,0.59,0.07,0.65,0.65,0.64,0.13
Ollie Watkins,AVL,36,3240,14.0,13.0,5.0,16.28,14.76,5.26,21.96,5.33,0.45,0.41,0.15,0.60,0.56,0.61,0.15
Ilkay Gündogan,MCI,28,2033,13.0,12.0,2.0,9.57,8.04,3.82,19.29,10.15,0.42,0.36,0.17,0.59,0.53,0.85,0.45
Jamie Vardy,LEI,33,2758,13.0,7.0,9.0,18.35,13.03,5.09,18.16,2.41,0.60,0.43,0.17,0.76,0.59,0.59,0.08
Alexandre Lacazette,ARS,30,1928,13.0,10.0,2.0,12.03,9.75,2.21,14.36,2.94,0.56,0.45,0.10,0.66,0.56,0.67,0.14
Callum Wilson,NEW,26,2079,12.0,8.0,5.0,13.59,10.55,3.05,14.21,1.05,0.59,0.46,0.13,0.72,0.59,0.61,0.05
Kelechi Iheanacho,LEI,24,1362,12.0,12.0,2.0,8.98,8.22,3.52,13.81,3.34,0.59,0.54,0.23,0.83,0.78,0.91,0.22
Danny Ings,SOU,28,2115,12.0,10.0,4.0,8.14,6.62,2.31,9.93,2.06,0.35,0.28,0.10,0.44,0.38,0.42,0.09
Chris Wood,BUR,32,2675,12.0,10.0,3.0,12.90,11.37,2.04,13.59,2.15,0.43,0.38,0.07,0.50,0.45,0.46,0.07
Wilfried Zaha,CRY,29,2525,11.0,9.0,2.0,8.74,7.21,3.70,13.5,3.62,0.31,0.26,0.13,0.44,0.39,0.48,0.13
Marcus Rashford,MUN,37,2941,11.0,11.0,9.0,9.58,9.58,4.19,20.44,8.93,0.29,0.29,0.13,0.42,0.42,0.63,0.27
Matheus Pereira,WBA,33,2594,11.0,7.0,6.0,6.95,3.90,6.36,10.86,3.76,0.24,0.14,0.22,0.46,0.36,0.38,0.13
Pierre-Emerick Aubameyang,ARS,28,2254,10.0,8.0,3.0,10.19,8.67,2.35,14.78,3.96,0.41,0.35,0.09,0.50,0.44,0.59,0.16
Michail Antonio,WHU,25,1923,10.0,10.0,5.0,14.14,14.14,3.03,19.0,2.66,0.66,0.66,0.14,0.80,0.80,0.89,0.12
Christian Benteke,CRY,30,1824,10.0,10.0,1.0,7.46,7.46,0.70,8.47,3.15,0.37,0.37,0.03,0.40,0.40,0.42,0.16
Raheem Sterling,MCI,30,2449,10.0,10.0,6.0,11.76,11.00,5.82,24.09,11.48,0.43,0.40,0.21,0.65,0.62,0.89,0.42
Edinson Cavani,MUN,26,1355,10.0,10.0,3.0,8.60,8.60,2.32,12.26,2.73,0.57,0.57,0.15,0.73,0.73,0.81,0.18
Tomas Soucek,WHU,37,3330,10.0,10.0,1.0,8.94,8.94,2.33,16.73,8.61,0.24,0.24,0.06,0.30,0.30,0.45,0.23
Roberto Firmino,LIV,35,2792,9.0,9.0,6.0,12.82,12.82,5.26,24.91,9.96,0.41,0.41,0.17,0.58,0.58,0.80,0.32
Jesse Lingard,WHU,15,1344,9.0,8.0,4.0,5.10,3.57,2.33,9.87,5.62,0.34,0.24,0.16,0.50,0.40,0.66,0.38
Riyad Mahrez,MCI,26,1894,9.0,9.0,5.0,6.15,6.15,5.95,18.64,9.02,0.29,0.29,0.28,0.58,0.58,0.89,0.43
Sadio Mané,LIV,34,2715,9.0,9.0,7.0,13.92,13.92,7.58,24.5,5.92,0.46,0.46,0.25,0.71,0.71,0.81,0.20
Gareth Bale,TOT,19,889,9.0,9.0,2.0,4.38,4.38,1.62,6.51,2.59,0.44,0.44,0.16,0.61,0.61,0.66,0.26
Anwar El Ghazi,AVL,27,1531,9.0,6.0,0.0,8.22,5.94,1.88,7.85,2.69,0.48,0.35,0.11,0.59,0.46,0.46,0.16
Harvey Barnes,LEI,25,1954,9.0,9.0,4.0,6.70,6.70,1.77,8.89,1.59,0.31,0.31,0.08,0.39,0.39,0.41,0.07
Diogo Jota,LIV,18,1113,9.0,9.0,0.0,7.06,7.06,1.76,10.97,4.08,0.57,0.57,0.14,0.71,0.71,0.89,0.33
Che Adams,SOU,36,2685,9.0,9.0,5.0,12.12,12.12,5.23,14.49,2.74,0.41,0.41,0.18,0.58,0.58,0.49,0.09
James Ward-Prowse,SOU,37,3330,8.0,5.0,7.0,5.43,2.38,3.96,10.15,8.93,0.15,0.06,0.11,0.25,0.17,0.27,0.24
Jarrod Bowen,WHU,37,2514,8.0,8.0,5.0,7.82,7.82,4.95,14.0,3.10,0.28,0.28,0.18,0.46,0.46,0.50,0.11
Neal Maupay,BHA,33,2526,8.0,5.0,2.0,13.77,10.73,4.28,17.16,3.38,0.49,0.38,0.15,0.64,0.53,0.61,0.12
Gabriel Jesus,MCI,28,1977,8.0,8.0,4.0,9.01,9.01,3.37,16.56,5.56,0.41,0.41,0.15,0.56,0.56,0.75,0.25
Nicolas Pepe,ARS,28,1512,8.0,7.0,1.0,5.81,5.05,1.01,9.17,4.22,0.35,0.30,0.06,0.41,0.36,0.55,0.25
Phil Foden,MCI,27,1548,8.0,8.0,5.0,5.44,5.44,4.75,13.11,5.41,0.32,0.32,0.28,0.59,0.59,0.76,0.31
James Maddison,LEI,30,2059,8.0,8.0,5.0,3.81,3.81,5.39,11.72,6.07,0.17,0.17,0.24,0.40,0.40,0.51,0.27
Stuart Dallas,LEE,37,3322,8.0,8.0,2.0,4.46,4.46,2.07,18.26,13.54,0.12,0.12,0.06,0.18,0.18,0.49,0.37
Jack Harrison,LEE,35,2781,8.0,8.0,8.0,6.25,6.25,7.52,19.2,7.84,0.20,0.20,0.24,0.45,0.45,0.62,0.25
Jorginho,CHE,27,1960,7.0,0.0,1.0,6.97,0.12,1.56,10.54,10.04,0.32,0.01,0.07,0.39,0.08,0.48,0.46
Richarlison,EVE,33,2803,7.0,6.0,3.0,10.43,9.67,3.39,15.68,5.17,0.33,0.31,0.11,0.44,0.42,0.50,0.17
Ferrán Torres,MCI,23,1291,7.0,7.0,2.0,5.73,5.73,2.20,9.77,2.72,0.40,0.40,0.15,0.55,0.55,0.68,0.19
Joe Willock,ARS,20,1125,7.0,7.0,0.0,4.82,4.06,0.73,6.74,2.87,0.39,0.32,0.06,0.44,0.38,0.54,0.23
Mason Greenwood,MUN,31,1825,7.0,7.0,2.0,6.98,6.98,2.43,14.03,5.95,0.34,0.34,0.12,0.46,0.46,0.69,0.29
David McGoldrick,SHU,34,2319,7.0,7.0,1.0,7.38,7.38,1.05,9.68,3.19,0.29,0.29,0.04,0.33,0.33,0.38,0.12
Timo Werner,CHE,34,2515,6.0,6.0,8.0,13.17,13.17,6.30,19.5,4.76,0.47,0.47,0.23,0.70,0.70,0.70,0.17
Danny Welbeck,BHA,24,1551,6.0,6.0,1.0,7.38,6.62,3.23,10.27,1.48,0.43,0.38,0.19,0.62,0.57,0.60,0.09
Jack Grealish,AVL,25,2097,6.0,6.0,10.0,5.19,5.19,9.28,17.49,6.97,0.22,0.22,0.40,0.62,0.62,0.75,0.30
Bertrand Traoré,AVL,35,2287,6.0,6.0,6.0,6.18,6.18,4.57,9.76,1.33,0.24,0.24,0.18,0.42,0.42,0.38,0.05
Tammy Abraham,CHE,22,1027,6.0,6.0,1.0,6.19,6.19,0.72,7.9,2.12,0.54,0.54,0.06,0.61,0.61,0.69,0.19
Gylfi Sigurdsson,EVE,35,2189,6.0,3.0,5.0,5.62,3.34,4.76,8.38,3.66,0.23,0.14,0.20,0.43,0.33,0.34,0.15
James Rodríguez,EVE,23,1802,6.0,6.0,4.0,3.36,3.36,5.44,12.03,7.10,0.17,0.17,0.27,0.44,0.44,0.60,0.35
Rodrigo,LEE,25,1238,6.0,6.0,2.0,5.03,5.03,3.20,10.78,4.35,0.37,0.37,0.23,0.60,0.60,0.78,0.32
Youri Tielemans,LEI,37,3269,6.0,4.0,4.0,4.17,2.65,3.17,18.88,14.88,0.11,0.07,0.09,0.20,0.16,0.52,0.41
Mason Mount,CHE,35,2801,6.0,5.0,5.0,5.94,5.18,9.47,20.2,11.89,0.19,0.17,0.30,0.49,0.47,0.65,0.38
Raphinha,LEE,29,2279,6.0,6.0,8.0,6.05,6.05,8.61,16.48,6.56,0.24,0.24,0.34,0.58,0.58,0.65,0.26
Kevin De Bruyne,MCI,24,1918,5.0,3.0,11.0,9.91,7.62,10.00,21.08,10.64,0.46,0.36,0.47,0.93,0.83,0.99,0.50
Kurt Zouma,CHE,24,2024,5.0,5.0,0.0,3.14,3.14,0.08,6.22,6.13,0.14,0.14,0.00,0.14,0.14,0.28,0.27
Callum Robinson,WBA,27,1518,5.0,5.0,0.0,3.04,3.04,0.99,4.93,1.52,0.18,0.18,0.06,0.24,0.24,0.29,0.09
Lewis Dunk,BHA,32,2844,5.0,5.0,0.0,2.70,2.70,0.83,8.27,7.87,0.09,0.09,0.03,0.11,0.11,0.26,0.25
Pedro Neto,WOL,31,2570,5.0,5.0,6.0,5.49,5.49,5.74,11.52,4.21,0.19,0.19,0.20,0.39,0.39,0.40,0.15
Bobby Reid,FUL,32,2304,5.0,5.0,2.0,4.27,4.27,1.31,8.14,3.07,0.17,0.17,0.05,0.22,0.22,0.32,0.12
Rúben Neves,WOL,35,2591,5.0,2.0,1.0,4.72,2.43,2.00,6.77,4.48,0.16,0.08,0.07,0.23,0.15,0.24,0.16
Bukayo Saka,ARS,31,2561,5.0,5.0,3.0,7.17,7.17,4.51,18.29,9.18,0.25,0.25,0.16,0.41,0.41,0.64,0.32
Leandro Trossard,BHA,34,2601,5.0,5.0,5.0,5.41,5.41,5.40,16.0,7.63,0.19,0.19,0.19,0.37,0.37,0.55,0.26
Joelinton,NEW,31,2006,4.0,3.0,2.0,5.63,4.87,2.37,9.27,3.28,0.25,0.22,0.11,0.36,0.32,0.42,0.15
Olivier Giroud,CHE,17,750,4.0,4.0,0.0,5.07,5.07,1.18,5.25,1.71,0.61,0.61,0.14,0.75,0.75,0.63,0.21
Anthony Martial,MUN,22,1494,4.0,4.0,3.0,7.41,7.41,2.62,11.81,3.32,0.45,0.45,0.16,0.60,0.60,0.71,0.20
John Stones,MCI,21,1843,4.0,4.0,0.0,2.39,2.39,0.05,9.84,9.74,0.12,0.12,0.00,0.12,0.12,0.48,0.48
Christian Pulisic,CHE,26,1649,4.0,4.0,1.0,6.38,6.38,2.38,12.81,5.71,0.35,0.35,0.13,0.48,0.48,0.70,0.31
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Mateusz Klich,LEE,35,2404,4.0,2.0,5.0,3.00,1.48,3.65,14.61,10.39,0.11,0.06,0.14,0.25,0.19,0.55,0.39
Kai Havertz,CHE,26,1501,4.0,4.0,3.0,5.49,5.49,1.55,9.84,4.79,0.33,0.33,0.09,0.42,0.42,0.59,0.29
Ademola Lookman,FUL,33,2700,4.0,4.0,4.0,6.20,5.44,5.20,15.23,7.32,0.21,0.18,0.17,0.38,0.35,0.51,0.24
Scott McTominay,MUN,32,2121,4.0,4.0,1.0,1.85,1.85,2.11,10.91,7.90,0.08,0.08,0.09,0.17,0.17,0.46,0.34
Stuart Armstrong,SOU,32,2701,4.0,4.0,5.0,2.56,2.56,2.52,9.48,6.25,0.09,0.09,0.08,0.17,0.17,0.32,0.21
Miguel Almirón,NEW,33,2377,4.0,4.0,1.0,3.46,3.46,3.14,9.18,3.83,0.13,0.13,0.12,0.25,0.25,0.35,0.14
Eberechi Eze,CRY,34,2570,4.0,4.0,6.0,2.49,2.49,3.74,8.0,3.96,0.09,0.09,0.13,0.22,0.22,0.28,0.14
Fabio Silva,WOL,31,1251,4.0,3.0,2.0,5.96,5.20,1.04,4.9,1.07,0.43,0.37,0.07,0.50,0.45,0.35,0.08
Allan Saint-Maximin,NEW,24,1512,3.0,3.0,4.0,2.73,2.73,3.99,10.35,4.02,0.16,0.16,0.24,0.40,0.40,0.62,0.24
Jannik Vestergaard,SOU,29,2481,3.0,3.0,0.0,2.03,2.03,0.74,5.85,5.78,0.07,0.07,0.03,0.10,0.10,0.21,0.21
Pascal Groß,BHA,33,2379,3.0,0.0,8.0,5.01,1.97,5.37,10.4,6.73,0.19,0.07,0.20,0.39,0.28,0.39,0.25
Theo Walcott,EVE,22,1660,3.0,3.0,3.0,2.28,2.28,1.26,5.55,2.23,0.12,0.12,0.07,0.19,0.19,0.30,0.12
Angelo Ogbonna,WHU,27,2403,3.0,3.0,0.0,1.70,1.70,0.43,3.93,3.71,0.06,0.06,0.02,0.08,0.08,0.15,0.14
Ross Barkley,AVL,26,1574,3.0,3.0,1.0,3.70,3.70,4.32,9.9,3.72,0.21,0.21,0.25,0.46,0.46,0.57,0.21
Ashley Westwood,BUR,37,3322,3.0,3.0,3.0,1.01,1.01,6.35,10.01,6.29,0.03,0.03,0.17,0.20,0.20,0.27,0.17
Aleksandar Mitrovic,FUL,27,1369,3.0,2.0,3.0,5.68,4.16,2.92,7.81,1.85,0.37,0.27,0.19,0.57,0.47,0.51,0.12
Craig Dawson,WHU,21,1835,3.0,3.0,0.0,2.69,2.69,0.05,2.93,2.93,0.13,0.13,0.00,0.13,0.13,0.14,0.14
Kyle Bartley,WBA,29,2491,3.0,3.0,1.0,2.51,2.51,0.76,2.48,1.50,0.09,0.09,0.03,0.12,0.12,0.09,0.05
Matej Vydra,BUR,27,1322,3.0,3.0,2.0,5.37,5.37,2.12,6.43,1.05,0.37,0.37,0.14,0.51,0.51,0.44,0.07
Michael Keane,EVE,34,2896,3.0,3.0,1.0,1.50,1.50,1.09,6.84,6.56,0.05,0.05,0.03,0.08,0.08,0.21,0.20
Paul Pogba,MUN,26,1893,3.0,3.0,3.0,2.99,2.99,2.07,11.69,7.44,0.14,0.14,0.10,0.24,0.24,0.56,0.35
Pablo Fornals,WHU,32,2513,3.0,3.0,3.0,5.85,5.85,2.05,14.87,8.32,0.21,0.21,0.07,0.28,0.28,0.53,0.30
Lucas Moura,TOT,29,1372,3.0,3.0,4.0,1.95,1.95,2.06,7.43,5.12,0.13,0.13,0.14,0.26,0.26,0.49,0.34
Hélder Costa,LEE,22,1152,3.0,3.0,3.0,2.60,2.60,0.63,4.52,2.21,0.20,0.20,0.05,0.25,0.25,0.35,0.17
Romain Saiss,WOL,26,2319,3.0,3.0,0.0,3.10,3.10,0.65,4.54,3.72,0.12,0.12,0.03,0.15,0.15,0.18,0.14
Ivan Cavaleiro,FUL,35,2387,3.0,2.0,0.0,5.04,3.52,2.59,7.54,2.67,0.19,0.13,0.10,0.29,0.23,0.28,0.10
Ashley Barnes,BUR,21,1341,3.0,2.0,0.0,3.87,3.11,0.80,4.19,1.20,0.26,0.21,0.05,0.31,0.26,0.28,0.08
Josh Maja,FUL,14,784,3.0,2.0,0.0,4.86,4.09,0.65,4.3,0.65,0.56,0.47,0.08,0.63,0.55,0.49,0.07
Daniel James,MUN,14,830,3.0,3.0,0.0,1.94,1.94,0.74,4.28,1.74,0.21,0.21,0.08,0.29,0.29,0.46,0.19
Tanguy NDombele Alvaro,TOT,33,2141,3.0,3.0,2.0,1.53,1.53,2.13,10.93,8.01,0.06,0.06,0.09,0.15,0.15,0.46,0.34
Sébastien Haller,WHU,16,933,3.0,3.0,0.0,2.55,2.55,1.13,3.66,0.85,0.25,0.25,0.11,0.36,0.36,0.35,0.08
Billy Sharp,SHU,16,723,3.0,1.0,0.0,2.98,1.46,0.58,2.65,0.66,0.37,0.18,0.07,0.44,0.25,0.33,0.08
John McGinn,AVL,36,3240,3.0,3.0,5.0,2.13,2.13,3.48,14.81,9.95,0.06,0.06,0.10,0.16,0.16,0.41,0.28
Takumi Minamino,LIV,18,941,3.0,3.0,0.0,2.56,2.56,0.76,5.95,2.77,0.24,0.24,0.07,0.32,0.32,0.57,0.26
Daniel Podence,WOL,24,1718,3.0,3.0,2.0,2.74,2.74,1.84,6.73,2.91,0.14,0.14,0.10,0.24,0.24,0.35,0.15
Mbaye Diagne,WBA,16,1205,3.0,3.0,2.0,6.25,6.25,0.99,8.73,1.77,0.47,0.47,0.07,0.54,0.54,0.65,0.13
Pierre-Emile Højbjerg,TOT,37,3330,2.0,2.0,4.0,1.14,1.14,1.76,16.06,14.54,0.03,0.03,0.05,0.08,0.08,0.43,0.39
Sergio Agüero,MCI,11,533,2.0,1.0,1.0,3.00,1.48,1.32,3.36,1.15,0.51,0.25,0.22,0.73,0.47,0.57,0.19
Ola Aina,FUL,31,2683,2.0,2.0,1.0,0.85,0.85,1.55,6.77,6.12,0.03,0.03,0.05,0.08,0.08,0.23,0.21
Jeffrey Schlupp,CRY,26,1397,2.0,2.0,3.0,2.02,2.02,2.57,5.16,3.47,0.13,0.13,0.17,0.30,0.30,0.33,0.22
