Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,21,8,NEW,SOU,4.5,MID,4.6,2.0,2.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,172.8,90.7,57.0,32.0,2.0,0.0,0.4,5.3,3.0,21835.0,24807.0,0.0,0.0,8,0.0,0.06,0.06,0.15,0.33000000000000007,0.20999999999999996,0.03,0.03,0.03,0.06,0.06,0.3,0.27,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
McCarthy,21,8,NEW,SOU,4.5,GKP,19.9,4.0,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,178.0,0.0,0.0,17.9,4.0,0.0,0.9,7.3,4.1,62634.0,22282.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.07999999999999996,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.12,0.12,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Walker-Peters,21,8,NEW,SOU,4.5,DEF,11.4,4.0,9.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,150.0,55.1,54.0,26.0,4.0,1.0,0.9,6.9,3.9,61541.0,22634.0,0.0,0.0,8,0.0,0.04999999999999999,0.04999999999999999,0.0,0.3600000000000001,0.2999999999999998,0.03,0.03,0.06,0.09,0.09,0.26,0.21,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Ward-Prowse,21,8,NEW,SOU,5.9,MID,7.7,8.2,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,219.8,204.7,71.0,49.6,8.2,0.0,1.4,7.3,5.4,273441.0,27499.0,-1.0,1.0,8,0.0,0.0,0.0,0.06000000000000005,0.3400000000000001,0.31000000000000005,0.08,0.08,0.13,0.21,0.21,0.23,0.18,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Adams,21,8,NEW,SOU,5.9,FWD,4.2,7.8,7.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,185.0,100.9,264.0,55.1,7.8,0.0,1.3,6.9,5.1,136591.0,16476.0,-1.0,1.0,8,1.0,0.28000000000000025,0.28000000000000025,0.0,0.28000000000000025,0.0,0.44,0.44,0.14,0.58,0.58,0.47,0.08,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Bednarek,21,8,NEW,SOU,4.5,DEF,1.9,3.5,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,115.6,14.6,58.0,18.8,3.5,0.0,0.8,6.4,3.6,2613.0,14505.0,0.0,0.0,8,0.0,0.13999999999999999,0.13999999999999999,0.0,0.13000000000000012,0.13000000000000012,0.03,0.03,0.01,0.04,0.04,0.22,0.22,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Ings,21,8,NEW,SOU,8.4,FWD,9.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.8,84.7,234.0,57.0,5.8,0.0,0.7,5.6,6.7,3303.0,653315.0,-1.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.25,0.06,0.41,0.3,0.34,0.07,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Bertrand,21,8,NEW,SOU,5.0,DEF,1.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,117.3,39.0,23.1,2.2,0.0,0.4,4.8,3.4,257.0,17555.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.07,0.08,0.08,0.25,0.22,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Vestergaard,21,8,NEW,SOU,4.7,DEF,7.7,6.5,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,219.0,26.1,63.0,30.9,6.5,0.0,1.4,8.5,5.7,247221.0,10285.0,2.0,-2.0,7,0.0,0.0,0.0,0.09999999999999998,0.1299999999999999,0.1299999999999999,0.08,0.08,0.09,0.17,0.17,0.19,0.19,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
Armstrong,21,8,NEW,SOU,5.5,MID,0.3,4.5,10.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,117.6,100.1,73.0,29.1,4.5,1.0,0.8,5.3,4.8,11252.0,1479.0,0.0,0.0,6,1.0,0.14000000000000007,0.14000000000000007,0.020000000000000018,0.33000000000000007,0.16999999999999993,0.1,0.1,0.08,0.17,0.17,0.25,0.13,4,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.9900000000000002,0.9900000000000002,0.16999999999999993,0.16999999999999993,0.81,-0.6199999999999992,0.5800000000000001,4.0,0.0,2.0999999999999996
