Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Struijk,21,9,ARS,LEE,4.0,DEF,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,15.5,8.0,8.1,0.0,0.0,0.0,0.5,0.5,6179.0,12801.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.05,0.05,0.14,0.14,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Roberts,21,9,ARS,LEE,4.8,MID,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,33.3,23.0,7.1,0.7,0.0,0.1,1.2,1.0,222.0,424.0,-2.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.25,0.28,0.28,0.47,0.22,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Hernández,21,9,ARS,LEE,5.7,MID,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,26.6,39.0,7.9,0.7,0.0,0.1,1.1,1.5,328.0,3282.0,-3.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.05,0.48,0.48,0.84,0.38,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Poveda-Ocampo,21,9,ARS,LEE,4.4,MID,0.4,0.7,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.6,32.8,68.0,12.5,0.7,0.0,0.2,1.1,1.0,1477.0,3039.0,-1.0,1.0,5,0.0,0.05999999999999994,0.05999999999999994,0.28,0.42000000000000004,0.07,0.4,0.4,0.24,0.65,0.65,0.72,0.07,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Shackleton,21,9,ARS,LEE,4.8,MID,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,20.7,10.0,4.4,0.3,0.0,0.1,1.0,1.7,32.0,404.0,-2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.83,0.83,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Davis,21,9,ARS,LEE,4.0,DEF,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,1.0,2388.0,5627.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,14,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.959999999999999,1.959999999999999,0.7199999999999989,0.7100000000000009,1.25,0.05000000000000071,0.21000000000000085,11.0,4.0,2.280000000000001
Jack Robinson,21,9,WHU,SHU,4.4,DEF,0.2,0.3,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.4,5.4,17.0,5.9,0.3,0.0,0.1,2.0,2.2,194.0,836.0,-1.0,1.0,4,0.0,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907,0.18,0.18,0.0,0.18,0.18,0.18,0.18,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Ramsdale,21,9,WHU,SHU,4.8,GKP,2.9,2.7,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,232.6,10.0,2.0,24.5,2.7,0.0,0.6,4.6,2.4,3110.0,17497.0,-2.0,2.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.07,0.07,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Baldock,21,9,WHU,SHU,5.2,DEF,1.7,1.3,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,126.6,118.6,130.0,37.6,1.3,0.0,0.2,2.9,1.7,2364.0,12752.0,-3.0,3.0,9,0.0,0.07,0.07,0.13000000000000012,0.32000000000000006,0.1299999999999999,0.04,0.04,0.14,0.19,0.19,0.23,0.16,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Berge,21,9,WHU,SHU,5.0,MID,0.2,2.7,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,148.4,128.9,106.0,38.3,2.7,0.0,0.5,4.6,2.6,4567.0,2816.0,0.0,0.0,9,0.0,0.0,0.0,0.020000000000000018,0.19999999999999996,0.20000000000000018,0.13,0.03,0.13,0.26,0.17,0.24,0.16,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Basham,21,9,WHU,SHU,4.8,DEF,1.0,1.3,2.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,151.0,60.1,52.0,26.3,1.3,0.0,0.3,3.1,1.7,2066.0,5697.0,-2.0,2.0,9,0.0,0.0,0.0,0.11000000000000004,0.26,0.15000000000000002,0.01,0.01,0.06,0.08,0.08,0.19,0.11,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Stevens,21,9,WHU,SHU,5.3,DEF,1.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.4,31.7,55.0,22.8,0.7,0.0,0.1,1.9,1.2,206.0,21449.0,-2.0,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.01,0.04,0.04,0.24,0.22,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Egan,21,9,WHU,SHU,4.8,DEF,3.0,1.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,114.4,14.7,14.0,14.4,1.0,0.0,0.2,1.0,0.6,603.0,27747.0,-2.0,2.0,8,0.0,0.0,0.0,0.07,0.08000000000000007,0.020000000000000018,0.01,0.01,0.01,0.02,0.02,0.18,0.18,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Lundstram,21,9,WHU,SHU,5.1,MID,2.8,1.3,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,89.0,167.3,101.0,35.7,1.3,0.0,0.3,2.4,1.3,1626.0,24114.0,-4.0,4.0,9,0.0,0.07000000000000006,0.06999999999999995,0.0,0.08000000000000007,0.0,0.21,0.1,0.1,0.31,0.2,0.39,0.21,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
McBurnie,21,9,WHU,SHU,5.7,FWD,0.3,1.7,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,59.2,85.6,177.0,32.1,1.7,0.0,0.3,2.8,1.8,834.0,1748.0,-3.0,3.0,9,0.0,0.49,0.49,0.06999999999999998,0.5400000000000003,0.0,0.24,0.24,0.05,0.29,0.29,0.41,0.14,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
McGoldrick,21,9,WHU,SHU,5.3,FWD,0.7,3.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,43.9,85.0,20.0,3.0,0.0,0.6,4.5,2.7,8671.0,6046.0,-2.0,2.0,9,0.0,0.04999999999999993,0.04999999999999993,0.0,0.050000000000000044,0.0,0.16,0.16,0.08,0.24,0.24,0.32,0.18,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
