Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MUN,1,1,0,0.0,5.0,1,3,1.64,1.64,0.57,0.57,1.07,12.59,7.24,8.0,3.0,2.22
2,CHE,1,1,0,0.0,3.0,0,3,1.19,1.19,0.32,0.32,0.87,6.6,71.0,14.0,3.0,2.20
3,LIV,1,1,0,0.0,3.0,0,3,1.79,1.79,1.33,1.33,0.45,11.58,25.67,13.0,3.0,1.71
4,WHU,1,1,0,0.0,4.0,2,3,3.01,2.09,1.68,1.68,0.41,11.62,24.5,10.0,5.0,2.27
5,EVE,1,1,0,0.0,3.0,1,3,2.39,2.39,0.58,0.58,1.81,6.87,5.59,4.0,6.0,2.63
6,BRE,1,1,0,0.0,2.0,0,3,1.89,1.89,1.02,1.02,0.86,16.11,5.77,7.0,10.0,2.12
7,WAT,1,1,0,0.0,3.0,2,3,1.35,1.35,1.14,0.38,0.97,14.43,6.5,4.0,6.0,1.48
8,BHA,1,1,0,0.0,2.0,1,3,1.69,1.69,1.80,1.8,-0.11,7.93,17.89,7.0,3.0,1.26
9,LEI,1,1,0,0.0,1.0,0,3,0.67,0.67,1.33,1.33,-0.66,11.5,20.26,6.0,7.0,0.78
10,TOT,1,1,0,0.0,1.0,0,3,1.06,1.06,2.11,2.11,-1.05,17.29,6.14,5.0,8.0,0.65
11,AVL,1,0,0,1.0,2.0,3,0,1.14,0.38,1.35,1.35,-0.97,6.5,14.43,6.0,4.0,1.20
12,BUR,1,0,0,1.0,1.0,2,0,1.80,1.80,1.69,1.69,0.11,17.89,7.93,3.0,7.0,1.46
13,MCI,1,0,0,1.0,0.0,1,0,2.11,2.11,1.06,1.06,1.05,6.14,17.29,8.0,5.0,2.13
14,WOL,1,0,0,1.0,0.0,1,0,1.33,1.33,0.67,0.67,0.66,20.26,11.5,7.0,6.0,1.95
15,NEW,1,0,0,1.0,2.0,4,0,1.68,1.68,3.01,2.09,-0.41,24.5,11.62,5.0,10.0,0.55
16,SOU,1,0,0,1.0,1.0,3,0,0.58,0.58,2.39,2.39,-1.81,5.59,6.87,6.0,4.0,0.25
17,ARS,1,0,0,1.0,0.0,2,0,1.02,1.02,1.89,1.89,-0.86,5.77,16.11,10.0,7.0,0.66
18,CRY,1,0,0,1.0,0.0,3,0,0.32,0.32,1.19,1.19,-0.87,71.0,6.6,3.0,14.0,0.51
19,NOR,1,0,0,1.0,0.0,3,0,1.33,1.33,1.79,1.79,-0.45,25.67,11.58,3.0,13.0,1.03
20,LEE,1,0,0,1.0,1.0,5,0,0.57,0.57,1.64,1.64,-1.07,7.24,12.59,3.0,8.0,0.55
