Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MCI,16,12,2.0,2.0,33.0,9,38,37.54,36.78,9.66,8.89,+27.89,9.13,22.15,208,61,37.96
2,LIV,16,11,4.0,1.0,45.0,12,37,42.49,40.96,14.28,14.28,+26.68,7.91,25.03,187,68,37.36
3,CHE,16,11,3.0,2.0,38.0,11,36,31.67,27.86,16.66,13.61,+14.25,9.25,12.89,160,67,30.84
4,WHU,16,8,4.0,4.0,28.0,19,28,24.95,22.51,19.96,19.96,+2.55,13.21,12.42,98,105,25.81
5,MUN,16,8,3.0,5.0,26.0,24,27,24.07,21.79,26.10,23.82,-2.03,12.42,11.97,124,89,21.58
6,ARS,16,8,2.0,6.0,21.0,22,26,22.62,20.99,25.41,24.65,-3.66,15.00,12.68,113,118,23.15
7,TOT,14,8,1.0,5.0,16.0,17,25,17.83,17.07,19.34,18.57,-1.50,12.27,10.74,76,107,19.24
8,LEI,16,6,4.0,6.0,27.0,27,22,21.72,20.96,25.37,23.08,-2.12,10.97,10.89,112,113,19.67
9,WOL,16,6,3.0,7.0,12.0,14,21,17.79,17.79,22.36,19.32,-1.53,14.74,10.04,76,123,20.15
10,BRE,16,5,5.0,6.0,21.0,22,20,23.13,20.85,19.35,18.58,+2.26,10.06,10.05,95,98,25.69
11,BHA,15,4,8.0,3.0,14.0,16,20,18.22,15.93,18.25,16.73,-0.80,8.88,14.87,114,91,20.86
12,CRY,16,4,7.0,5.0,22.0,22,19,21.17,19.65,16.89,16.13,+3.52,11.91,10.24,102,108,24.59
13,AVL,16,6,1.0,9.0,21.0,25,19,15.48,13.96,24.31,21.92,-7.96,12.73,7.99,98,118,16.20
14,EVE,16,5,3.0,8.0,20.0,28,18,21.02,18.73,24.15,23.39,-4.66,13.45,8.57,89,111,20.64
15,LEE,16,3,7.0,6.0,17.0,25,16,20.66,18.38,26.00,23.71,-5.33,6.92,12.24,96,100,19.91
16,SOU,16,3,7.0,6.0,14.0,24,16,20.16,18.64,23.52,23.52,-4.88,9.90,9.38,100,104,20.66
17,WAT,16,4,1.0,11.0,21.0,31,13,18.16,16.63,30.77,28.49,-11.85,13.12,8.24,69,158,14.85
18,BUR,15,1,8.0,6.0,14.0,21,11,15.35,15.35,24.17,24.17,-8.82,12.98,9.95,73,132,14.23
19,NEW,16,1,7.0,8.0,17.0,34,10,16.19,15.42,29.57,24.85,-9.43,14.79,7.69,64,135,13.17
20,NOR,16,2,4.0,10.0,8.0,32,10,14.29,12.76,28.39,25.35,-12.58,14.35,9.90,85,133,13.35
