Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Rüdiger,CHE,4.6,DEF,3.2%,4.7,44.0,810.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,209.0,158.2,38.4,83.0,28.0,4.7,0.0,1.0,9.6,4.9,261987.0,175383.0,-4.0,4.0,9,0.0,0.27,0.27,0.18,2.79,2.73,0.03,0.03,0.02,0.05,0.05,0.31,0.3,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Hudson-Odoi,CHE,5.7,MID,0.8%,3.2,45.0,742.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,185.0,209.2,311.3,259.0,78.0,3.2,0.0,0.6,7.9,3.0,111359.0,90735.0,-3.0,3.0,15,2.0,0.97,0.97,2.01,4.34,2.74,0.12,0.12,0.24,0.36,0.36,0.53,0.33,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Christensen,CHE,4.7,DEF,0.2%,1.5,11.0,639.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.0,130.4,5.9,20.0,15.7,1.5,0.0,0.3,2.3,1.4,12091.0,26969.0,-3.0,3.0,8,0.0,0.05,0.05,0.0,3.85,3.85,0.01,0.01,0.0,0.01,0.01,0.54,0.54,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Giroud,CHE,6.7,FWD,1.2%,2.2,42.0,637.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,137.0,158.4,105.2,348.0,61.3,2.2,1.0,0.3,6.3,3.2,243956.0,273774.0,-3.0,3.0,13,4.0,3.88,3.88,1.18,3.92,1.42,0.54,0.54,0.16,0.7,0.7,0.55,0.2,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Ziyech,CHE,7.9,MID,2.1%,0.5,40.0,627.0,1.0,3.0,5.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,138.0,155.2,278.4,177.0,61.2,0.5,2.0,0.1,5.1,3.6,1671726.0,1730117.0,-1.0,1.0,11,1.0,0.75,0.75,3.05,3.56,1.78,0.11,0.11,0.43,0.54,0.54,0.5,0.25,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Alonso,CHE,5.7,DEF,3.2%,4.7,30.0,523.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,123.0,125.0,89.5,180.0,39.4,4.7,1.0,0.8,5.3,4.3,228109.0,237541.0,-3.0,3.0,7,1.0,0.71,0.71,0.61,2.36,1.67,0.12,0.12,0.1,0.23,0.23,0.4,0.29,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Caballero,CHE,4.6,GKP,0.2%,0.0,1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2,1.0,5553.0,21262.0,-4.0,4.0,1,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Tomori,CHE,4.7,DEF,0.2%,0.0,0.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.6,0.1,0.0,2.7,0.0,0.0,0.0,0.0,0.0,8098.0,26396.0,-3.0,3.0,1,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.15,0.15,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Gilmour,CHE,4.4,MID,0.1%,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.4,3.0,0.0,1.5,0.0,0.0,0.0,0.5,1.0,10035.0,16145.0,-1.0,1.0,2,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.55,0.55,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
Arrizabalaga,CHE,4.7,GKP,0.6%,1.5,15.0,360.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,69.0,78.2,0.0,0.0,7.7,1.5,0.0,0.3,3.2,3.8,46662.0,170393.0,-3.0,3.0,4,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.03,4,24,12,6,6.0,40.0,24,42,41.2,35.87,21.85,20.33,15.54,9.01,18.12,204.0,117.0,45.82
