Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Amartey,LEI,3.9,DEF,0.9%,0.2,4.0,278.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,41.6,3.1,6.0,5.1,0.2,0.0,0.1,1.0,0.8,79819.0,127468.0,-1.0,1.0,5,0.0,0.05,0.05,0.0,0.56,0.56,0.02,0.02,0.0,0.02,0.02,0.18,0.18,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Thomas,LEI,4.2,DEF,0.2%,0.0,4.0,270.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,35.8,18.5,13.0,6.6,0.0,0.0,0.0,1.0,1.0,11331.0,31778.0,-3.0,3.0,4,0.0,0.06,0.06,0.03,0.14,0.08,0.02,0.02,0.01,0.03,0.03,0.05,0.03,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Pereira,LEI,5.9,DEF,0.3%,2.2,13.0,246.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49.6,19.4,21.0,8.9,2.2,0.0,0.4,2.2,3.2,28358.0,18382.0,-1.0,1.0,4,0.0,0.03,0.03,0.08,1.24,1.16,0.01,0.01,0.03,0.04,0.04,0.45,0.43,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Ünder,LEI,5.7,MID,0.0%,0.3,15.0,236.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,70.8,81.9,88.0,24.1,0.3,0.0,0.1,2.6,1.9,14457.0,14310.0,-3.0,3.0,8,0.0,0.25,0.25,1.66,2.58,0.91,0.1,0.1,0.67,0.77,0.77,1.04,0.37,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Choudhury,LEI,4.7,MID,0.1%,1.0,8.0,219.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,28.0,10.3,3.0,4.1,1.0,0.0,0.2,1.7,1.6,2988.0,6776.0,-3.0,3.0,5,0.0,0.03,0.03,0.0,1.83,1.83,0.01,0.01,0.0,0.01,0.01,0.75,0.75,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Slimani,LEI,4.9,FWD,0.1%,0.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,11.7,6.0,1.8,0.0,0.0,0.0,0.2,1.0,11121.0,11155.0,-1.0,1.0,1,0.0,0.1,0.1,0.08,0.18,0.0,0.53,0.53,0.41,0.94,0.94,0.94,0.0,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Gray,LEI,5.1,MID,0.1%,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.3,3.0,0.5,0.0,0.0,0.0,0.2,1.0,2724.0,13987.0,-4.0,4.0,1,0.0,0.06,0.06,0.0,0.03,0.03,0.31,0.31,0.0,0.31,0.31,0.14,0.14,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Morgan,LEI,4.4,DEF,0.1%,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.1,0.0,0.3,0.0,0.0,0.0,0.7,1.0,9394.0,14183.0,-1.0,1.0,3,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
James,LEI,4.3,MID,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29808.0,56569.0,-2.0,2.0,21,6.0,2.59,2.59,3.6,7.65,4.21,0.16,0.16,0.22,0.37,0.37,0.46,0.25,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
James,LEI,4.3,MID,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29808.0,56569.0,-2.0,2.0,23,2.0,1.52,1.52,2.06,7.67,5.51,0.07,0.07,0.09,0.16,0.16,0.33,0.24,3,23,13,4,6.0,39.0,25,43,34.29,26.68,26.69,25.93,0.75,11.07,12.71,145.0,120.0,37.62
Westwood,BUR,5.3,MID,0.6%,2.5,62.0,1970.0,1.0,3.0,7.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,338.0,308.4,474.8,76.0,85.9,2.5,0.0,0.5,11.7,2.8,56684.0,79820.0,-2.0,2.0,22,1.0,0.17,0.17,4.85,5.89,3.4,0.01,0.01,0.22,0.23,0.23,0.27,0.16,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Pope,BUR,5.5,GKP,14.6%,3.8,102.0,1890.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,85.0,17.0,447.0,634.2,10.0,0.0,64.4,3.8,2.0,0.7,18.5,4.9,804912.0,873814.0,0.0,0.0,21,0.0,0.0,0.0,0.05,0.89,0.84,0.0,0.0,0.0,0.0,0.0,0.04,0.04,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Tarkowski,BUR,5.3,DEF,2.8%,2.2,61.0,1800.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,285.0,395.8,73.5,211.0,68.5,2.2,0.0,0.4,11.5,3.0,160255.0,355744.0,-2.0,2.0,20,0.0,1.93,1.93,0.34,1.81,1.62,0.1,0.1,0.02,0.11,0.11,0.09,0.08,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
McNeil,BUR,5.7,MID,0.5%,3.8,58.0,1686.0,1.0,2.0,7.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,243.0,290.8,359.6,116.0,76.9,3.8,0.0,0.7,10.2,2.9,36500.0,64029.0,-3.0,3.0,20,1.0,0.52,0.52,1.85,3.24,1.62,0.03,0.03,0.1,0.13,0.13,0.17,0.09,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Wood,BUR,6.2,FWD,1.0%,2.3,63.0,1680.0,4.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,146.0,212.8,177.8,515.0,89.7,2.3,0.0,0.4,10.2,3.1,264463.0,356083.0,-3.0,3.0,20,4.0,6.31,6.31,0.99,7.46,0.94,0.33,0.33,0.05,0.39,0.39,0.4,0.05,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Lowton,BUR,4.5,DEF,2.3%,2.2,54.0,1620.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,268.0,258.4,110.3,56.0,42.6,2.2,0.0,0.5,12.0,3.0,276413.0,110690.0,0.0,0.0,18,0.0,0.16,0.16,0.55,2.45,1.98,0.01,0.01,0.03,0.04,0.04,0.14,0.11,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Brownhill,BUR,4.9,MID,0.0%,1.0,41.0,1575.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,222.0,156.5,194.0,57.4,1.0,0.0,0.2,8.4,2.3,7322.0,8569.0,-1.0,1.0,18,0.0,0.78,0.78,0.57,2.68,2.1,0.04,0.04,0.03,0.08,0.08,0.15,0.12,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Mee,BUR,5.0,DEF,4.8%,3.2,69.0,1440.0,2.0,0.0,6.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,288.0,411.2,25.5,161.0,60.1,3.2,1.0,0.6,13.8,4.3,452959.0,134509.0,0.0,0.0,16,2.0,1.0,1.0,0.25,0.68,0.65,0.06,0.06,0.02,0.08,0.08,0.04,0.04,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Taylor,BUR,4.4,DEF,1.8%,0.2,52.0,1316.0,0.0,2.0,5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,257.0,264.2,137.0,35.0,43.6,0.2,0.0,0.0,11.8,3.2,592996.0,803567.0,-1.0,1.0,16,0.0,0.1,0.1,0.44,1.98,1.61,0.01,0.01,0.03,0.04,0.04,0.14,0.11,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Barnes,BUR,6.0,FWD,0.8%,1.7,37.0,1110.0,2.0,0.0,5.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,73.0,111.4,195.5,397.0,69.9,1.7,0.0,0.3,6.2,2.3,86420.0,48345.0,0.0,0.0,16,1.0,2.85,2.08,0.67,3.61,1.16,0.23,0.17,0.05,0.28,0.22,0.29,0.09,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Brady,BUR,5.0,MID,0.1%,1.3,41.0,958.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,147.0,161.8,129.3,163.0,45.5,1.3,0.0,0.3,8.2,2.7,12881.0,14732.0,0.0,0.0,15,1.0,0.69,0.69,0.91,2.41,1.31,0.06,0.06,0.08,0.15,0.15,0.22,0.12,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Pieters,BUR,4.3,DEF,0.9%,2.8,37.0,935.0,0.0,2.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,160.0,146.4,48.1,48.0,24.2,2.8,0.0,0.7,8.6,2.5,97348.0,115804.0,-2.0,2.0,15,0.0,0.14,0.14,0.14,1.18,1.03,0.01,0.01,0.01,0.03,0.03,0.11,0.1,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Rodriguez,BUR,5.8,FWD,0.3%,1.0,24.0,756.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,46.6,59.4,136.0,23.6,1.0,0.0,0.2,4.1,1.4,20789.0,58463.0,-2.0,2.0,17,0.0,0.49,0.49,0.78,1.68,0.44,0.06,0.06,0.09,0.15,0.15,0.2,0.05,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Long,BUR,4.3,DEF,0.2%,0.0,11.0,540.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,76.0,94.2,11.5,16.0,12.2,0.0,0.0,0.0,2.6,1.8,11990.0,19887.0,-2.0,2.0,6,0.0,0.09,0.09,0.02,0.43,0.43,0.02,0.02,0.0,0.02,0.02,0.07,0.07,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Vydra,BUR,4.8,FWD,0.7%,1.2,17.0,455.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,22.2,67.7,181.0,26.5,1.2,0.0,0.3,3.5,1.2,108895.0,119178.0,-2.0,2.0,14,0.0,1.53,1.53,0.99,1.77,0.32,0.31,0.31,0.2,0.52,0.52,0.36,0.07,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Cork,BUR,5.0,MID,0.0%,1.2,7.0,295.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.6,15.6,38.0,7.7,1.2,0.0,0.2,1.4,1.8,10736.0,11256.0,0.0,0.0,4,0.0,0.16,0.16,0.01,0.45,0.33,0.05,0.05,0.0,0.05,0.05,0.14,0.1,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Bardsley,BUR,4.4,DEF,0.2%,0.0,1.0,270.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,31.4,12.9,6.0,5.1,0.0,0.0,0.0,0.2,0.3,12501.0,42275.0,-1.0,1.0,3,0.0,0.06,0.06,0.0,0.13,0.1,0.02,0.02,0.0,0.02,0.02,0.04,0.03,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Benson,BUR,4.5,MID,0.0%,0.2,10.0,260.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,7.9,13.0,3.7,0.2,0.0,0.0,2.2,1.7,3963.0,3465.0,0.0,0.0,6,0.0,0.2,0.2,0.0,0.16,0.13,0.07,0.07,0.0,0.07,0.07,0.06,0.05,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Stephens,BUR,4.2,MID,3.6%,0.0,7.0,248.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,28.8,8.2,41.0,7.8,0.0,0.0,0.0,1.7,1.2,339218.0,972259.0,-3.0,3.0,6,0.0,0.08,0.08,0.0,0.24,0.16,0.03,0.03,0.0,0.03,0.03,0.09,0.06,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Dunne,BUR,3.8,DEF,4.4%,0.0,8.0,180.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,66.2,21.2,38.0,12.6,0.0,0.0,0.0,2.1,4.0,949918.0,733481.0,-2.0,2.0,2,1.0,0.22,0.22,0.1,0.1,0.04,0.11,0.11,0.05,0.16,0.16,0.05,0.02,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Peacock-Farrell,BUR,4.0,GKP,1.3%,0.0,0.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,6.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,81701.0,82864.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Mumbongo,BUR,4.5,FWD,0.0%,0.2,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.1,0.2,0.0,0.0,0.2,0.5,3296.0,1909.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Gudmundsson,BUR,5.4,MID,0.1%,2.3,25.0,637.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,82.0,85.2,70.4,78.0,23.4,2.3,0.0,0.4,4.6,2.3,14092.0,15314.0,-1.0,1.0,11,1.0,0.63,0.63,0.23,1.03,0.32,0.09,0.09,0.03,0.12,0.12,0.15,0.05,17,22,6,5,11.0,14.0,29,23,18.01,17.25,33.08,30.8,-13.54,13.93,9.52,116.0,210.0,19.52
Areola,FUL,4.5,GKP,3.5%,3.9,77.0,1890.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,77.0,7.0,391.0,567.0,0.0,0.0,56.5,3.9,1.0,0.9,17.1,3.7,345696.0,203842.0,0.0,0.0,21,0.0,0.0,0.0,0.0,1.39,1.39,0.0,0.0,0.0,0.0,0.0,0.07,0.07,18,22,2,9,11.0,17.0,31,15,24.52,20.71,35.54,31.73,-11.02,13.61,10.14,117.0,142.0,24.07
Adarabioyo,FUL,4.5,DEF,0.5%,2.7,57.0,1620.0,0.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,309.0,372.6,31.6,132.0,53.9,2.7,1.0,0.6,12.7,3.2,63718.0,33190.0,0.0,0.0,18,0.0,1.4,1.4,0.05,2.91,2.85,0.08,0.08,0.0,0.08,0.08,0.16,0.16,18,22,2,9,11.0,17.0,31,15,24.52,20.71,35.54,31.73,-11.02,13.61,10.14,117.0,142.0,24.07
Aina,FUL,4.5,DEF,0.4%,1.6,53.0,1594.0,1.0,0.0,4.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,271.0,297.6,133.7,54.0,48.4,1.6,1.0,0.4,11.8,2.9,76655.0,52968.0,0.0,0.0,18,1.0,0.37,0.37,0.31,4.83,4.43,0.02,0.02,0.02,0.04,0.04,0.27,0.25,18,22,2,9,11.0,17.0,31,15,24.52,20.71,35.54,31.73,-11.02,13.61,10.14,117.0,142.0,24.07
Lookman,FUL,5.0,MID,1.3%,3.1,65.0,1570.0,3.0,3.0,5.0,19.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,221.0,355.0,454.9,587.0,139.7,3.1,0.0,0.6,13.0,3.4,295210.0,207740.0,0.0,0.0,19,3.0,4.58,3.82,3.54,10.53,4.79,0.26,0.22,0.2,0.46,0.42,0.6,0.27,18,22,2,9,11.0,17.0,31,15,24.52,20.71,35.54,31.73,-11.02,13.61,10.14,117.0,142.0,24.07
Robinson,FUL,4.4,DEF,0.2%,1.1,39.0,1471.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,271.0,316.6,343.6,130.0,79.3,1.1,0.0,0.2,8.9,2.3,29457.0,26474.0,-1.0,1.0,17,0.0,0.33,0.33,1.61,5.89,4.7,0.02,0.02,0.1,0.12,0.12,0.36,0.29,18,22,2,9,11.0,17.0,31,15,24.52,20.71,35.54,31.73,-11.02,13.61,10.14,117.0,142.0,24.07
