Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Walker,MCI,6.1,DEF,5.0%,0.6,72.0,1379.0,1.0,1.0,7.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,297.0,238.8,147.3,77.0,46.3,0.6,2.0,0.1,11.8,4.2,994210.0,1112216.0,1.0,-1.0,17,1.0,0.19,0.19,0.47,5.72,5.36,0.01,0.01,0.03,0.04,0.04,0.37,0.35,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Jesus,MCI,9.2,FWD,3.5%,3.1,67.0,1226.0,4.0,4.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,237.0,247.4,245.6,465.0,95.8,3.1,0.0,0.3,7.3,3.7,884371.0,775866.0,-3.0,3.0,18,4.0,4.95,4.95,1.91,9.86,3.9,0.37,0.37,0.14,0.51,0.51,0.73,0.29,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Foden,MCI,6.1,MID,10.4%,4.0,95.0,1224.0,6.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,332.0,398.2,414.8,566.0,138.0,4.0,3.0,0.7,15.6,4.8,2404490.0,1947005.0,-4.0,4.0,20,6.0,4.08,4.08,3.9,9.38,3.45,0.3,0.3,0.29,0.58,0.58,0.69,0.25,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Zinchenko,MCI,5.5,DEF,0.7%,2.7,54.0,910.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,237.0,163.2,131.8,68.0,36.4,2.7,1.0,0.5,9.8,4.5,64277.0,48034.0,0.0,0.0,12,0.0,0.35,0.35,0.3,4.96,4.55,0.03,0.03,0.03,0.06,0.06,0.49,0.45,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Torres,MCI,6.9,MID,0.8%,0.4,47.0,797.0,2.0,3.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.0,141.4,136.7,330.0,60.7,0.4,0.0,0.1,6.8,3.1,254517.0,289786.0,-1.0,1.0,15,2.0,2.73,2.73,1.53,6.31,2.36,0.3,0.3,0.17,0.48,0.48,0.7,0.26,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Laporte,MCI,6.0,DEF,2.2%,2.1,34.0,758.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,159.0,124.4,42.3,45.0,21.2,2.1,0.0,0.4,5.7,3.8,163144.0,372575.0,0.0,0.0,9,0.0,0.21,0.21,0.31,3.6,3.6,0.02,0.02,0.04,0.06,0.06,0.43,0.43,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Mendy,MCI,5.9,DEF,1.2%,0.0,24.0,504.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,96.0,72.8,40.2,35.0,14.6,0.0,1.0,0.0,4.1,4.0,168652.0,236357.0,-1.0,1.0,6,1.0,0.15,0.15,0.06,1.33,1.18,0.03,0.03,0.01,0.04,0.04,0.24,0.21,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Aké,MCI,5.4,DEF,2.4%,0.0,21.0,469.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,97.0,108.0,35.5,23.0,16.6,0.0,0.0,0.0,3.9,3.5,261946.0,623344.0,-1.0,1.0,6,1.0,0.4,0.4,0.02,2.75,2.74,0.08,0.08,0.0,0.08,0.08,0.53,0.53,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Garcia,MCI,4.7,DEF,0.2%,0.0,3.0,200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,22.7,1.0,6.0,0.0,0.0,0.0,0.6,1.0,11515.0,25445.0,-3.0,3.0,3,0.0,0.01,0.01,0.01,0.43,0.41,0.01,0.01,0.0,0.01,0.01,0.19,0.19,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Agüero,MCI,10.3,FWD,1.2%,0.3,8.0,200.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.8,53.4,71.0,12.8,0.3,0.0,0.0,0.8,1.3,301938.0,505504.0,-2.0,2.0,6,0.0,0.86,0.86,0.73,1.76,0.52,0.39,0.39,0.33,0.71,0.71,0.79,0.23,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Steffen,MCI,4.4,GKP,0.1%,0.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.6,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,24214.0,22022.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Delap,MCI,4.3,FWD,1.0%,0.0,1.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,0.0,0.0,0.0,0.2,1.0,273516.0,230881.0,-2.0,2.0,1,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
Rodrigo,MCI,5.3,MID,0.4%,2.4,63.0,1903.0,1.0,1.0,10.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,362.0,424.0,354.1,219.0,99.8,2.4,0.0,0.5,11.9,2.6,48618.0,66768.0,-2.0,2.0,24,0.0,1.7,0.94,1.84,15.63,14.25,0.08,0.04,0.09,0.17,0.13,0.74,0.67,1,26,19,5,2.0,52.0,16,62,52.54,47.21,19.4,15.59,31.62,10.66,21.2,271.0,94.0,57.66
