Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Fernandes,MUN,11.5,MID,57.0%,7.4,206.0,2375.0,16.0,12.0,11.0,27.0,0.0,0.0,1.0,5.0,0.0,0.0,32.0,722.0,1083.2,1142.0,920.0,314.7,7.4,9.0,0.6,17.9,7.4,5446980.0,2425858.0,10.0,-10.0
Martínez,AVL,5.4,GKP,40.2%,6.6,149.0,2340.0,0.0,0.0,14.0,27.0,0.0,1.0,0.0,0.0,0.0,95.0,23.0,615.0,713.4,20.0,0.0,73.1,6.6,2.0,1.2,27.6,5.7,3675433.0,1230489.0,9.0,-9.0
Watkins,AVL,6.6,FWD,26.6%,2.6,113.0,2340.0,10.0,5.0,14.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,358.0,566.8,429.0,1232.0,222.3,2.6,3.0,0.4,17.1,4.3,3688191.0,1736266.0,6.0,-6.0
Tarkowski,BUR,5.3,DEF,2.8%,3.5,82.0,2340.0,0.0,0.0,9.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,390.0,514.8,87.8,258.0,86.6,3.5,1.0,0.7,15.5,3.2,230372.0,419819.0,-2.0,2.0
Meslier,LEE,4.6,GKP,5.6%,5.3,111.0,2340.0,0.0,0.0,8.0,45.0,1.0,1.0,0.0,0.0,0.0,102.0,16.0,572.0,754.8,10.0,0.0,76.7,5.3,4.0,1.2,24.1,4.3,828238.0,530454.0,1.0,-1.0
Wan-Bissaka,MUN,5.6,DEF,17.3%,4.4,115.0,2340.0,2.0,3.0,11.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,551.0,577.4,300.0,124.0,100.0,4.4,1.0,0.8,20.5,4.4,1642771.0,1225737.0,1.0,-1.0
Neto,WOL,5.7,MID,7.5%,3.3,116.0,2338.0,5.0,7.0,9.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,458.0,564.4,934.4,679.0,217.9,3.3,1.0,0.6,20.4,4.1,2072997.0,1594261.0,2.0,-2.0
Son,TOT,9.6,MID,55.1%,5.5,178.0,2336.0,13.0,9.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,591.0,811.8,738.6,771.0,232.5,5.5,7.0,0.6,18.5,6.6,7194266.0,5288796.0,6.0,-6.0
Bednarek,SOU,4.9,DEF,6.7%,1.8,87.0,2335.0,1.0,1.0,9.0,41.0,1.0,0.0,0.0,3.0,1.0,0.0,11.0,476.0,520.8,58.8,139.0,71.9,1.8,2.0,0.4,17.8,3.2,1396943.0,1119056.0,4.0,-4.0
Bamford,LEE,6.8,FWD,51.8%,3.3,144.0,2325.0,13.0,8.0,8.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,472.0,630.8,235.1,1181.0,204.2,3.3,3.0,0.5,21.2,5.3,6898889.0,3588805.0,13.0,-13.0
Targett,AVL,5.0,DEF,14.0%,4.0,112.0,2324.0,0.0,3.0,15.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,516.0,429.8,315.3,92.0,83.8,4.0,2.0,0.8,22.4,4.3,1540007.0,535092.0,5.0,-5.0
Leno,ARS,5.0,GKP,6.7%,2.8,99.0,2321.0,0.0,0.0,8.0,27.0,0.0,1.0,0.0,0.0,1.0,65.0,8.0,475.0,528.4,0.0,0.0,52.9,2.8,2.0,0.6,19.8,3.8,842825.0,992149.0,0.0,0.0
White,BHA,4.4,DEF,2.3%,2.5,73.0,2292.0,0.0,0.0,8.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,414.0,344.2,126.4,87.0,56.0,2.5,0.0,0.6,16.6,2.8,242969.0,192457.0,-1.0,1.0
