Player,Count,Entries Number,Season,Gameweek
Rashford,9898,10050,23,29
Trippier,9836,10050,23,29
Toney,9303,10050,23,29
Mitoma,9073,10050,23,29
Kane,8860,10050,23,29
Watkins,8053,10050,23,29
Saka,7566,10050,23,29
Arrizabalaga,7533,10050,23,29
Raya,6990,10050,23,29
Chilwell,6179,10050,23,29
Estupiñán,5972,10050,23,29
Shaw,5549,10050,23,29
Maddison,5114,10050,23,29
March,4816,10050,23,29
Botman,4156,10050,23,29
Fernandes,4043,10050,23,29
Henry,3331,10050,23,29
Mee,3134,10050,23,29
Mac Allister,2898,10050,23,29
Martinelli,2615,10050,23,29
Zinchenko,2203,10050,23,29
Steele,1789,10050,23,29
Mings,1474,10050,23,29
Ødegaard,1380,10050,23,29
Salah,1327,10050,23,29
Havertz,1216,10050,23,29
White,1186,10050,23,29
Gabriel,1132,10050,23,29
Haaland,1120,10050,23,29
Schär,1084,10050,23,29
Pinnock,1028,10050,23,29
De Gea,1012,10050,23,29
Ward,936,10050,23,29
Isak,706,10050,23,29
Burn,544,10050,23,29
Castagne,486,10050,23,29
Pope,477,10050,23,29
Dunk,452,10050,23,29
Martínez,301,10050,23,29
James,300,10050,23,29
Iversen,289,10050,23,29
Zouma,268,10050,23,29
Barnes,254,10050,23,29
Bowen,254,10050,23,29
Tarkowski,243,10050,23,29
João Félix,194,10050,23,29
Alexander-Arnold,192,10050,23,29
Solanke,184,10050,23,29
Alisson,135,10050,23,29
Ings,124,10050,23,29
Mbeumo,120,10050,23,29
Jensen,116,10050,23,29
Darwin,114,10050,23,29
Navas,112,10050,23,29
Neto,111,10050,23,29
Veltman,95,10050,23,29
Ederson,94,10050,23,29
Koulibaly,93,10050,23,29
Ricardo,91,10050,23,29
Harrison,89,10050,23,29
Andreas,83,10050,23,29
Kilman,83,10050,23,29
Billing,81,10050,23,29
Ramsdale,78,10050,23,29
Álex Moreno,75,10050,23,29
Forster,72,10050,23,29
Robertson,70,10050,23,29
Benrahma,67,10050,23,29
Gakpo,65,10050,23,29
N.Williams,65,10050,23,29
Buendía,62,10050,23,29
Bueno,52,10050,23,29
Sánchez,50,10050,23,29
Cash,49,10050,23,29
Gibbs-White,49,10050,23,29
Leno,49,10050,23,29
Van Dijk,48,10050,23,29
Saliba,46,10050,23,29
W.Fofana,44,10050,23,29
Pickford,43,10050,23,29
Bailey,42,10050,23,29
Iheanacho,42,10050,23,29
Aké,41,10050,23,29
Ferguson,37,10050,23,29
Almirón,37,10050,23,29
Trossard,37,10050,23,29
Konsa,37,10050,23,29
Dier,34,10050,23,29
Johnson,34,10050,23,29
Enzo,33,10050,23,29
Badiashile,33,10050,23,29
Akanji,27,10050,23,29
