Player,Count,Entries Number,Season,Gameweek
Haaland,10007,10050,23,36
Trippier,9553,10050,23,36
Mitoma,9528,10050,23,36
Rashford,8856,10050,23,36
Salah,8780,10050,23,36
Estupiñán,7565,10050,23,36
Alexander-Arnold,7526,10050,23,36
Mac Allister,6657,10050,23,36
Isak,6415,10050,23,36
Wilson,5715,10050,23,36
Shaw,5533,10050,23,36
Arrizabalaga,5512,10050,23,36
Raya,4645,10050,23,36
Grealish,3767,10050,23,36
Botman,3453,10050,23,36
Fernandes,2844,10050,23,36
Steele,2578,10050,23,36
Greenwood,2488,10050,23,36
Mings,2357,10050,23,36
Ederson,2084,10050,23,36
Martinelli,2013,10050,23,36
De Gea,1783,10050,23,36
Henry,1539,10050,23,36
Mahrez,1482,10050,23,36
Stones,1443,10050,23,36
Kane,1408,10050,23,36
Watkins,1296,10050,23,36
Iversen,1276,10050,23,36
March,1057,10050,23,36
Mee,1016,10050,23,36
White,880,10050,23,36
Schär,772,10050,23,36
Solanke,754,10050,23,36
Saka,665,10050,23,36
Álvarez,651,10050,23,36
Ødegaard,644,10050,23,36
Willock,613,10050,23,36
Dalot,601,10050,23,36
Pinnock,569,10050,23,36
Dunk,548,10050,23,36
Andreas,497,10050,23,36
Zinchenko,493,10050,23,36
Gakpo,446,10050,23,36
Akanji,420,10050,23,36
Pope,411,10050,23,36
Toney,410,10050,23,36
Burn,407,10050,23,36
Álex Moreno,396,10050,23,36
Castagne,393,10050,23,36
Eze,386,10050,23,36
Ward,374,10050,23,36
Joelinton,365,10050,23,36
Dias,364,10050,23,36
Diogo Jota,355,10050,23,36
Aké,341,10050,23,36
Robertson,318,10050,23,36
De Bruyne,316,10050,23,36
Chilwell,316,10050,23,36
Lindelöf,303,10050,23,36
Gabriel,286,10050,23,36
Alisson,282,10050,23,36
Zouma,272,10050,23,36
Toti,242,10050,23,36
Coufal,239,10050,23,36
Foden,234,10050,23,36
Johnstone,232,10050,23,36
Martínez,226,10050,23,36
Guéhi,211,10050,23,36
Olise,190,10050,23,36
Enciso,185,10050,23,36
Konaté,184,10050,23,36
N.Williams,179,10050,23,36
Bueno,178,10050,23,36
Tarkowski,166,10050,23,36
Van Dijk,156,10050,23,36
Murphy,142,10050,23,36
Leno,137,10050,23,36
Maddison,137,10050,23,36
Wan-Bissaka,134,10050,23,36
Forster,134,10050,23,36
Groß,124,10050,23,36
Pedro Porro,123,10050,23,36
Martial,94,10050,23,36
Neto,92,10050,23,36
Jesus,88,10050,23,36
Mitchell,80,10050,23,36
Ferguson,79,10050,23,36
Navas,79,10050,23,36
Kilman,78,10050,23,36
Pickford,70,10050,23,36
Fabianski,56,10050,23,36
Ramsdale,54,10050,23,36
Kiwior,51,10050,23,36
Dasilva,50,10050,23,36
Edouard,43,10050,23,36
Walker,41,10050,23,36
Konsa,39,10050,23,36
Emerson,35,10050,23,36
Gibbs-White,35,10050,23,36
Welbeck,30,10050,23,36
