Player,Count,Entries Number,Season,Gameweek
Haaland,10031,10050,23,35
Trippier,9445,10050,23,35
Rashford,9387,10050,23,35
Mitoma,8934,10050,23,35
Salah,8508,10050,23,35
Alexander-Arnold,7026,10050,23,35
Watkins,6676,10050,23,35
Estupiñán,6587,10050,23,35
Arrizabalaga,5755,10050,23,35
March,5618,10050,23,35
Shaw,5180,10050,23,35
Raya,4704,10050,23,35
Botman,4205,10050,23,35
Grealish,4177,10050,23,35
Isak,3481,10050,23,35
Mac Allister,3178,10050,23,35
Steele,2907,10050,23,35
Fernandes,2790,10050,23,35
Greenwood,2731,10050,23,35
Mings,2472,10050,23,35
Martinelli,2105,10050,23,35
Kane,2059,10050,23,35
Ederson,1889,10050,23,35
Henry,1721,10050,23,35
De Gea,1699,10050,23,35
Stones,1445,10050,23,35
Iversen,1156,10050,23,35
Solanke,1114,10050,23,35
Mahrez,1053,10050,23,35
Mee,1015,10050,23,35
Toney,972,10050,23,35
White,926,10050,23,35
Diogo Jota,880,10050,23,35
Schär,843,10050,23,35
Saka,842,10050,23,35
Álvarez,815,10050,23,35
Dunk,704,10050,23,35
Pinnock,652,10050,23,35
Andreas,648,10050,23,35
Zinchenko,631,10050,23,35
Wilson,587,10050,23,35
Chilwell,561,10050,23,35
Dalot,552,10050,23,35
Gakpo,549,10050,23,35
Ødegaard,473,10050,23,35
Dias,472,10050,23,35
De Bruyne,464,10050,23,35
Robertson,443,10050,23,35
Burn,436,10050,23,35
Aké,425,10050,23,35
Álex Moreno,409,10050,23,35
Castagne,407,10050,23,35
Akanji,375,10050,23,35
Ward,365,10050,23,35
Pope,342,10050,23,35
Gabriel,341,10050,23,35
Zouma,267,10050,23,35
Alisson,251,10050,23,35
Maddison,250,10050,23,35
Martínez,248,10050,23,35
Lindelöf,244,10050,23,35
Eze,233,10050,23,35
Konaté,221,10050,23,35
Coufal,221,10050,23,35
Toti,214,10050,23,35
Van Dijk,212,10050,23,35
Johnstone,203,10050,23,35
Olise,188,10050,23,35
Foden,184,10050,23,35
Guéhi,178,10050,23,35
N.Williams,163,10050,23,35
Tarkowski,156,10050,23,35
Bueno,144,10050,23,35
Enciso,139,10050,23,35
Martial,126,10050,23,35
Leno,125,10050,23,35
Pedro Porro,117,10050,23,35
Wan-Bissaka,105,10050,23,35
Jesus,102,10050,23,35
Murphy,90,10050,23,35
Neto,83,10050,23,35
Joelinton,82,10050,23,35
Forster,81,10050,23,35
Mitchell,76,10050,23,35
Kilman,74,10050,23,35
Navas,73,10050,23,35
Pickford,69,10050,23,35
Ferguson,65,10050,23,35
Willock,61,10050,23,35
Darwin,55,10050,23,35
Fabianski,54,10050,23,35
Antonio,54,10050,23,35
Bowen,50,10050,23,35
Edouard,48,10050,23,35
Mbeumo,44,10050,23,35
Konsa,44,10050,23,35
Gibbs-White,44,10050,23,35
Ramsdale,40,10050,23,35
Walker,36,10050,23,35
Havertz,35,10050,23,35
Welbeck,34,10050,23,35
Emerson,34,10050,23,35
Jensen,33,10050,23,35
Ricardo,32,10050,23,35
W.Fofana,31,10050,23,35
Malacia,25,10050,23,35
Veltman,25,10050,23,35
Billing,24,10050,23,35
Andersen,24,10050,23,35
Sánchez,23,10050,23,35
Harrison,22,10050,23,35
Benrahma,21,10050,23,35
Johnson,21,10050,23,35
Son,21,10050,23,35
Cresswell,19,10050,23,35
Dasilva,17,10050,23,35
Holding,17,10050,23,35
Perišić,17,10050,23,35
Meslier,16,10050,23,35
Gnonto,16,10050,23,35
Webster,16,10050,23,35
Iheanacho,15,10050,23,35
Lewis,15,10050,23,35
Gündogan,15,10050,23,35
Keane,15,10050,23,35
Ings,14,10050,23,35
Ream,14,10050,23,35
Young,13,10050,23,35
Bailey,13,10050,23,35
Buendía,12,10050,23,35
Sá,12,10050,23,35
Ramsey,12,10050,23,35
Almirón,12,10050,23,35
Robinson,11,10050,23,35
Aguerd,11,10050,23,35
Renan Lodi,10,10050,23,35
Guaita,10,10050,23,35
James,10,10050,23,35
Senesi,10,10050,23,35
Lyle Taylor,9,10050,23,35
Zanka,9,10050,23,35
Barnes,9,10050,23,35
Dier,9,10050,23,35
Dawson,9,10050,23,35
Perraud,8,10050,23,35
S.Longstaff,7,10050,23,35
Groß,7,10050,23,35
Aurier,7,10050,23,35
Reed,7,10050,23,35
Rodri,7,10050,23,35
Paquetá,7,10050,23,35
Bernardo,6,10050,23,35
Rice,6,10050,23,35
Sabitzer,6,10050,23,35
Ayling,6,10050,23,35
Amartey,6,10050,23,35
Areola,6,10050,23,35
Vestergaard,6,10050,23,35
Douglas Luiz,6,10050,23,35
J.Ayew,6,10050,23,35
Faes,6,10050,23,35
Luis Díaz,6,10050,23,35
Madueke,5,10050,23,35
Cunha,5,10050,23,35
Vardy,5,10050,23,35
Cash,5,10050,23,35
Summerville,5,10050,23,35
Klaesson,5,10050,23,35
Tete,5,10050,23,35
Antony,5,10050,23,35
Buonanotte,4,10050,23,35
Badiashile,4,10050,23,35
Simms,4,10050,23,35
Ward-Prowse,4,10050,23,35
Vinícius,4,10050,23,35
Kehrer,4,10050,23,35
Sancho,4,10050,23,35
Patterson,4,10050,23,35
Turner,3,10050,23,35
Mykolenko,3,10050,23,35
McGinn,3,10050,23,35
Bruno Guimarães,3,10050,23,35
Olsen,3,10050,23,35
Willian,3,10050,23,35
João Félix,3,10050,23,35
Kiwior,3,10050,23,35
Ouattara,2,10050,23,35
Tanganga,2,10050,23,35
Ortega,2,10050,23,35
Davies,2,10050,23,35
Koulibaly,2,10050,23,35
Weghorst,2,10050,23,35
Neves,2,10050,23,35
Hennessey,2,10050,23,35
Wissa,2,10050,23,35
Jonny,2,10050,23,35
Worrall,2,10050,23,35
Smith,2,10050,23,35
Caballero,2,10050,23,35
Maguire,2,10050,23,35
Felipe,2,10050,23,35
Cairney,2,10050,23,35
Casemiro,2,10050,23,35
Enzo,2,10050,23,35
Bednarek,2,10050,23,35
Awoniyi,2,10050,23,35
Højbjerg,1,10050,23,35
Xhaka,1,10050,23,35
Ashby,1,10050,23,35
Digne,1,10050,23,35
Diego Costa,1,10050,23,35
McNeil,1,10050,23,35
Lloris,1,10050,23,35
Alcaraz,1,10050,23,35
Roerslev,1,10050,23,35
Walker-Peters,1,10050,23,35
Söyüncü,1,10050,23,35
Rodrigo,1,10050,23,35
Kelleher,1,10050,23,35
Heaton,1,10050,23,35
Henderson,1,10050,23,35
Souttar,1,10050,23,35
Colback,1,10050,23,35
Surridge,1,10050,23,35
Coleman,1,10050,23,35
Bazunu,1,10050,23,35
Hickey,1,10050,23,35
Tavernier,1,10050,23,35
Koch,1,10050,23,35
Tierney,1,10050,23,35
Trossard,1,10050,23,35
Saint-Maximin,1,10050,23,35
Azpilicueta,1,10050,23,35
Jones,1,10050,23,35
Darlow,1,10050,23,35
Ablade,1,10050,23,35
