Player,Count,Entries Number,Season,Gameweek
Haaland,9997,10050,23,33
Trippier,9810,10050,23,33
Watkins,8920,10050,23,33
Mitoma,8878,10050,23,33
Rashford,7577,10050,23,33
Arrizabalaga,6602,10050,23,33
Kane,6376,10050,23,33
Raya,6213,10050,23,33
March,5920,10050,23,33
Estupiñán,5691,10050,23,33
Grealish,4932,10050,23,33
Shaw,4796,10050,23,33
Saka,4689,10050,23,33
Botman,4373,10050,23,33
Martinelli,3998,10050,23,33
Salah,3860,10050,23,33
Chilwell,3247,10050,23,33
Fernandes,3039,10050,23,33
Mings,3025,10050,23,33
Henry,2948,10050,23,33
Alexander-Arnold,2560,10050,23,33
Mac Allister,2358,10050,23,33
Steele,2235,10050,23,33
Mee,1968,10050,23,33
Isak,1349,10050,23,33
White,1297,10050,23,33
Toney,1274,10050,23,33
Zinchenko,1202,10050,23,33
De Gea,1175,10050,23,33
Ødegaard,1045,10050,23,33
Schär,995,10050,23,33
Pinnock,932,10050,23,33
Ederson,875,10050,23,33
Diogo Jota,842,10050,23,33
Maddison,814,10050,23,33
Aké,807,10050,23,33
Iversen,779,10050,23,33
Gabriel,770,10050,23,33
Andreas,745,10050,23,33
Solanke,643,10050,23,33
Dunk,595,10050,23,33
Ward,539,10050,23,33
Burn,497,10050,23,33
Castagne,474,10050,23,33
Álex Moreno,466,10050,23,33
Pope,410,10050,23,33
Olise,366,10050,23,33
Gakpo,363,10050,23,33
Eze,359,10050,23,33
Martínez,354,10050,23,33
Stones,315,10050,23,33
Zouma,301,10050,23,33
De Bruyne,286,10050,23,33
Greenwood,274,10050,23,33
Robertson,248,10050,23,33
Mahrez,234,10050,23,33
Tarkowski,223,10050,23,33
Konaté,212,10050,23,33
Johnstone,211,10050,23,33
Guéhi,203,10050,23,33
N.Williams,191,10050,23,33
Dalot,182,10050,23,33
Alisson,172,10050,23,33
Toti,135,10050,23,33
Jesus,133,10050,23,33
James,131,10050,23,33
Van Dijk,129,10050,23,33
Coufal,129,10050,23,33
