Player,Count,Entries Number,Season,Gameweek
Haaland,10050,10050,23,23
Rashford,9995,10050,23,23
Trippier,9970,10050,23,23
Shaw,9028,10050,23,23
Kane,8343,10050,23,23
Ward,7651,10050,23,23
Saka,6010,10050,23,23
Ødegaard,5561,10050,23,23
Arrizabalaga,5401,10050,23,23
De Bruyne,5194,10050,23,23
Mahrez,4511,10050,23,23
Nketiah,4352,10050,23,23
White,4125,10050,23,23
Andreas,3982,10050,23,23
Martinelli,3895,10050,23,23
Bueno,3298,10050,23,23
Fernandes,3103,10050,23,23
Almirón,2890,10050,23,23
Mitoma,2815,10050,23,23
Saliba,2121,10050,23,23
Mitrović,1953,10050,23,23
Pope,1934,10050,23,23
Botman,1902,10050,23,23
Toney,1850,10050,23,23
N.Williams,1543,10050,23,23
Mee,1489,10050,23,23
Patterson,1427,10050,23,23
Gabriel,1172,10050,23,23
Aké,1060,10050,23,23
Ederson,1032,10050,23,23
Greenwood,1004,10050,23,23
Cucurella,899,10050,23,23
Akanji,857,10050,23,23
De Gea,833,10050,23,23
Schär,831,10050,23,23
Raya,829,10050,23,23
Lewis,828,10050,23,23
Castagne,799,10050,23,23
Gnonto,757,10050,23,23
Estupiñán,748,10050,23,23
Burn,596,10050,23,23
March,544,10050,23,23
Perišić,543,10050,23,23
Ramsdale,515,10050,23,23
Sánchez,473,10050,23,23
Zinchenko,464,10050,23,23
Ream,366,10050,23,23
Walker,349,10050,23,23
Kilman,339,10050,23,23
Thiago Silva,338,10050,23,23
Tarkowski,334,10050,23,23
Ferguson,333,10050,23,23
Dunk,323,10050,23,23
Mings,293,10050,23,23
James,287,10050,23,23
Salah,280,10050,23,23
Martínez,279,10050,23,23
Darwin,276,10050,23,23
Robertson,249,10050,23,23
Leno,246,10050,23,23
Aurier,227,10050,23,23
Stones,220,10050,23,23
Wilson,210,10050,23,23
Mbeumo,206,10050,23,23
Cancelo,180,10050,23,23
Iversen,175,10050,23,23
Grealish,160,10050,23,23
Bailey,157,10050,23,23
Wan-Bissaka,152,10050,23,23
Havertz,144,10050,23,23
Forster,143,10050,23,23
Perraud,141,10050,23,23
Dasilva,138,10050,23,23
Doherty,136,10050,23,23
Mudryk,123,10050,23,23
Guaita,120,10050,23,23
Digne,119,10050,23,23
Vestergaard,112,10050,23,23
Johnson,101,10050,23,23
Alexander-Arnold,99,10050,23,23
Dalot,99,10050,23,23
Alisson,96,10050,23,23
Varane,91,10050,23,23
B.Williams,86,10050,23,23
Tete,80,10050,23,23
Pickford,78,10050,23,23
Rodrigo,78,10050,23,23
Sá,76,10050,23,23
Henry,73,10050,23,23
Amartey,70,10050,23,23
Badiashile,69,10050,23,23
Dier,68,10050,23,23
Struijk,68,10050,23,23
Martial,67,10050,23,23
Coufal,66,10050,23,23
Meslier,62,10050,23,23
Weghorst,62,10050,23,23
Mount,58,10050,23,23
Toti,57,10050,23,23
Pinnock,57,10050,23,23
Zanka,57,10050,23,23
Gomez,55,10050,23,23
Šarkić,54,10050,23,23
Olsen,54,10050,23,23
Hennessey,52,10050,23,23
Azpilicueta,52,10050,23,23
Casemiro,52,10050,23,23
Groß,51,10050,23,23
Summerville,51,10050,23,23
Edouard,47,10050,23,23
Kulusevski,47,10050,23,23
Watkins,45,10050,23,23
Ward-Prowse,43,10050,23,23
Álex Moreno,43,10050,23,23
Adams,43,10050,23,23
Veltman,42,10050,23,23
Ortega,42,10050,23,23
Diop,42,10050,23,23
Robinson,41,10050,23,23
Solanke,40,10050,23,23
Henderson,40,10050,23,23
Bamford,39,10050,23,23
Andersen,38,10050,23,23
Emerson,36,10050,23,23
Aït-Nouri,35,10050,23,23
Álvarez,35,10050,23,23
Højbjerg,35,10050,23,23
Lyle Taylor,34,10050,23,23
João Félix,34,10050,23,23
Thomas,33,10050,23,23
Dawson,33,10050,23,23
Neves,32,10050,23,23
Ayling,31,10050,23,23
Laporte,30,10050,23,23
Mykolenko,30,10050,23,23
Archer,29,10050,23,23
Isak,29,10050,23,23
Xhaka,28,10050,23,23
Wöber,27,10050,23,23
Koulibaly,27,10050,23,23
Guéhi,25,10050,23,23
Tomkins,25,10050,23,23
Harrison,24,10050,23,23
Wilson-Esbrand,22,10050,23,23
Tanganga,22,10050,23,23
Moore,21,10050,23,23
Maddison,21,10050,23,23
Coady,20,10050,23,23
Gakpo,20,10050,23,23
Garnacho,20,10050,23,23
Renan Lodi,19,10050,23,23
Willian,19,10050,23,23
Pedro Porro,19,10050,23,23
Malacia,19,10050,23,23
Eze,18,10050,23,23
Steele,18,10050,23,23
Young,17,10050,23,23
Emerson Royal,17,10050,23,23
Rodri,16,10050,23,23
Chalobah,16,10050,23,23
Trossard,16,10050,23,23
Davies,16,10050,23,23
Turner,15,10050,23,23
Mitchell,15,10050,23,23
Cresswell,14,10050,23,23
Collins,14,10050,23,23
Faes,13,10050,23,23
Smith,13,10050,23,23
Bazunu,13,10050,23,23
Dennis,13,10050,23,23
Tsimikas,12,10050,23,23
Cash,12,10050,23,23
Worrall,12,10050,23,23
Cunha,12,10050,23,23
Bernardo,12,10050,23,23
Mac Allister,11,10050,23,23
Olise,11,10050,23,23
Ings,11,10050,23,23
Semedo,11,10050,23,23
Foden,11,10050,23,23
Begović,11,10050,23,23
Walker-Peters,10,10050,23,23
Adrián,10,10050,23,23
Gibbs-White,10,10050,23,23
Carson,10,10050,23,23
Lamptey,10,10050,23,23
