Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS
Ederson,21,29,WOL,MCI,1,6.1,GKP,9.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,10.0,0.0,45.2,3.3,0.0,0.5,21.1,4.4,4681.0,22270.0,1.0,-1.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.2,0.19,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Bernardo Silva,21,29,WOL,MCI,1,7.4,MID,1.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.2,359.8,414.0,109.6,1.5,0.0,0.2,10.0,3.4,1029.0,7743.0,-1.0,1.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.35,0.35,0.75,0.47,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Fernandinho,21,29,WOL,MCI,1,5.4,DEF,0.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.2,93.5,58.0,28.9,1.8,0.0,0.3,7.2,2.6,88.0,335.0,-1.0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.06,0.13,0.13,0.61,0.59,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Dias,21,29,WOL,MCI,1,6.1,DEF,23.9,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.8,74.5,187.0,81.0,4.5,0.0,0.7,20.8,4.7,17516.0,68871.0,6.0,-6.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.07,0.55,0.55,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Sterling,21,29,WOL,MCI,1,11.4,MID,6.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.2,472.6,1155.0,220.1,2.0,0.0,0.2,11.6,5.3,3298.0,102979.0,-1.0,1.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.42,0.22,0.67,0.64,0.91,0.45,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Cancelo,21,29,WOL,MCI,1,6.1,DEF,20.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,582.6,336.0,138.1,3.3,0.0,0.5,20.0,5.3,7696.0,120407.0,6.0,-6.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.22,0.3,0.3,0.71,0.56,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
De Bruyne,21,29,WOL,MCI,1,11.9,MID,18.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,1033.5,886.0,259.6,4.8,0.0,0.4,10.5,5.4,57187.0,89048.0,4.0,-4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.37,0.47,0.95,0.84,0.98,0.49,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Gündogan,21,29,WOL,MCI,1,6.1,MID,35.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.6,544.0,609.0,181.2,3.2,0.0,0.5,23.3,6.2,40071.0,235765.0,6.0,-6.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.36,0.17,0.61,0.53,0.88,0.45,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Mahrez,21,29,WOL,MCI,1,8.1,MID,7.1,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.2,610.0,748.0,190.7,7.3,0.0,0.9,15.9,5.6,39085.0,53706.0,-4.0,4.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.29,0.56,0.56,0.88,0.41,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
Stones,21,29,WOL,MCI,1,5.3,DEF,22.7,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.8,56.7,164.0,67.5,5.2,0.0,1.0,23.0,6.8,20385.0,76529.0,3.0,-3.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.13,0.51,0.5,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.9655172413793104,1.3103448275862069,1.206896551724138,1.0562068965517242,0.9513793103448276,1.383448275862069,1.1996551724137932,-0.2482758620689655,0.5137931034482759,0.3820689655172414,3.5517241379310347,7.413793103448276,1.1868965517241379
