Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Johnstone,WBA,4.5,GKP,1.30%,4.8,41,900,0,0,2,18,0,0,0,0,0,44,7,205,308.0,0.0,0,30.8,4.8,1,1.1,9.1,4.1,85874,51789,0,0
Fabianski,WHU,5.1,GKP,3.90%,9.0,53,900,0,0,4,11,0,1,0,0,0,30,8,211,226.2,0.0,0,22.7,9.0,1,1.8,10.4,5.3,216322,84142,1,-1
Cresswell,WHU,5.2,DEF,10.80%,5.0,47,900,0,3,4,11,0,0,0,0,0,0,6,234,250.4,290.0,9,55.0,5.0,1,1.0,9.0,4.7,862326,210673,2,-2
Rice,WHU,4.8,MID,2.60%,2.7,23,900,0,0,4,11,0,0,0,1,0,0,0,144,146.6,114.4,61,32.4,2.7,0,0.6,4.8,2.3,82792,237425,-2,2
Soucek,WHU,4.9,MID,3.40%,4.7,32,900,1,1,4,11,0,0,0,1,0,0,1,88,145.0,66.2,242,45.3,4.7,1,1.0,6.5,3.2,204723,336850,-1,1
Patrício,WOL,5.5,GKP,7.30%,4.7,44,900,0,0,4,11,0,1,0,0,0,22,3,188,186.6,0.0,0,18.5,4.7,0,0.9,8.0,4.4,309314,254012,0,0
Boly,WOL,5.5,DEF,2.70%,1.7,34,900,0,0,4,11,0,0,0,1,0,0,2,173,161.6,18.5,34,21.4,1.7,0,0.3,6.2,3.4,129456,117920,0,0
Aubameyang,ARS,11.6,MID,10.70%,3.8,35,896,2,1,3,12,0,0,0,2,0,0,1,117,139.6,163.5,251,55.4,3.8,0,0.3,3.0,3.5,458374,2852541,-4,4
Kane,TOT,10.9,FWD,42.90%,5.2,86,893,7,9,4,8,0,0,0,1,0,0,12,319,481.6,252.5,491,122.7,5.2,3,0.5,7.9,8.6,2799386,941314,4,-4
Kanté,CHE,4.9,MID,3.40%,3.7,27,892,0,1,5,10,0,0,0,1,0,0,0,160,170.4,111.2,19,30.2,3.7,0,0.8,5.5,2.7,152805,264454,-1,1
Dallas,LEE,4.5,DEF,6.20%,4.8,38,890,1,1,4,16,0,0,0,3,0,0,2,197,198.8,120.6,135,45.5,4.8,0,1.1,8.4,3.8,406431,272092,0,0
White,BHA,4.4,DEF,1.20%,2.5,21,888,0,0,2,16,0,0,0,2,0,0,0,144,164.0,55.6,10,23.1,2.5,0,0.6,4.8,2.1,51869,82211,-1,1
Ayling,LEE,4.5,DEF,3.80%,2.8,28,879,0,0,4,17,0,0,0,2,0,0,1,183,222.0,169.3,92,48.4,2.8,0,0.6,6.2,2.8,230142,226829,0,0
Calvert-Lewin,EVE,7.9,FWD,61.00%,7.0,72,878,10,1,1,17,0,0,0,1,0,0,10,288,393.2,116.2,540,104.9,7.0,2,0.9,9.1,7.2,4301120,734010,9,-9
Klich,LEE,5.5,MID,5.80%,3.0,42,876,2,3,4,16,0,0,0,3,0,0,2,174,231.2,277.5,134,64.4,3.0,0,0.5,7.6,4.2,768213,522382,0,0
Ogbonna,WHU,4.9,DEF,0.50%,6.7,37,872,1,0,4,11,0,0,0,2,0,0,1,157,190.0,14.3,76,28.0,6.7,1,1.4,7.6,3.7,21662,23719,-1,1
Mendy,LEI,4.5,MID,3.10%,2.0,24,864,0,1,4,13,0,0,0,3,0,0,0,130,98.2,60.8,8,16.7,2.0,0,0.4,5.3,2.4,341823,195602,0,0
