Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Robertson,LIV,7.1,DEF,14.4%,2.8,135.0,3024.0,1.0,6.0,10.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,720.0,653.6,971.4,320.0,194.8,2.8,2.0,0.4,19.0,4.0,2453451.0,2445995.0,1.0,-1.0
McGinn,AVL,5.5,MID,1.1%,2.4,104.0,2970.0,2.0,7.0,13.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,448.0,503.6,549.4,322.0,137.5,2.4,0.0,0.4,18.9,3.2,372703.0,344124.0,0.0,0.0
Tarkowski,BUR,5.3,DEF,2.5%,5.2,106.0,2970.0,1.0,0.0,11.0,42.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,501.0,708.8,145.5,328.0,118.8,5.2,2.0,1.0,20.0,3.2,260360.0,475853.0,-2.0,2.0
Fabianski,WHU,5.0,GKP,3.2%,2.0,122.0,2970.0,0.0,0.0,9.0,43.0,0.0,1.0,0.0,2.0,0.0,96.0,9.0,591.0,692.4,0.0,0.0,69.2,2.0,1.0,0.4,24.4,3.7,583817.0,521806.0,0.0,0.0
Bednarek,SOU,4.7,DEF,5.2%,1.0,94.0,2965.0,1.0,1.0,9.0,58.0,1.0,0.0,0.0,3.0,1.0,0.0,11.0,572.0,657.8,72.9,147.0,87.8,1.0,2.0,0.2,20.0,2.8,1432605.0,1270523.0,2.0,-2.0
Mings,AVL,5.4,DEF,8.5%,0.6,118.0,2924.0,2.0,2.0,13.0,40.0,1.0,0.0,0.0,4.0,1.0,0.0,8.0,582.0,737.2,96.9,289.0,112.7,0.6,2.0,0.1,21.9,3.6,1681949.0,1278228.0,4.0,-4.0
White,BHA,4.5,DEF,1.9%,3.8,100.0,2922.0,0.0,0.0,12.0,39.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,524.0,425.4,146.2,117.0,69.1,3.8,1.0,0.8,22.2,3.0,308212.0,284018.0,0.0,0.0
Fernandes,MUN,11.5,MID,56.7%,2.8,231.0,2909.0,17.0,13.0,13.0,31.0,0.0,0.0,1.0,5.0,0.0,0.0,35.0,821.0,1221.2,1366.8,1157.0,374.7,2.8,8.0,0.2,20.1,6.8,6233711.0,3210375.0,10.0,-10.0
Cresswell,WHU,5.6,DEF,17.3%,0.6,139.0,2900.0,0.0,10.0,10.0,39.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,660.0,604.2,771.8,89.0,146.9,0.6,3.0,0.1,24.8,4.2,3381474.0,2231025.0,6.0,-6.0
Pope,BUR,5.5,GKP,10.7%,3.5,144.0,2880.0,0.0,0.0,11.0,37.0,0.0,0.0,0.0,1.0,0.0,114.0,20.0,652.0,846.6,20.0,2.0,86.8,3.5,2.0,0.6,26.2,4.5,1051881.0,1413921.0,0.0,0.0
