Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Meslier,LEE,4.6,GKP,6.9%,7.0,125.0,2520.0,0.0,0.0,9.0,46.0,1.0,1.0,0.0,0.0,0.0,115.0,19.0,632.0,848.8,10.0,0.0,86.0,7.0,5.0,1.5,27.2,4.5,942925.0,545289.0,1.0,-1.0
Johnstone,WBA,4.5,GKP,2.5%,6.0,96.0,2520.0,0.0,0.0,5.0,55.0,0.0,0.0,0.0,0.0,0.0,115.0,12.0,547.0,824.0,0.0,0.0,82.3,6.0,1.0,1.3,21.3,3.4,411497.0,294289.0,0.0,0.0
Bednarek,SOU,4.8,DEF,5.9%,2.0,88.0,2515.0,1.0,1.0,9.0,48.0,1.0,0.0,0.0,3.0,1.0,0.0,11.0,505.0,560.2,61.1,141.0,76.3,2.0,2.0,0.4,18.3,3.0,1404109.0,1183285.0,3.0,-3.0
Targett,AVL,5.1,DEF,15.1%,3.0,116.0,2504.0,0.0,3.0,15.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,551.0,475.4,384.4,94.0,95.5,3.0,2.0,0.6,22.7,4.1,1676380.0,575712.0,6.0,-6.0
Leno,ARS,5.0,GKP,6.7%,2.4,102.0,2501.0,0.0,0.0,8.0,31.0,0.0,1.0,0.0,0.0,1.0,69.0,8.0,499.0,567.0,0.0,0.0,56.8,2.4,2.0,0.5,20.4,3.6,861583.0,1009108.0,0.0,0.0
Coady,WOL,4.8,DEF,4.6%,5.0,85.0,2493.0,1.0,0.0,8.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,456.0,528.4,36.2,78.0,64.5,5.0,0.0,1.0,17.7,3.0,443662.0,746319.0,-2.0,2.0
White,BHA,4.5,DEF,2.6%,2.4,81.0,2472.0,0.0,0.0,9.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,448.0,363.4,129.2,87.0,58.2,2.4,0.0,0.5,18.0,2.9,283268.0,206054.0,0.0,0.0
Fernandes,MUN,11.5,MID,56.0%,6.2,209.0,2465.0,16.0,12.0,12.0,27.0,0.0,0.0,1.0,5.0,0.0,0.0,32.0,736.0,1108.0,1206.8,955.0,327.2,6.2,8.0,0.5,18.2,7.2,5594012.0,2650169.0,10.0,-10.0
Bamford,LEE,6.7,FWD,48.6%,4.4,156.0,2435.0,14.0,9.0,8.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,514.0,690.4,261.6,1204.0,215.1,4.4,4.0,0.7,23.3,5.4,7054598.0,4001945.0,12.0,-12.0
McGinn,AVL,5.5,MID,1.0%,2.5,85.0,2430.0,1.0,6.0,13.0,30.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,356.0,391.6,419.5,263.0,107.3,2.5,0.0,0.5,15.5,3.1,341867.0,324549.0,0.0,0.0
Tarkowski,BUR,5.3,DEF,2.5%,2.8,83.0,2430.0,0.0,0.0,9.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,398.0,533.6,88.0,260.0,88.7,2.8,1.0,0.5,15.7,3.1,232940.0,446403.0,-2.0,2.0
Wan-Bissaka,MUN,5.7,DEF,16.8%,5.0,120.0,2430.0,2.0,3.0,12.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,579.0,594.6,329.0,128.0,105.0,5.0,1.0,0.9,21.1,4.4,1704788.0,1330023.0,2.0,-2.0
Fabianski,WHU,5.0,GKP,3.2%,2.8,110.0,2430.0,0.0,0.0,9.0,33.0,0.0,1.0,0.0,2.0,0.0,79.0,9.0,509.0,576.2,0.0,0.0,57.6,2.8,1.0,0.6,22.0,4.1,543092.0,482469.0,0.0,0.0
Neto,WOL,5.7,MID,6.8%,2.8,118.0,2428.0,5.0,7.0,9.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,465.0,570.0,942.7,685.0,219.9,2.8,1.0,0.5,20.7,4.1,2107547.0,1683312.0,2.0,-2.0
Bertrand,SOU,5.0,DEF,0.9%,2.8,76.0,2418.0,0.0,2.0,8.0,46.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,374.0,281.2,230.9,127.0,63.9,2.8,0.0,0.6,15.2,2.8,128529.0,170813.0,0.0,0.0
Dias,MCI,6.1,DEF,23.9%,4.5,127.0,2393.0,1.0,1.0,15.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,12.0,570.0,545.8,74.5,187.0,81.0,4.5,1.0,0.7,20.8,4.7,2699368.0,903612.0,6.0,-6.0
Mings,AVL,5.4,DEF,8.9%,3.2,109.0,2384.0,2.0,1.0,13.0,29.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,498.0,599.4,68.2,241.0,91.3,3.2,2.0,0.6,20.2,4.0,1615099.0,1180267.0,4.0,-4.0
Rashford,MUN,9.5,MID,9.0%,5.2,140.0,2375.0,9.0,9.0,11.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,427.0,635.2,538.2,899.0,207.3,5.2,3.0,0.5,14.7,4.8,2538135.0,2285350.0,0.0,0.0
Kane,TOT,11.6,FWD,45.2%,6.3,191.0,2363.0,17.0,13.0,10.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,689.0,1028.2,514.1,1124.0,266.3,6.3,7.0,0.5,16.5,7.1,6936825.0,4855314.0,11.0,-11.0
Son,TOT,9.4,MID,45.3%,3.7,179.0,2354.0,13.0,9.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,592.0,811.8,738.6,771.0,232.5,3.7,7.0,0.4,19.0,6.4,7333111.0,6214901.0,4.0,-4.0
Wijnaldum,LIV,5.3,MID,1.2%,2.4,78.0,2345.0,2.0,1.0,7.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,392.0,312.8,312.0,231.0,85.5,2.4,0.0,0.5,14.7,2.7,165939.0,238992.0,-2.0,2.0
Salah,LIV,12.4,MID,28.9%,2.4,174.0,2342.0,17.0,4.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,515.0,802.2,597.4,1317.0,271.3,2.4,4.0,0.2,14.0,6.2,5048715.0,5446674.0,4.0,-4.0
Dunk,BHA,5.0,DEF,9.6%,4.0,101.0,2340.0,4.0,0.0,8.0,33.0,1.0,0.0,0.0,4.0,1.0,0.0,12.0,486.0,558.8,120.8,372.0,105.3,4.0,3.0,0.8,20.2,3.9,846034.0,673428.0,0.0,0.0
Adarabioyo,FUL,4.5,DEF,0.8%,4.2,91.0,2340.0,0.0,1.0,9.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,473.0,526.4,56.2,195.0,78.1,4.2,1.0,0.9,20.2,3.5,110595.0,51108.0,0.0,0.0
McNeil,BUR,5.7,MID,0.4%,3.8,85.0,2316.0,2.0,3.0,9.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,358.0,429.2,555.8,163.0,115.1,3.8,1.0,0.7,14.9,3.1,49887.0,85180.0,-3.0,3.0
Kouyaté,CRY,4.8,MID,0.3%,2.6,67.0,2313.0,1.0,0.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,344.0,449.0,67.0,122.0,63.9,2.6,0.0,0.5,14.0,2.5,85079.0,90071.0,-2.0,2.0
Bissouma,BHA,4.4,MID,1.5%,2.2,58.0,2302.0,1.0,0.0,8.0,32.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,351.0,366.2,198.1,125.0,68.7,2.2,0.0,0.5,13.2,2.1,343328.0,536956.0,-1.0,1.0
Semedo,WOL,5.2,DEF,2.0%,2.5,75.0,2296.0,0.0,2.0,7.0,33.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,400.0,421.0,288.5,244.0,95.6,2.5,0.0,0.5,14.4,2.9,456532.0,368555.0,-3.0,3.0
Konsa,AVL,4.7,DEF,7.1%,3.2,100.0,2295.0,2.0,0.0,11.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,457.0,523.2,30.5,168.0,72.4,3.2,1.0,0.7,21.3,3.8,1343973.0,901746.0,2.0,-2.0
Lookman,FUL,5.1,MID,3.6%,4.2,95.0,2274.0,4.0,4.0,9.0,26.0,0.0,0.0,1.0,4.0,0.0,0.0,8.0,327.0,474.6,751.6,800.0,202.7,4.2,1.0,0.8,18.6,3.5,585285.0,308916.0,1.0,-1.0
Keane,EVE,5.1,DEF,6.0%,5.2,98.0,2269.0,3.0,1.0,7.0,34.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,501.0,638.4,64.4,204.0,90.7,5.2,3.0,1.0,19.2,3.6,1019087.0,760029.0,1.0,-1.0
Lowton,BUR,4.4,DEF,2.5%,2.2,82.0,2250.0,1.0,0.0,8.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,402.0,392.2,254.7,90.0,73.8,2.2,1.0,0.5,18.6,3.3,457810.0,279425.0,-1.0,1.0
Aina,FUL,4.6,DEF,2.9%,3.2,92.0,2250.0,2.0,1.0,7.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,421.0,438.0,233.9,136.0,80.8,3.2,2.0,0.7,20.0,3.5,338341.0,117021.0,1.0,-1.0
Darlow,NEW,5.0,GKP,1.5%,0.4,80.0,2250.0,0.0,0.0,4.0,43.0,0.0,1.0,0.0,3.0,0.0,88.0,6.0,450.0,682.4,0.0,0.0,68.3,0.4,0.0,0.1,16.0,3.2,357937.0,314693.0,0.0,0.0
McCarthy,SOU,4.5,GKP,13.3%,0.7,82.0,2250.0,0.0,0.0,7.0,48.0,0.0,0.0,0.0,2.0,0.0,73.0,7.0,445.0,595.8,0.0,0.0,59.5,0.7,1.0,0.2,18.2,3.3,1341562.0,1894919.0,0.0,0.0
Coufal,WHU,4.6,DEF,5.6%,2.2,91.0,2244.0,0.0,4.0,8.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,454.0,473.0,458.4,132.0,106.7,2.2,0.0,0.5,19.8,3.6,981754.0,558751.0,1.0,-1.0
Mount,CHE,7.0,MID,14.3%,5.6,117.0,2227.0,5.0,5.0,11.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,473.0,587.0,1055.3,618.0,226.1,5.6,2.0,0.8,16.7,4.2,1794923.0,1307134.0,0.0,0.0
Alexander-Arnold,LIV,7.3,DEF,13.1%,4.4,94.0,2219.0,1.0,3.0,6.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,502.0,502.6,783.8,349.0,163.3,4.4,1.0,0.6,12.9,3.5,955630.0,3674322.0,-2.0,2.0
Rodrigo,MCI,5.3,MID,0.4%,1.3,70.0,2173.0,1.0,1.0,11.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,412.0,478.4,417.1,252.0,114.9,1.3,0.0,0.2,13.2,2.6,51173.0,70344.0,-2.0,2.0
Mané,LIV,11.8,MID,4.8%,2.6,120.0,2167.0,7.0,8.0,7.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,344.0,559.4,585.8,1161.0,230.9,2.6,2.0,0.2,10.2,4.6,1615329.0,2245894.0,-2.0,2.0
Adams,SOU,5.8,FWD,5.2%,4.2,108.0,2161.0,7.0,6.0,7.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,345.0,447.4,380.2,769.0,159.8,4.2,2.0,0.7,18.6,3.9,1572143.0,1522056.0,-2.0,2.0
Mendy,CHE,5.1,GKP,7.7%,6.6,113.0,2160.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,497.0,363.0,0.0,0.0,36.4,6.6,0.0,1.3,22.2,4.7,1257711.0,810153.0,1.0,-1.0
Alisson,LIV,5.9,GKP,5.8%,3.2,89.0,2160.0,0.0,0.0,6.0,26.0,0.0,1.0,0.0,1.0,0.0,55.0,8.0,435.0,514.2,0.1,0.0,51.4,3.2,1.0,0.5,15.1,3.7,444882.0,1068812.0,-1.0,1.0
