Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Torres,MCI,6.9,MID,1.1%,2.4,37.0,585.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,109.8,89.6,259.0,45.6,2.4,0.0,0.3,5.4,3.4,247592.0,263359.0,-1.0,1.0,11,2.0,2.65,2.65,0.64,5.22,2.09,0.4,0.4,0.1,0.5,0.5,0.79,0.32,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Mendy,MCI,5.9,DEF,1.4%,0.0,24.0,504.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,96.0,72.8,40.2,35.0,14.6,0.0,1.0,0.0,4.1,4.0,165369.0,218129.0,-1.0,1.0,6,1.0,0.15,0.15,0.06,1.33,1.18,0.03,0.03,0.01,0.04,0.04,0.24,0.21,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Aké,MCI,5.4,DEF,2.8%,1.4,21.0,469.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,97.0,108.0,35.5,23.0,16.6,1.4,0.0,0.3,3.9,3.5,261683.0,599340.0,-1.0,1.0,6,1.0,0.4,0.4,0.02,2.75,2.74,0.08,0.08,0.0,0.08,0.08,0.53,0.53,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Laporte,MCI,6.0,DEF,2.1%,0.0,12.0,360.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,62.0,58.6,26.5,12.0,9.7,0.0,0.0,0.0,2.0,3.0,141553.0,352162.0,0.0,0.0,4,0.0,0.14,0.14,0.31,1.89,1.89,0.04,0.04,0.08,0.11,0.11,0.47,0.47,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Zinchenko,MCI,5.5,DEF,0.3%,4.4,23.0,344.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,52.6,23.4,25.0,10.2,4.4,1.0,0.8,4.2,4.6,17505.0,29210.0,0.0,0.0,5,0.0,0.12,0.12,0.0,2.48,2.35,0.03,0.03,0.0,0.03,0.03,0.65,0.61,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Garcia,MCI,4.7,DEF,0.2%,0.0,3.0,200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,22.7,1.0,6.0,0.0,0.0,0.0,0.6,1.0,10116.0,23898.0,-3.0,3.0,3,0.0,0.01,0.01,0.01,0.43,0.41,0.01,0.01,0.0,0.01,0.01,0.19,0.19,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Agüero,MCI,10.3,FWD,1.2%,0.4,6.0,140.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.2,36.9,65.0,10.4,0.4,0.0,0.0,0.6,1.2,287030.0,492316.0,-2.0,2.0,5,0.0,0.86,0.86,0.71,1.69,0.48,0.56,0.56,0.46,1.02,1.02,1.1,0.31,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Steffen,MCI,4.4,GKP,0.1%,0.4,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.6,0.0,0.0,1.0,0.4,0.0,0.1,0.5,2.0,23113.0,16735.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.35,0.35,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Delap,MCI,4.4,FWD,1.1%,0.0,1.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,0.0,0.0,0.0,0.2,1.0,231158.0,178351.0,-1.0,1.0,1,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Rodrigo,MCI,5.4,MID,0.4%,2.8,42.0,1451.0,0.0,1.0,7.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,253.0,299.0,271.4,185.0,75.6,2.8,0.0,0.5,7.8,2.5,41377.0,57049.0,-1.0,1.0,17,0.0,0.84,0.84,1.24,11.58,10.72,0.05,0.05,0.08,0.13,0.13,0.72,0.66,2,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
Fabinho,LIV,5.4,MID,1.0%,1.8,40.0,1472.0,0.0,1.0,6.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,264.0,309.2,60.6,16.0,38.9,1.8,0.0,0.3,7.4,2.4,103907.0,162318.0,-1.0,1.0,17,0.0,0.12,0.12,0.17,5.59,5.48,0.01,0.01,0.01,0.02,0.02,0.34,0.34,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Alisson,LIV,5.9,GKP,6.8%,4.6,67.0,1440.0,0.0,0.0,5.0,13.0,0.0,1.0,0.0,1.0,0.0,35.0,6.0,301.0,343.0,0.0,0.0,34.2,4.6,1.0,0.8,11.4,4.2,396434.0,940619.0,-1.0,1.0,16,0.0,0.0,0.0,0.0,1.78,1.78,0.0,0.0,0.0,0.0,0.0,0.11,0.11,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Adrián,LIV,4.2,GKP,0.4%,0.0,2.0,180.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,42.2,0.0,0.0,4.2,0.0,0.0,0.0,0.5,1.0,52240.0,57273.0,-3.0,3.0,2,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.18,0.18,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Neco Williams,LIV,3.9,DEF,4.1%,0.0,8.0,171.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,21.2,18.5,20.0,5.8,0.0,0.0,0.0,2.1,2.0,385870.0,401733.0,-1.0,1.0,4,0.0,0.05,0.05,0.11,0.86,0.71,0.03,0.03,0.05,0.08,0.08,0.45,0.37,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Robertson,LIV,7.4,DEF,20.6%,4.0,88.0,1710.0,1.0,5.0,6.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,438.0,410.4,648.0,218.0,127.9,4.0,2.0,0.5,11.9,4.6,2008376.0,1516250.0,4.0,-4.0,19,1.0,1.08,1.08,4.69,9.78,6.54,0.06,0.06,0.25,0.3,0.3,0.51,0.34,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Wijnaldum,LIV,5.3,MID,1.5%,2.0,50.0,1529.0,1.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,244.0,202.4,230.2,169.0,60.2,2.0,0.0,0.4,9.4,2.6,145239.0,193548.0,-2.0,2.0,19,1.0,1.78,1.78,1.21,8.57,6.52,0.1,0.1,0.07,0.18,0.18,0.5,0.38,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Firmino,LIV,9.3,FWD,4.6%,1.8,73.0,1510.0,5.0,3.0,6.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,299.0,353.4,285.0,797.0,143.2,1.8,1.0,0.2,7.8,3.8,550594.0,553998.0,-2.0,2.0,19,5.0,7.44,7.44,2.21,12.71,4.8,0.44,0.44,0.13,0.56,0.56,0.74,0.28,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Mané,LIV,11.8,MID,7.1%,3.8,88.0,1509.0,6.0,5.0,5.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,256.0,421.4,440.1,856.0,172.0,3.8,1.0,0.3,7.5,4.9,1368540.0,1814092.0,-2.0,2.0,18,6.0,7.17,7.17,2.96,12.6,3.66,0.43,0.43,0.18,0.6,0.6,0.75,0.22,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Salah,LIV,12.5,MID,37.9%,2.2,129.0,1471.0,13.0,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,383.0,616.8,441.0,896.0,195.3,2.2,3.0,0.2,10.3,7.2,3821824.0,3514453.0,5.0,-5.0,18,8.0,9.67,5.86,3.31,11.58,4.63,0.59,0.36,0.2,0.79,0.56,0.71,0.28,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Alexander-Arnold,LIV,7.3,DEF,13.5%,3.6,53.0,1395.0,0.0,2.0,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,293.0,265.2,477.5,229.0,97.0,3.6,0.0,0.5,7.3,3.1,641857.0,3328549.0,-2.0,2.0,17,0.0,1.17,1.17,2.75,10.27,8.82,0.08,0.08,0.18,0.25,0.25,0.66,0.56,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Henderson,LIV,5.4,MID,1.4%,2.0,45.0,1225.0,1.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,267.4,205.8,95.0,56.9,2.0,0.0,0.4,8.3,3.0,135424.0,236294.0,-1.0,1.0,15,1.0,1.09,1.09,1.04,8.48,7.49,0.08,0.08,0.08,0.16,0.16,0.62,0.55,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Jones,LIV,4.4,MID,1.2%,1.2,21.0,682.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,108.2,138.5,154.0,40.1,1.2,0.0,0.3,4.8,1.8,195412.0,147959.0,-1.0,1.0,12,0.0,0.51,0.51,0.51,3.97,3.09,0.07,0.07,0.07,0.14,0.14,0.53,0.41,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Matip,LIV,5.4,DEF,0.6%,1.6,41.0,645.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,179.0,170.8,41.8,84.0,29.7,1.6,1.0,0.3,7.6,4.6,267397.0,275258.0,-1.0,1.0,9,1.0,0.78,0.78,1.18,3.29,3.29,0.11,0.11,0.16,0.27,0.27,0.45,0.45,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Gomez,LIV,5.2,DEF,1.1%,0.0,10.0,589.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,106.8,18.1,0.0,12.5,0.0,0.0,0.0,1.9,1.4,109170.0,372068.0,-3.0,3.0,7,0.0,0.0,0.0,0.07,2.09,2.02,0.0,0.0,0.01,0.01,0.01,0.32,0.31,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Jota,LIV,6.6,MID,2.5%,0.0,47.0,499.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,138.0,198.0,95.3,266.0,56.0,0.0,0.0,0.0,7.1,5.2,2471185.0,2601229.0,1.0,-1.0,9,5.0,2.63,2.63,1.44,5.12,1.65,0.48,0.48,0.26,0.74,0.74,0.93,0.3,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Keita,LIV,5.2,MID,0.2%,0.0,12.0,394.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.2,54.5,111.0,21.0,0.0,0.0,0.0,2.3,1.7,16497.0,80059.0,-3.0,3.0,7,0.0,0.35,0.35,0.68,3.15,2.14,0.08,0.08,0.15,0.23,0.23,0.7,0.48,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
van Dijk,LIV,6.3,DEF,6.7%,0.0,15.0,370.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,82.4,4.8,66.0,15.3,0.0,0.0,0.0,2.4,3.0,382395.0,1969163.0,-2.0,2.0,5,1.0,0.55,0.55,0.0,1.41,1.29,0.13,0.13,0.0,0.13,0.13,0.34,0.31,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Milner,LIV,5.3,MID,0.1%,0.8,24.0,343.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,102.0,91.8,109.6,41.0,24.2,0.8,1.0,0.2,4.5,2.2,16376.0,26394.0,-2.0,2.0,11,0.0,0.08,0.08,0.47,2.34,1.93,0.02,0.02,0.13,0.15,0.15,0.63,0.52,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Minamino,LIV,6.0,MID,0.2%,0.2,17.0,289.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,59.4,14.6,118.0,19.1,0.2,0.0,0.0,2.8,1.9,13069.0,39205.0,-5.0,5.0,9,1.0,1.27,1.27,0.0,1.87,0.63,0.41,0.41,0.0,0.41,0.41,0.61,0.2,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Phillips,LIV,4.0,DEF,0.7%,1.0,9.0,270.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,59.2,14.3,6.0,8.0,1.0,0.0,0.2,2.2,3.0,135011.0,92294.0,0.0,0.0,3,0.0,0.0,0.0,0.03,0.41,0.39,0.0,0.0,0.01,0.01,0.01,0.14,0.13,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Shaqiri,LIV,6.4,MID,0.1%,1.0,10.0,243.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,41.8,102.9,53.0,19.8,1.0,0.0,0.2,1.6,1.7,3559.0,5735.0,-1.0,1.0,6,0.0,0.23,0.23,0.62,1.4,0.66,0.09,0.09,0.24,0.32,0.32,0.53,0.25,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Kelleher,LIV,4.5,GKP,0.1%,0.0,7.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,28.2,0.0,0.0,2.8,0.0,1.0,0.0,1.6,7.0,30268.0,26601.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Origi,LIV,5.2,FWD,0.6%,0.6,5.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.8,3.5,35.0,4.5,0.6,0.0,0.1,1.0,1.0,26027.0,82101.0,-3.0,3.0,5,0.0,0.48,0.48,0.0,0.64,0.15,0.64,0.64,0.0,0.64,0.64,0.84,0.2,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Thiago,LIV,5.7,MID,1.3%,1.4,10.0,422.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,85.6,127.7,64.0,27.8,1.4,0.0,0.2,1.8,1.7,367983.0,346163.0,-3.0,3.0,6,0.0,0.29,0.29,0.37,2.77,2.54,0.06,0.06,0.08,0.14,0.14,0.59,0.55,4,19,9,7,3.0,37.0,22,34,36.01,32.2,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
Douglas Luiz,AVL,4.9,MID,0.2%,2.4,38.0,1403.0,0.0,1.0,8.0,18.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,178.0,198.0,184.3,96.0,48.0,2.4,0.0,0.5,7.8,2.4,25882.0,38649.0,-1.0,1.0,16,0.0,0.91,0.91,1.0,6.14,4.47,0.06,0.06,0.06,0.12,0.12,0.39,0.28,8,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
Trézéguet,AVL,5.2,MID,0.5%,0.2,26.0,725.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,113.8,121.9,343.0,57.7,0.2,0.0,0.0,5.0,2.6,57779.0,129408.0,-3.0,3.0,10,0.0,3.05,3.05,2.01,5.25,1.06,0.37,0.37,0.24,0.61,0.61,0.64,0.13,8,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
Watkins,AVL,6.1,FWD,11.9%,4.6,77.0,1530.0,7.0,4.0,9.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,251.0,381.0,297.2,790.0,146.2,4.6,3.0,0.8,12.6,4.5,1882376.0,1099640.0,1.0,-1.0,17,6.0,9.81,8.29,2.69,11.82,3.44,0.58,0.49,0.16,0.74,0.65,0.7,0.2,8,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
Grealish,AVL,7.7,MID,36.7%,3.8,105.0,1527.0,5.0,10.0,9.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,411.0,541.4,779.6,752.0,207.1,3.8,2.0,0.5,13.6,6.2,4591263.0,2736225.0,7.0,-7.0,17,5.0,4.28,4.28,7.52,13.3,4.94,0.25,0.25,0.44,0.69,0.69,0.78,0.29,8,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
Targett,AVL,4.7,DEF,5.3%,5.4,74.0,1514.0,0.0,2.0,10.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,338.0,255.2,209.5,63.0,53.0,5.4,2.0,1.1,15.7,4.4,654066.0,333413.0,2.0,-2.0,17,0.0,0.19,0.19,0.67,3.92,3.63,0.01,0.01,0.04,0.05,0.05,0.23,0.22,8,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
