Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Michail Antonio,WHU,2,180,3.0,3.0,2.0,2.76,2.00,0.91,3.05,0.16,1.38,1.00,0.45,1.83,1.45,1.52,0.08
Bruno Fernandes,MUN,2,180,3.0,3.0,0.0,0.88,0.88,0.71,1.51,0.54,0.44,0.44,0.35,0.79,0.79,0.75,0.27
Danny Ings,AVL,2,180,2.0,1.0,0.0,0.88,0.12,0.00,0.12,0.03,0.44,0.06,0.00,0.44,0.06,0.06,0.01
Said Benrahma,WHU,2,180,2.0,2.0,2.0,1.00,1.00,0.57,2.37,0.80,0.50,0.50,0.28,0.78,0.78,1.18,0.40
Neal Maupay,BHA,2,138,2.0,2.0,0.0,1.14,1.14,0.04,1.52,0.34,0.75,0.75,0.02,0.77,0.77,0.99,0.22
Dominic Calvert-Lewin,EVE,2,180,2.0,1.0,0.0,2.32,1.56,0.11,1.68,0.03,1.16,0.78,0.05,1.21,0.83,0.84,0.02
Diogo Jota,LIV,2,145,2.0,2.0,0.0,1.01,1.01,0.24,1.47,0.49,0.63,0.63,0.15,0.77,0.77,0.91,0.31
Mason Greenwood,MUN,2,180,2.0,2.0,0.0,0.35,0.35,0.31,0.91,0.28,0.17,0.17,0.16,0.33,0.33,0.46,0.14
Son Heung-Min,TOT,2,167,1.0,1.0,0.0,0.45,0.45,0.05,0.42,0.02,0.24,0.24,0.03,0.27,0.27,0.23,0.01
Callum Wilson,NEW,2,177,1.0,1.0,0.0,1.38,1.38,0.03,1.39,0.02,0.70,0.70,0.01,0.72,0.72,0.71,0.01
Roberto Firmino,LIV,2,35,1.0,1.0,0.0,0.51,0.51,0.12,0.8,0.18,1.32,1.32,0.30,1.61,1.61,2.07,0.45
Aaron Cresswell,WHU,2,180,1.0,1.0,0.0,0.13,0.13,0.04,0.77,0.72,0.07,0.07,0.02,0.09,0.09,0.38,0.36
Romelu Lukaku,CHE,1,90,1.0,1.0,0.0,1.73,1.73,0.54,2.31,0.55,1.73,1.73,0.54,2.26,2.26,2.31,0.55
Raheem Sterling,MCI,2,99,1.0,1.0,0.0,0.77,0.77,0.00,1.36,0.62,0.70,0.70,0.00,0.70,0.70,1.23,0.57
Dele Alli,TOT,2,180,1.0,0.0,0.0,0.76,0.00,0.00,0.05,0.05,0.38,0.00,0.00,0.38,0.00,0.03,0.03
Jack Grealish,MCI,2,166,1.0,1.0,0.0,0.82,0.82,0.18,1.81,0.85,0.45,0.45,0.09,0.54,0.54,0.98,0.46
Riyad Mahrez,MCI,2,94,1.0,1.0,0.0,1.07,1.07,0.05,1.2,0.19,1.03,1.03,0.05,1.07,1.07,1.15,0.18
Jamie Vardy,LEI,2,175,1.0,1.0,0.0,0.46,0.46,0.19,0.72,0.07,0.23,0.23,0.10,0.33,0.33,0.37,0.04
Demarai Gray,EVE,2,173,1.0,1.0,0.0,0.09,0.09,0.23,0.37,0.28,0.05,0.05,0.12,0.17,0.17,0.19,0.15
Sadio Mané,LIV,2,180,1.0,1.0,0.0,1.30,1.30,0.35,1.66,0.27,0.65,0.65,0.18,0.83,0.83,0.83,0.14
Sergi Canos,BRE,2,180,1.0,1.0,0.0,0.19,0.19,0.67,0.29,0.00,0.10,0.10,0.33,0.43,0.43,0.15,0.00
Mohamed Salah,LIV,2,180,1.0,1.0,2.0,0.59,0.59,0.98,1.98,0.60,0.29,0.29,0.49,0.79,0.79,0.99,0.30
Marcos Alonso,CHE,2,177,1.0,1.0,0.0,0.19,0.19,0.48,1.62,1.07,0.09,0.09,0.24,0.34,0.34,0.83,0.54
James Tarkowski,BUR,2,180,1.0,1.0,0.0,1.16,1.16,0.00,0.04,0.04,0.58,0.58,0.00,0.58,0.58,0.02,0.02
Abdoulaye Doucouré,EVE,2,180,1.0,1.0,1.0,0.11,0.11,0.09,1.11,0.91,0.06,0.06,0.05,0.10,0.10,0.56,0.45
Pablo Fornals,WHU,2,180,1.0,1.0,1.0,0.20,0.20,0.99,2.35,1.28,0.10,0.10,0.49,0.59,0.59,1.18,0.64
Aymeric Laporte,MCI,1,90,1.0,1.0,0.0,0.16,0.16,0.00,1.24,1.24,0.16,0.16,0.00,0.16,0.16,1.24,1.24
Christian Pulisic,CHE,1,83,1.0,1.0,0.0,0.64,0.64,0.00,0.67,0.03,0.69,0.69,0.00,0.69,0.69,0.72,0.03
Mateusz Klich,LEE,2,156,1.0,1.0,0.0,0.45,0.45,0.07,0.46,0.04,0.26,0.26,0.04,0.30,0.30,0.26,0.02
Adam Armstrong,SOU,2,180,1.0,1.0,0.0,0.76,0.76,0.07,0.81,0.00,0.38,0.38,0.03,0.41,0.41,0.40,0.00
Anwar El Ghazi,AVL,2,152,1.0,0.0,0.0,0.81,0.05,0.00,0.07,0.04,0.48,0.03,0.00,0.48,0.03,0.04,0.02
Ismaila Sarr,WAT,2,180,1.0,1.0,0.0,0.22,0.22,0.51,0.75,0.21,0.11,0.11,0.26,0.36,0.36,0.38,0.10
Youri Tielemans,LEI,2,180,1.0,1.0,0.0,0.51,0.51,0.13,0.95,0.31,0.25,0.25,0.07,0.32,0.32,0.48,0.16
Richarlison,EVE,2,180,1.0,1.0,1.0,0.80,0.80,1.07,1.86,1.15,0.40,0.40,0.54,0.94,0.94,0.93,0.58
Shane Duffy,BHA,2,180,1.0,1.0,0.0,0.20,0.20,0.00,0.76,0.76,0.10,0.10,0.00,0.10,0.10,0.38,0.38
Jacob Murphy,NEW,2,180,1.0,1.0,0.0,0.13,0.13,0.10,0.36,0.13,0.07,0.07,0.05,0.11,0.11,0.18,0.07
Trevoh Chalobah,CHE,1,90,1.0,1.0,0.0,0.02,0.02,0.00,0.1,0.08,0.02,0.02,0.00,0.02,0.02,0.10,0.08
Fred,MUN,2,168,1.0,1.0,0.0,0.14,0.14,0.07,0.58,0.39,0.08,0.08,0.04,0.11,0.11,0.31,0.21
