Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Erling Haaland,MCI,22,1849,18.0,15.0,5.0,22.27,19.22,3.89,22.56,2.01,1.08,0.94,0.19,1.27,1.13,1.10,0.10
Ollie Watkins,AVL,27,2409,16.0,16.0,10.0,16.27,16.27,5.88,24.36,4.55,0.61,0.61,0.22,0.83,0.83,0.91,0.17
Mohamed Salah,LIV,21,1815,15.0,11.0,9.0,14.35,9.78,10.17,21.05,5.76,0.71,0.49,0.50,1.22,0.99,1.04,0.29
Dominic Solanke,BOU,26,2333,14.0,13.0,3.0,15.62,14.86,2.39,16.07,2.26,0.60,0.57,0.09,0.69,0.67,0.62,0.09
Jarrod Bowen,WHU,26,2340,14.0,14.0,3.0,10.53,10.53,4.04,13.18,2.22,0.40,0.40,0.16,0.56,0.56,0.51,0.09
Son Heung-Min,TOT,23,1941,13.0,12.0,6.0,8.32,7.56,8.24,19.3,7.01,0.39,0.35,0.38,0.77,0.73,0.90,0.32
Bukayo Saka,ARS,26,2221,13.0,9.0,7.0,12.50,9.45,8.63,23.22,10.45,0.51,0.38,0.35,0.86,0.73,0.94,0.42
Alexander Isak,NEW,19,1343,11.0,9.0,0.0,11.57,10.05,1.38,12.46,2.94,0.78,0.67,0.09,0.87,0.77,0.84,0.20
Phil Foden,MCI,27,2230,11.0,11.0,7.0,8.62,8.62,6.92,22.91,12.48,0.35,0.35,0.28,0.63,0.63,0.92,0.50
Richarlison,TOT,22,1381,10.0,10.0,3.0,9.05,9.05,1.64,11.79,2.25,0.59,0.59,0.11,0.70,0.70,0.77,0.15
Cole Palmer,CHE,23,1669,10.0,5.0,7.0,8.62,4.81,6.42,17.64,9.49,0.46,0.26,0.35,0.81,0.61,0.95,0.51
Hee-Chan Hwang,WOL,22,1644,10.0,9.0,3.0,7.20,6.44,3.06,10.32,2.37,0.39,0.35,0.17,0.56,0.52,0.57,0.13
Darwin Núñez,LIV,25,1499,10.0,10.0,7.0,15.10,14.34,4.89,19.28,3.05,0.91,0.86,0.29,1.20,1.15,1.16,0.18
Douglas Luiz,AVL,26,2268,9.0,5.0,5.0,7.00,3.95,4.46,14.36,11.24,0.28,0.16,0.18,0.45,0.33,0.57,0.45
Diogo Jota,LIV,19,1064,9.0,9.0,3.0,5.93,5.93,2.60,10.8,5.22,0.50,0.50,0.22,0.72,0.72,0.91,0.44
Matheus Cunha,WOL,24,2007,9.0,8.0,6.0,8.51,7.75,3.74,11.61,1.83,0.38,0.35,0.17,0.55,0.52,0.52,0.08
Anthony Gordon,NEW,26,2205,9.0,8.0,5.0,8.41,7.65,5.32,19.59,8.92,0.34,0.31,0.22,0.56,0.53,0.80,0.36
Elijah Adebayo,LUT,23,1156,9.0,9.0,0.0,5.98,5.98,0.81,7.64,1.94,0.47,0.47,0.06,0.53,0.53,0.59,0.15
Chris Wood,NFO,20,845,8.0,8.0,1.0,5.44,5.44,1.31,6.62,0.24,0.58,0.58,0.14,0.72,0.72,0.71,0.03
Leon Bailey,AVL,25,1373,8.0,8.0,8.0,4.54,4.54,7.43,14.59,6.40,0.30,0.30,0.49,0.78,0.78,0.96,0.42
João Pedro,BHA,23,1376,8.0,4.0,2.0,7.99,4.95,3.02,11.75,5.11,0.52,0.32,0.20,0.72,0.52,0.77,0.33
Nicolas Jackson,CHE,23,1738,8.0,8.0,3.0,13.35,13.35,3.49,16.88,2.75,0.69,0.69,0.18,0.87,0.87,0.87,0.14
Julián Álvarez,MCI,27,2167,8.0,7.0,7.0,9.26,8.49,5.55,19.8,9.86,0.38,0.35,0.23,0.61,0.58,0.82,0.41
Carlton Morris,LUT,26,1799,8.0,4.0,4.0,8.61,5.57,3.05,8.63,3.76,0.43,0.28,0.15,0.58,0.43,0.43,0.19
Callum Wilson,NEW,16,840,7.0,5.0,1.0,8.66,7.14,0.59,7.86,0.97,0.93,0.77,0.06,0.99,0.83,0.84,0.10
Kai Havertz,ARS,26,1697,7.0,6.0,3.0,7.05,6.29,2.14,14.16,7.39,0.37,0.33,0.11,0.49,0.45,0.75,0.39
Scott McTominay,MUN,24,1354,7.0,7.0,1.0,5.88,5.88,0.86,6.49,2.00,0.39,0.39,0.06,0.45,0.45,0.43,0.13
Bryan Mbeumo,BRE,15,1289,7.0,4.0,3.0,7.57,5.29,2.89,9.41,3.17,0.53,0.37,0.20,0.73,0.57,0.66,0.22
Leandro Trossard,ARS,23,914,7.0,7.0,1.0,6.25,6.25,2.00,10.47,3.34,0.62,0.62,0.20,0.81,0.81,1.03,0.33
Rasmus Højlund,MUN,20,1505,7.0,7.0,2.0,7.81,7.81,1.16,8.94,2.40,0.47,0.47,0.07,0.54,0.54,0.53,0.14
Marcus Rashford,MUN,26,1926,6.0,5.0,2.0,6.60,5.84,2.32,11.92,4.44,0.31,0.27,0.11,0.42,0.38,0.56,0.21
Raheem Sterling,CHE,24,1773,6.0,6.0,3.0,7.24,7.24,3.81,16.2,7.01,0.37,0.37,0.19,0.56,0.56,0.82,0.36
Abdoulaye Doucouré,EVE,21,1803,6.0,6.0,0.0,8.19,8.19,2.25,10.55,4.46,0.41,0.41,0.11,0.52,0.52,0.53,0.22
Rodri,MCI,24,2098,6.0,6.0,5.0,3.72,3.72,3.74,22.62,18.78,0.16,0.16,0.16,0.32,0.32,0.97,0.81
Martin Odegaard,ARS,24,2135,6.0,4.0,6.0,4.76,3.24,7.61,19.21,12.45,0.20,0.14,0.32,0.52,0.46,0.81,0.52
Neal Maupay,BRE,24,1271,6.0,6.0,3.0,6.86,6.86,2.34,11.08,2.89,0.49,0.49,0.17,0.65,0.65,0.78,0.20
Bernardo Silva,MCI,23,1810,6.0,6.0,4.0,3.27,3.27,6.13,17.64,11.14,0.16,0.16,0.31,0.47,0.47,0.88,0.55
Odsonne Edouard,CRY,21,1436,6.0,6.0,0.0,6.87,6.87,0.97,6.77,1.59,0.43,0.43,0.06,0.49,0.49,0.42,0.10
Yoane Wissa,BRE,23,1780,6.0,6.0,1.0,7.73,7.73,2.28,10.37,2.58,0.39,0.39,0.12,0.51,0.51,0.52,0.13
Dejan Kulusevski,TOT,24,2053,6.0,6.0,2.0,4.10,4.10,5.85,16.25,8.92,0.18,0.18,0.26,0.44,0.44,0.71,0.39
John McGinn,AVL,27,2357,6.0,6.0,3.0,4.42,4.42,4.86,19.15,12.62,0.17,0.17,0.19,0.35,0.35,0.73,0.48
Gabriel Martinelli,ARS,25,1828,6.0,6.0,4.0,5.81,5.81,4.55,14.48,6.07,0.29,0.29,0.22,0.51,0.51,0.71,0.30
Taiwo Awoniyi,NFO,16,1042,6.0,6.0,3.0,5.06,5.06,1.63,6.06,1.55,0.44,0.44,0.14,0.58,0.58,0.52,0.13
Tomas Soucek,WHU,26,2058,6.0,6.0,1.0,6.72,6.72,0.99,9.67,4.50,0.29,0.29,0.04,0.34,0.34,0.42,0.20
Eberechi Eze,CRY,17,1241,6.0,5.0,1.0,5.49,4.73,3.02,7.56,2.76,0.40,0.34,0.22,0.62,0.56,0.55,0.20
Michael Olise,CRY,11,749,6.0,5.0,3.0,3.12,2.35,2.89,5.28,2.21,0.37,0.28,0.35,0.72,0.63,0.63,0.27
Evan Ferguson,BHA,25,1298,6.0,6.0,0.0,3.97,3.97,0.65,6.87,2.48,0.27,0.27,0.05,0.32,0.32,0.48,0.17
Luis Díaz,LIV,26,1792,6.0,6.0,3.0,8.14,8.14,3.01,14.63,6.18,0.41,0.41,0.15,0.56,0.56,0.73,0.31
Simon Adingra,BHA,20,1375,6.0,6.0,1.0,3.73,3.73,1.83,8.52,3.69,0.24,0.24,0.12,0.36,0.36,0.56,0.24
Mohammed Kudus,WHU,22,1500,6.0,6.0,3.0,3.21,3.21,2.10,7.77,3.50,0.19,0.19,0.13,0.32,0.32,0.47,0.21
James Ward-Prowse,WHU,26,2308,5.0,3.0,7.0,4.80,3.28,6.22,9.85,5.89,0.19,0.13,0.24,0.43,0.37,0.38,0.23
Raúl Jiménez,FUL,19,1284,5.0,5.0,0.0,4.98,4.98,1.41,6.59,1.50,0.35,0.35,0.10,0.45,0.45,0.46,0.11
Declan Rice,ARS,27,2338,5.0,5.0,5.0,1.76,1.76,3.86,13.75,12.00,0.07,0.07,0.15,0.22,0.22,0.53,0.46
Eddie Nketiah,ARS,24,1015,5.0,5.0,2.0,4.96,4.96,1.21,5.78,0.96,0.44,0.44,0.11,0.55,0.55,0.51,0.09
