Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,20,1768,14.0,10.0,8.0,13.61,9.04,9.58,19.68,5.72,0.69,0.46,0.49,1.18,0.95,1.00,0.29
Erling Haaland,MCI,15,1305,14.0,11.0,4.0,16.73,13.68,3.25,16.21,1.37,1.15,0.94,0.22,1.38,1.17,1.12,0.09
Son Heung-Min,TOT,20,1739,12.0,11.0,5.0,7.47,6.71,6.84,16.89,6.18,0.39,0.35,0.35,0.74,0.70,0.87,0.32
Dominic Solanke,BOU,19,1708,12.0,11.0,1.0,12.38,11.62,1.00,12.26,1.90,0.65,0.61,0.05,0.70,0.66,0.65,0.10
Jarrod Bowen,WHU,19,1710,11.0,11.0,2.0,8.30,8.30,3.14,9.91,1.93,0.44,0.44,0.17,0.60,0.60,0.52,0.10
Hee-Chan Hwang,WOL,20,1466,10.0,9.0,3.0,6.79,6.03,3.04,9.67,2.15,0.42,0.37,0.19,0.60,0.56,0.59,0.13
Alexander Isak,NEW,15,1071,9.0,7.0,0.0,9.81,8.29,1.33,10.59,2.81,0.82,0.70,0.11,0.94,0.81,0.89,0.24
Ollie Watkins,AVL,20,1779,9.0,9.0,8.0,10.45,10.45,4.45,15.56,2.10,0.53,0.53,0.23,0.75,0.75,0.79,0.11
Cole Palmer,CHE,17,1145,8.0,4.0,4.0,6.91,3.87,5.02,11.18,4.83,0.54,0.30,0.39,0.94,0.70,0.88,0.38
Callum Wilson,NEW,14,710,7.0,5.0,1.0,8.66,7.14,0.43,7.62,0.84,1.10,0.91,0.05,1.15,0.96,0.97,0.11
Chris Wood,NFO,18,706,7.0,7.0,1.0,5.06,5.06,1.07,5.99,0.22,0.65,0.65,0.14,0.78,0.78,0.76,0.03
Bryan Mbeumo,BRE,15,1289,7.0,4.0,3.0,7.57,5.29,2.89,9.41,3.17,0.53,0.37,0.20,0.73,0.57,0.66,0.22
João Pedro,BHA,20,1120,7.0,3.0,2.0,6.92,3.88,2.87,9.9,4.29,0.56,0.31,0.23,0.79,0.54,0.80,0.34
Nicolas Jackson,CHE,19,1458,7.0,7.0,2.0,11.18,11.18,2.96,14.18,2.22,0.69,0.69,0.18,0.87,0.87,0.88,0.14
Abdoulaye Doucouré,EVE,17,1460,6.0,6.0,0.0,7.05,7.05,2.04,9.41,3.68,0.43,0.43,0.13,0.56,0.56,0.58,0.23
Odsonne Edouard,CRY,15,1270,6.0,6.0,0.0,6.13,6.13,0.86,6.34,1.47,0.43,0.43,0.06,0.50,0.50,0.45,0.10
Leon Bailey,AVL,18,872,6.0,6.0,5.0,3.26,3.26,4.16,8.75,2.97,0.34,0.34,0.43,0.77,0.77,0.90,0.31
Richarlison,TOT,17,946,6.0,6.0,3.0,6.74,6.74,1.09,8.5,1.45,0.64,0.64,0.10,0.75,0.75,0.81,0.14
Douglas Luiz,AVL,19,1678,6.0,2.0,3.0,5.32,2.27,2.54,10.12,8.01,0.29,0.12,0.14,0.42,0.26,0.54,0.43
Matheus Cunha,WOL,20,1718,6.0,6.0,5.0,5.87,5.87,3.16,8.99,1.50,0.31,0.31,0.17,0.47,0.47,0.47,0.08
Bukayo Saka,ARS,19,1682,6.0,4.0,6.0,7.94,6.41,6.41,16.48,7.04,0.42,0.34,0.34,0.77,0.69,0.88,0.38
Anthony Gordon,NEW,19,1615,6.0,6.0,5.0,5.91,5.91,4.89,14.98,6.11,0.33,0.33,0.27,0.60,0.60,0.83,0.34
Evan Ferguson,BHA,18,977,6.0,6.0,0.0,3.12,3.12,0.61,5.66,2.06,0.29,0.29,0.06,0.34,0.34,0.52,0.19
Julián Álvarez,MCI,19,1621,6.0,5.0,5.0,7.06,6.30,4.05,15.73,8.40,0.39,0.35,0.23,0.62,0.57,0.87,0.47
Mohammed Kudus,WHU,16,960,6.0,6.0,1.0,1.82,1.82,1.33,4.75,2.46,0.17,0.17,0.12,0.30,0.30,0.45,0.23
Raheem Sterling,CHE,18,1442,5.0,5.0,3.0,5.33,5.33,3.69,12.98,5.70,0.33,0.33,0.23,0.56,0.56,0.81,0.36
Bernardo Silva,MCI,16,1356,5.0,5.0,4.0,2.04,2.04,4.98,13.45,8.57,0.14,0.14,0.33,0.47,0.47,0.89,0.57
Raúl Jiménez,FUL,17,1147,5.0,5.0,0.0,4.14,4.14,1.41,5.64,1.40,0.32,0.32,0.11,0.44,0.44,0.44,0.11
Scott McTominay,MUN,17,1109,5.0,5.0,0.0,4.07,4.07,0.46,4.75,1.37,0.33,0.33,0.04,0.37,0.37,0.39,0.11
Phil Foden,MCI,19,1521,5.0,5.0,6.0,4.72,4.72,4.82,14.4,8.72,0.28,0.28,0.29,0.56,0.56,0.85,0.52
Eddie Nketiah,ARS,19,956,5.0,5.0,1.0,4.62,4.62,0.64,4.82,0.91,0.43,0.43,0.06,0.49,0.49,0.45,0.09
Dejan Kulusevski,TOT,19,1693,5.0,5.0,2.0,2.90,2.90,5.03,13.0,7.03,0.15,0.15,0.27,0.42,0.42,0.69,0.37
Diogo Jota,LIV,14,678,5.0,5.0,1.0,3.93,3.93,1.57,7.99,4.93,0.52,0.52,0.21,0.73,0.73,1.06,0.65
John McGinn,AVL,20,1742,5.0,5.0,2.0,2.91,2.91,3.66,13.59,8.71,0.15,0.15,0.19,0.34,0.34,0.70,0.45
Tomas Soucek,WHU,19,1534,5.0,5.0,1.0,5.97,5.97,0.63,7.55,3.37,0.35,0.35,0.04,0.39,0.39,0.44,0.20
Michael Olise,CRY,9,665,5.0,4.0,1.0,2.98,2.21,2.26,4.53,2.21,0.40,0.30,0.31,0.71,0.61,0.61,0.30
Darwin Núñez,LIV,19,1118,5.0,5.0,6.0,11.13,11.13,3.89,14.98,2.60,0.90,0.90,0.31,1.21,1.21,1.21,0.21
Elijah Adebayo,LUT,19,810,5.0,5.0,0.0,3.60,3.60,0.66,4.67,0.80,0.40,0.40,0.07,0.47,0.47,0.52,0.09
Willian,FUL,16,1091,4.0,2.0,1.0,3.66,2.14,1.71,8.27,5.50,0.30,0.18,0.14,0.44,0.32,0.68,0.45
Mario Lemina,WOL,17,1492,4.0,4.0,0.0,3.07,3.07,0.24,4.0,2.92,0.19,0.19,0.01,0.20,0.20,0.24,0.18
Rodri,MCI,16,1379,4.0,4.0,2.0,2.90,2.90,2.30,14.43,11.83,0.19,0.19,0.15,0.34,0.34,0.94,0.77
Martin Odegaard,ARS,17,1516,4.0,2.0,3.0,3.50,1.98,4.63,12.87,9.01,0.21,0.12,0.27,0.48,0.39,0.76,0.53
Kai Havertz,ARS,19,1172,4.0,3.0,1.0,4.18,3.42,1.25,8.5,4.66,0.32,0.26,0.10,0.42,0.36,0.65,0.36
Yoane Wissa,BRE,19,1588,4.0,4.0,1.0,6.61,6.61,1.78,8.97,2.40,0.37,0.37,0.10,0.48,0.48,0.51,0.14
