Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Erling Haaland,MCI,4,355,6.0,5.0,1.0,4.72,3.20,1.10,4.24,0.50,1.20,0.81,0.28,1.47,1.09,1.08,0.13
Bryan Mbeumo,BRE,4,360,4.0,2.0,0.0,3.80,2.28,0.47,3.4,1.01,0.95,0.57,0.12,1.07,0.69,0.85,0.25
Evan Ferguson,BHA,4,205,4.0,4.0,0.0,2.23,2.23,0.07,2.67,0.37,0.98,0.98,0.03,1.01,1.01,1.17,0.16
Son Heung-Min,TOT,4,343,3.0,3.0,0.0,1.45,1.45,1.32,4.07,1.54,0.38,0.38,0.35,0.73,0.73,1.07,0.40
Jarrod Bowen,WHU,4,360,3.0,3.0,1.0,1.85,1.85,0.81,2.13,0.36,0.46,0.46,0.20,0.67,0.67,0.53,0.09
Odsonne Edouard,CRY,4,342,3.0,3.0,0.0,3.03,3.03,0.21,2.74,0.35,0.80,0.80,0.05,0.85,0.85,0.72,0.09
Solly March,BHA,4,324,3.0,3.0,0.0,2.17,2.17,0.15,3.24,1.14,0.60,0.60,0.04,0.65,0.65,0.90,0.32
Taiwo Awoniyi,NFO,4,253,3.0,3.0,1.0,2.30,2.30,0.46,2.1,0.02,0.82,0.82,0.16,0.98,0.98,0.75,0.01
Callum Wilson,NEW,4,76,2.0,2.0,0.0,1.65,1.65,0.02,1.76,0.10,1.95,1.95,0.02,1.97,1.97,2.09,0.12
Michail Antonio,WHU,4,329,2.0,2.0,0.0,0.91,0.91,0.16,2.2,1.14,0.25,0.25,0.04,0.29,0.29,0.60,0.31
Raheem Sterling,CHE,4,358,2.0,2.0,0.0,1.55,1.55,0.91,4.52,2.35,0.39,0.39,0.23,0.62,0.62,1.14,0.59
Mohamed Salah,LIV,4,354,2.0,2.0,2.0,3.05,2.29,1.55,2.73,0.61,0.78,0.58,0.39,1.17,0.98,0.69,0.16
Dominic Solanke,BOU,4,360,2.0,2.0,1.0,1.93,1.93,0.25,2.2,0.09,0.48,0.48,0.06,0.54,0.54,0.55,0.02
Rodri,MCI,4,353,2.0,2.0,1.0,1.06,1.06,0.53,3.97,3.67,0.27,0.27,0.13,0.40,0.40,1.01,0.94
Martin Odegaard,ARS,4,356,2.0,1.0,0.0,1.30,0.54,0.14,2.77,2.18,0.33,0.14,0.04,0.36,0.17,0.70,0.55
Alexander Isak,NEW,4,300,2.0,2.0,0.0,1.67,1.67,0.04,1.91,0.72,0.50,0.50,0.01,0.52,0.52,0.57,0.21
Yoane Wissa,BRE,4,344,2.0,2.0,0.0,1.92,1.92,0.07,2.17,1.03,0.50,0.50,0.02,0.52,0.52,0.57,0.27
Eddie Nketiah,ARS,4,281,2.0,2.0,0.0,1.74,1.74,0.32,2.26,0.47,0.56,0.56,0.10,0.66,0.66,0.72,0.15
Moussa Diaby,AVL,4,329,2.0,2.0,1.0,0.85,0.85,1.93,3.52,1.84,0.23,0.23,0.53,0.76,0.76,0.96,0.50
James Maddison,TOT,4,348,2.0,2.0,2.0,1.58,1.58,1.18,4.28,2.55,0.41,0.41,0.31,0.71,0.71,1.11,0.66
Cristian Romero,TOT,4,283,2.0,2.0,0.0,0.72,0.72,0.00,2.96,2.96,0.23,0.23,0.00,0.23,0.23,0.94,0.94
Bukayo Saka,ARS,4,360,2.0,1.0,1.0,2.34,1.58,0.99,3.12,1.22,0.59,0.39,0.25,0.83,0.64,0.78,0.31
Lyle Foster,BUR,3,264,2.0,2.0,0.0,1.13,1.13,0.08,1.54,0.39,0.39,0.39,0.03,0.41,0.41,0.53,0.13
Hee-Chan Hwang,WOL,4,133,2.0,2.0,0.0,0.34,0.34,0.60,0.71,0.49,0.23,0.23,0.41,0.64,0.64,0.48,0.33
Matthew Cash,AVL,4,360,2.0,2.0,0.0,2.13,2.13,0.10,2.63,1.02,0.53,0.53,0.02,0.56,0.56,0.66,0.26
Luis Díaz,LIV,4,275,2.0,2.0,0.0,1.31,1.31,0.34,1.99,0.96,0.43,0.43,0.11,0.54,0.54,0.65,0.31
Darwin Núñez,LIV,4,96,2.0,2.0,1.0,1.79,1.79,0.58,1.82,0.33,1.68,1.68,0.55,2.23,2.23,1.71,0.31
Julián Álvarez,MCI,4,360,2.0,2.0,1.0,2.30,2.30,0.87,3.85,1.27,0.57,0.57,0.22,0.79,0.79,0.96,0.32
Pascal Groß,BHA,4,353,1.0,1.0,0.0,0.52,0.52,1.18,3.79,2.97,0.13,0.13,0.30,0.43,0.43,0.97,0.76
Marcus Rashford,MUN,4,358,1.0,1.0,1.0,1.85,1.85,0.52,3.72,1.64,0.47,0.47,0.13,0.60,0.60,0.93,0.41
Nathan Aké,MCI,3,264,1.0,1.0,0.0,0.23,0.23,0.00,1.38,1.38,0.08,0.08,0.00,0.08,0.08,0.47,0.47
Christian Eriksen,MUN,4,221,1.0,1.0,1.0,0.21,0.21,0.34,1.79,1.28,0.08,0.08,0.14,0.22,0.22,0.73,0.52
James Ward-Prowse,WHU,3,270,1.0,1.0,3.0,1.06,1.06,0.82,1.9,0.84,0.35,0.35,0.27,0.63,0.63,0.63,0.28
Andreas Pereira,FUL,4,256,1.0,1.0,0.0,0.02,0.02,0.09,0.4,0.33,0.01,0.01,0.03,0.04,0.04,0.14,0.12
Kurt Zouma,WHU,4,360,1.0,1.0,0.0,0.37,0.37,0.00,0.75,0.75,0.09,0.09,0.00,0.09,0.09,0.19,0.19
Bruno Fernandes,MUN,4,360,1.0,0.0,1.0,2.21,1.45,2.39,3.73,1.88,0.55,0.36,0.60,1.15,0.96,0.93,0.47
Abdoulaye Doucouré,EVE,4,360,1.0,1.0,0.0,2.53,2.53,1.06,2.51,0.44,0.63,0.63,0.27,0.90,0.90,0.63,0.11
Raphael Varane,MUN,3,229,1.0,1.0,0.0,0.92,0.92,0.00,1.58,0.79,0.36,0.36,0.00,0.36,0.36,0.62,0.31
Casemiro,MUN,4,360,1.0,1.0,0.0,1.61,1.61,0.37,2.49,1.96,0.40,0.40,0.09,0.49,0.49,0.62,0.49
Chris Wood,NFO,4,31,1.0,1.0,0.0,0.11,0.11,0.10,0.17,0.00,0.32,0.32,0.28,0.61,0.61,0.50,0.00
Estupiñán,BHA,4,360,1.0,1.0,2.0,0.63,0.63,2.04,4.54,3.54,0.16,0.16,0.51,0.67,0.67,1.13,0.88
Leon Bailey,AVL,3,180,1.0,1.0,1.0,0.60,0.60,0.76,1.76,0.50,0.30,0.30,0.38,0.68,0.68,0.88,0.25
Gabriel Jesus,ARS,2,12,1.0,1.0,0.0,0.68,0.68,0.02,1.12,0.47,5.10,5.10,0.15,5.25,5.25,8.37,3.54
Declan Rice,ARS,4,360,1.0,1.0,0.0,0.23,0.23,0.45,1.86,1.74,0.06,0.06,0.11,0.17,0.17,0.47,0.43
Douglas Luiz,AVL,4,328,1.0,0.0,0.0,0.97,0.21,0.39,2.79,2.64,0.27,0.06,0.11,0.37,0.17,0.76,0.72
Joachim Andersen,CRY,4,360,1.0,1.0,0.0,0.15,0.15,0.38,2.32,2.03,0.04,0.04,0.09,0.13,0.13,0.58,0.51
Harvey Barnes,NEW,4,70,1.0,1.0,1.0,0.66,0.66,1.11,1.87,0.69,0.85,0.85,1.43,2.28,2.28,2.41,0.88
Dejan Kulusevski,TOT,4,360,1.0,1.0,0.0,0.79,0.79,0.31,3.07,2.09,0.20,0.20,0.08,0.28,0.28,0.77,0.52
David Brooks,BOU,4,125,1.0,1.0,0.0,1.13,1.13,0.43,1.49,0.02,0.82,0.82,0.31,1.12,1.12,1.07,0.01
Bobby Reid,FUL,4,283,1.0,1.0,0.0,1.75,1.75,0.12,1.48,0.05,0.56,0.56,0.04,0.60,0.60,0.47,0.02
Willy Boly,NFO,4,341,1.0,1.0,0.0,0.50,0.50,0.16,0.25,0.03,0.13,0.13,0.04,0.17,0.17,0.07,0.01
Diogo Jota,LIV,4,202,1.0,1.0,0.0,1.18,1.18,0.23,1.56,0.40,0.53,0.53,0.10,0.63,0.63,0.70,0.18
Axel Disasi,CHE,4,360,1.0,1.0,0.0,0.78,0.78,0.06,2.94,2.93,0.19,0.19,0.02,0.21,0.21,0.74,0.73
Naif Aguerd,WHU,3,256,1.0,1.0,0.0,0.39,0.39,0.03,0.11,0.11,0.14,0.14,0.01,0.15,0.15,0.04,0.04
Matheus Cunha,WOL,4,346,1.0,1.0,0.0,1.93,1.93,0.58,1.98,0.20,0.50,0.50,0.15,0.65,0.65,0.51,0.05
Mathias Jensen,BRE,4,307,1.0,1.0,0.0,0.17,0.17,0.78,2.12,1.80,0.05,0.05,0.23,0.28,0.28,0.62,0.53
Tim Ream,FUL,3,246,1.0,1.0,0.0,0.96,0.96,0.00,0.42,0.42,0.35,0.35,0.00,0.35,0.35,0.15,0.15
Lucas Paquetá,WHU,4,359,1.0,0.0,1.0,1.44,0.68,1.29,2.27,0.90,0.36,0.17,0.32,0.68,0.49,0.57,0.23
Emerson,TOT,3,92,1.0,1.0,0.0,0.03,0.03,0.00,0.42,0.39,0.03,0.03,0.00,0.03,0.03,0.42,0.38
John McGinn,AVL,4,345,1.0,1.0,0.0,0.89,0.89,0.37,2.78,1.61,0.23,0.23,0.10,0.33,0.33,0.73,0.42
