Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Erling Haaland,MCI,14,1215,14.0,11.0,4.0,15.73,12.68,3.25,15.21,1.37,1.16,0.94,0.24,1.41,1.18,1.13,0.10
Mohamed Salah,LIV,14,1245,10.0,7.0,6.0,9.69,6.65,7.11,13.61,3.55,0.70,0.48,0.51,1.21,0.99,0.98,0.26
Son Heung-Min,TOT,14,1199,9.0,9.0,2.0,5.23,5.23,4.30,11.46,3.16,0.39,0.39,0.32,0.71,0.71,0.86,0.24
Jarrod Bowen,WHU,13,1170,8.0,8.0,1.0,5.94,5.94,1.94,6.49,1.40,0.46,0.46,0.15,0.61,0.61,0.50,0.11
Ollie Watkins,AVL,14,1239,8.0,8.0,6.0,9.41,9.41,3.34,13.39,1.75,0.68,0.68,0.24,0.93,0.93,0.97,0.13
Callum Wilson,NEW,10,475,7.0,5.0,0.0,7.31,5.79,0.02,6.4,0.84,1.39,1.10,0.00,1.39,1.10,1.21,0.16
Dominic Solanke,BOU,14,1258,7.0,7.0,1.0,8.72,8.72,0.96,9.0,0.96,0.62,0.62,0.07,0.69,0.69,0.64,0.07
Alexander Isak,NEW,10,681,7.0,6.0,0.0,7.07,6.31,0.97,7.64,2.01,0.93,0.83,0.13,1.06,0.96,1.01,0.27
Hee-Chan Hwang,WOL,14,965,7.0,6.0,2.0,4.71,3.95,2.05,6.18,1.69,0.44,0.37,0.19,0.63,0.56,0.58,0.16
Odsonne Edouard,CRY,13,1129,6.0,6.0,0.0,5.62,5.62,0.73,5.63,1.37,0.45,0.45,0.06,0.51,0.51,0.45,0.11
Bryan Mbeumo,BRE,14,1250,6.0,4.0,3.0,6.81,5.29,2.89,9.41,3.17,0.49,0.38,0.21,0.70,0.59,0.68,0.23
Anthony Gordon,NEW,13,1088,6.0,6.0,3.0,4.54,4.54,2.81,10.22,4.26,0.38,0.38,0.23,0.61,0.61,0.85,0.35
Nicolas Jackson,CHE,13,998,6.0,6.0,1.0,8.29,8.29,0.87,9.18,1.31,0.75,0.75,0.08,0.83,0.83,0.83,0.12
Evan Ferguson,BHA,13,771,6.0,6.0,0.0,2.72,2.72,0.56,5.06,1.91,0.32,0.32,0.07,0.38,0.38,0.59,0.22
